50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.263885,,,,,,,,,,,,,,ac88447a-6ec8-4c9f-aadc-a7ac2854b9b1,3406,,"[20.2, 56.8]",3890494,85,,,,,0.14888994,,Right Foot,,,"[26.2, 57.7]",,Ground Pass,,6.0671244,,,Julian Baumgartlinger,20037.0,,,,,,2,Regular Play,Jairo Samperio Bustara,6925.0,Left Wing,192,FSV Mainz 05,177,"['89d3d4fe-73bd-467e-b574-0f98172e983d', 'e599304a-7beb-4653-ac38-36e8ac0b8592']",19,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:40:19.603,Pass,True
,,,,,,,,,,,,,,,,,2.466288,,,,,,,,,,,,,,d1b64621-2919-425a-aa72-040cd9bc4fda,3410,,"[30.1, 58.6]",3890494,85,,,,,0.54547507,,Right Foot,,,"[44.6, 67.4]",,Low Pass,,16.961428,,,Yunus Mallı,8679.0,,,,,,2,Regular Play,Julian Baumgartlinger,20037.0,Right Defensive Midfield,192,FSV Mainz 05,177,"['316df264-960b-4e88-9613-165c5d0f5d83', 'e44fb532-6f41-49d6-8e9a-d6ee3ee7d2c5']",21,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:40:21.378,Pass,True
,,,,,,,,,,,,,,,,,2.036732,,,,,,,,,,,,,,3edc11c2-d37c-402e-acde-2592deba29b9,3413,,"[45.6, 69.2]",3890494,85,,,,,-0.61000395,,Right Foot,,,"[64.2, 56.2]",,Ground Pass,,22.69273,,,Jhon Andrés Córdoba Copete,8817.0,,,,,,2,Regular Play,Yunus Mallı,8679.0,Center Attacking Midfield,192,FSV Mainz 05,177,"['412c76c0-022a-4902-81fa-6a078f7cf1c0', 'a33c37e3-fcd6-4550-be56-d293bdf9fe5d']",23,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:40:23.844,Pass,True
,,,,,,,,,,,,,,,,,1.269888,,,,,,,,,,,,,,9a1ccb57-7298-407a-9c8f-7c452d23de80,3420,,"[76.2, 53.8]",3890494,85,,,,,1.0986743,,Left Foot,,,"[85.8, 72.6]",,Ground Pass,,21.10924,,,Melvyn Lorenzen,8369.0,,,,,,2,Regular Play,Clemens Fritz,20010.0,Right Center Midfield,192,FSV Mainz 05,177,['28aa214e-f921-4f6f-ad4a-147660f9ba9c'],33,,,,,,,,,,,,,,,,,Werder Bremen,176,00:40:33.679,Pass,
,,,,,,,,,,,,,,,,,1.146841,,,,,,,,,,,,,,95956b34-46c5-43e7-bc6f-0134c91eb5fd,3427,,"[33.3, 12.5]",3890494,85,,,,,-0.3085063,,Right Foot,,,"[51.5, 6.7]",,Ground Pass,,19.101831,,,Pablo Ezequiel De Blasis,8555.0,,,,,,2,Regular Play,Gaëtan Bussmann,18399.0,Left Back,192,FSV Mainz 05,177,['900765e1-b54f-46a6-abf6-c46736d5c246'],39,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:40:39.732,Pass,
,,,,,,,,,,,,,,,,,1.304156,,,,,,,,,,,,,,77f54f7f-59e9-4074-8b9b-75a79d0d5286,3430,,"[53.9, 12.3]",3890494,85,,,,,-0.51669514,,Right Foot,,,"[62.7, 7.3]",,Ground Pass,,10.121264,,,Gaëtan Bussmann,18399.0,,,,,,2,Regular Play,Pablo Ezequiel De Blasis,8555.0,Right Wing,192,FSV Mainz 05,177,['ad1cafaa-9dba-4fa1-93dc-73fbda435ab3'],43,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:40:43.287,Pass,
,,,,,,,,,,,,,,,,,1.976531,,,,,,,,,,,,,,667d3eac-9e9d-4bfc-905f-7c46e2c675d2,3432,,"[62.7, 7.3]",3890494,85,,,,,1.231673,,Left Foot,,,"[73.6, 38.2]",,Ground Pass,,32.76614,,,Jhon Andrés Córdoba Copete,8817.0,,,,,,2,Regular Play,Gaëtan Bussmann,18399.0,Left Back,192,FSV Mainz 05,177,['17011fbc-cb55-4c10-829c-3cde0d9f1c4d'],44,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:40:44.591,Pass,
,,,,,,,,,,,,,,,,,2.019595,,,,,,,,,,,,,,2b411abd-b3b3-41d6-b55e-bfbeda991941,3440,,"[74.0, 44.2]",3890494,85,,,,,1.920099,,Right Foot,,,"[68.5, 59.3]",,Ground Pass,,16.070469,,,Daniel Brosinski,8548.0,,,,,,2,Regular Play,Jhon Andrés Córdoba Copete,8817.0,Center Forward,192,FSV Mainz 05,177,"['746fc762-1feb-48cf-a958-6a51a3ed789c', '96197878-54bc-4eb7-91ea-787c523d9e37']",47,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:40:47.721,Pass,True
,,,,,,,,,,,,,,,,,0.823699,,,,,,,,,,,,,,d654498e-2416-478d-9def-5c8812ef8ec4,3443,,"[85.7, 60.1]",3890494,85,,,,,1.3790082,,Right Foot,,,"[87.7, 70.4]",,Ground Pass,,10.492378,,,Yunus Mallı,8679.0,,,,,,2,Regular Play,Daniel Brosinski,8548.0,Right Back,192,FSV Mainz 05,177,['bbd584ae-6065-4612-a221-6d594dbd9120'],52,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:40:52.807,Pass,
,,,,,,,,,,,,,,,,,2.837645,,,,,,,,,,,,,,0b10f3f1-602d-4322-a958-97d6873af5b9,3446,,"[89.9, 73.4]",3890494,85,,,,,0.024149893,,Right Foot,,,"[110.6, 73.9]",,Ground Pass,,20.706038,,,Daniel Brosinski,8548.0,,,,,,2,Regular Play,Yunus Mallı,8679.0,Center Attacking Midfield,192,FSV Mainz 05,177,['877b861c-3baa-4200-8983-0bce26e9613c'],55,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:40:55.390,Pass,
