50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.382727,,,,,,,,,,,,,,,0b0e0618-baa1-447c-94a8-39af042fe7da,19,,"[29.9, 26.9]",3890412,0,,,,,2.8761623,,Left Foot,,,,"[9.3, 32.5]",Ground Pass,21.347599,,,,Manuel Neuer,5570.0,,,,,,,1,From Kick Off,Holger Badstuber,9406.0,Left Center Back,2,Bayern Munich,169,"['53000038-85f4-4363-8527-84a115ac73d4', '92797f5c-f55d-46d7-ae64-b131cdb3a0a5']",8,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:08.959,Pass,True
,,,,,,,,,,,,,,,,,,1.499856,,,,,,,,,,,,,,,58c8578c-9c4b-4425-b73a-952021920aae,22,,"[9.8, 32.1]",3890412,0,,,,,-0.94751424,,Right Foot,,,,"[27.7, 7.2]",High Pass,30.666267,,,,David Olatukunbo Alaba,8220.0,,,,,,,1,From Kick Off,Manuel Neuer,5570.0,Goalkeeper,2,Bayern Munich,169,['2754f24c-6e96-4790-81c9-a17af607f983'],10,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:10.539,Pass,
,,,,,,,,,,,,,,,,,,1.83084,,,,,,,,,,,,,,,f8eaa502-ce63-4f75-b904-2b0dbf0aae57,25,,"[27.9, 5.1]",3890412,0,,,,,1.8946433,,Left Foot,,,,"[23.1, 19.4]",Ground Pass,15.084098,,,,Holger Badstuber,9406.0,,,,,,,1,From Kick Off,David Olatukunbo Alaba,8220.0,Left Back,2,Bayern Munich,169,['595846c8-2ea1-4164-950b-5fad3dd4cfd0'],15,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:15.403,Pass,
,,,,,,,,,,,,,,,,,,0.625728,,,,,,,,,,,,,,,644cd09d-b956-43dd-8183-8f0c3a3f9919,28,,"[32.8, 24.3]",3890412,0,,,,,0.7106478,,Left Foot,,,,"[45.0, 34.8]",Ground Pass,16.096273,,,,Philipp Lahm,19295.0,,,,,,,1,From Kick Off,Holger Badstuber,9406.0,Left Center Back,2,Bayern Munich,169,['b516e26a-04a7-486b-9967-d706aa901aa4'],21,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:21.775,Pass,
,,,,,,,,,,,,,,,,,,1.324794,,,,,,,,,,,,,,,9c999cc0-fa12-4185-9bd9-1d87f61e1982,32,,"[47.3, 54.8]",3890412,0,,,,,2.1519403,,Left Foot,,,,"[36.2, 71.7]",Ground Pass,20.219297,,,,Jérôme Boateng,5578.0,,,,,,,1,From Kick Off,Philipp Lahm,19295.0,Right Back,2,Bayern Munich,169,"['51e72202-d064-4519-b36c-15b1add8e652', 'c2d4ac63-cb8a-4335-b759-f915d34fae60']",25,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:25.850,Pass,True
,,,,,,,,,,,,,,,,,,1.245964,,,,,,,,,,,,,,,a93c9ace-4667-4608-98bb-49df71d50b99,35,,"[36.2, 71.7]",3890412,0,,,,,-1.7026435,,Right Foot,,,,"[32.5, 43.8]",Ground Pass,28.144272,,,,Holger Badstuber,9406.0,,,,,,,1,From Kick Off,Jérôme Boateng,5578.0,Right Center Back,2,Bayern Munich,169,['e2b0f9af-fdcf-4c05-bab7-5b69da48a476'],27,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:27.508,Pass,
,,,,,,,,,,,,,,,,,,1.277439,,,,,,,,,,,,,,,d6491845-7592-49e3-b032-2cce468c8a59,39,,"[55.7, 33.9]",3890412,0,,,,,1.5751066,,Left Foot,,,,"[55.6, 57.1]",Ground Pass,23.200216,,,,Jérôme Boateng,5578.0,,,,,,,1,From Kick Off,Holger Badstuber,9406.0,Left Center Back,2,Bayern Munich,169,"['18dd786e-17b4-427f-9c25-28d28e4931bc', '377ae61f-0076-4973-92c6-45e6bcb1c1e2']",35,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:35.641,Pass,True
,,,,,,,,,,,,,,,,,,2.058527,,,,,,,,,,,,,,,4e748190-69dd-4491-b13c-bec66e5c6e11,43,,"[56.0, 55.5]",3890412,0,,,,,-0.27907187,,Left Foot,,,,"[90.2, 45.7]",High Pass,35.576397,,Incomplete,,Robert Lewandowski,5668.0,,,,,,,1,From Kick Off,Jérôme Boateng,5578.0,Right Center Back,2,Bayern Munich,169,"['02518f0d-b280-4d06-ac9b-a74eac08ccad', '16285219-c7fb-4f85-8250-0245d68dcfb5', '34c19b4c-b449-4547-9bcf-682e2ddc8d0b']",38,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:38.043,Pass,True
,,,,,,,,,,,,,,,,,,2.688359,,,,,,,,,,,,,,,16285219-c7fb-4f85-8250-0245d68dcfb5,45,,"[29.9, 34.4]",3890412,0,,,,,-1.7584834,,Head,,,,"[25.0, 8.6]",Low Pass,26.261189,,,,Matthias Ostrzolek,8547.0,,,,,,Interception,1,From Kick Off,Cleber Janderson Pereira Reis,40468.0,Left Center Back,2,Bayern Munich,169,"['4e748190-69dd-4491-b13c-bec66e5c6e11', '797bb03a-2bbb-4620-b221-e58a22effb33']",40,,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:40.101,Pass,
,,,,,,,,,,,,,,,,,,5.601715,,,,,,,,,,,,,,,131ae4a1-41c2-43e6-99d5-68ce107b2b6d,48,,"[25.6, 3.7]",3890412,0,,,,,-0.07187597,,Left Foot,,,,"[75.6, 0.1]",High Pass,50.129433,,Out,,Ivo Iličević,24740.0,,,,,,,1,From Kick Off,Matthias Ostrzolek,8547.0,Left Back,2,Bayern Munich,169,['51fc20b6-2c32-4563-8ecb-94692799eb4f'],43,,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:43.691,Pass,
