bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.059669,,,,,,,,,,,,,,e6f1e6b1-9513-4831-84b7-384673b954b4,19,,"[38.1, 20.5]",3890557,0,,,,,1.5311346,,Right Foot,,,,"[39.6, 58.3]",Low Pass,,37.82975,,,,,Jannik Vestergaard,8815.0,,,,,,1,From Kick Off,Papiss Mison Djilobodji,3774.0,Left Center Back,2,Werder Bremen,176,['48bb1856-8422-4bf3-920e-c95e0a74af57'],12,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:12.647,Pass,
,,,,,,,,,,,,,,,,,,1.065873,,,,,,,,,,,,,,8951afed-d6cd-4cd0-9397-7d80b80e8ba7,22,,"[43.9, 59.8]",3890557,0,,,,,0.986272,,Left Foot,,,,"[52.7, 73.1]",Ground Pass,,15.947727,,,,,Theodor Gebre Selassie,8396.0,,,,,,1,From Kick Off,Jannik Vestergaard,8815.0,Right Center Back,2,Werder Bremen,176,['c448d4b0-eb36-4e60-ae75-48c7ff7c2915'],16,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:16.290,Pass,
,,,,,,,,,,,,,,,,,,0.913213,,,,,,,,,,,,,,d074eebd-5db9-4b9d-a5bc-0ab31524568f,25,,"[50.5, 71.2]",3890557,0,,,,,-1.039406,,Right Foot,,,,"[58.2, 58.1]",Ground Pass,,15.195394,,,,,Florian Grillitsch,11396.0,,,,,,1,From Kick Off,Theodor Gebre Selassie,8396.0,Right Back,2,Werder Bremen,176,['965864e7-3693-4330-874b-f359e5bf4af0'],18,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:18.063,Pass,
,,,,,,,,,,,,,,,,,,2.899978,,,,,,,,,,,,,,03986ea7-8fbd-461a-8d3e-93c38d8bbb35,29,,"[57.0, 60.3]",3890557,0,,,,,0.26729318,,Right Foot,,,,"[89.5, 69.2]",High Pass,,33.696587,,,Incomplete,,Zlatko Junuzović,8762.0,,,,,,1,From Kick Off,Florian Grillitsch,11396.0,Left Defensive Midfield,2,Werder Bremen,176,"['11216bb5-1ae2-408d-b334-0a8bf50bf752', '46a1b847-f6ad-474a-b310-d8662e723f4b']",19,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:19.254,Pass,
,,,,,,,,,,,,,,,,,,1.58263,,,,,,,,,,,,,,11216bb5-1ae2-408d-b334-0a8bf50bf752,32,,"[30.6, 10.9]",3890557,0,,,,True,-0.2617135,,,,,,"[36.2, 9.4]",Low Pass,,5.7974133,,,,,Bastian Oczipka,8504.0,,,,,Recovery,1,Regular Play,Makoto Hasebe,5681.0,Right Defensive Midfield,3,Eintracht Frankfurt,184,"['03986ea7-8fbd-461a-8d3e-93c38d8bbb35', '8b61dc0b-660b-49ee-91d4-8ae3a6b7871b', 'dc8de18c-d2f4-469a-ba17-6bf261621acd']",22,,,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:22.154,Pass,True
,,,,,,,,,,,,,,,,,,0.88084,,,,,,,,,,,,,,2b194447-9bbd-4aed-abf5-01efc6a1297b,36,,"[28.5, 18.6]",3890557,0,,,,,2.6624823,,Left Foot,,,,"[20.8, 22.6]",Ground Pass,,8.676981,,,,,Marco Russ,8812.0,,,,,,1,Regular Play,Bastian Oczipka,8504.0,Left Back,3,Eintracht Frankfurt,184,['fb78eb3a-14fb-45f6-8d39-4d78bde48f8c'],24,,,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:24.390,Pass,
,,,,,,,,,,,,,,,,,,0.34775,,,,,,,,,,,,,,2b77f4ce-2ded-4b85-a134-b830c2d9dc44,41,,"[20.8, 14.9]",3890557,0,,,,,0.13497674,,Right Foot,,,,"[28.9, 16.0]",Ground Pass,,8.17435,,,Incomplete,,Haris Seferović,5543.0,,,,,,1,Regular Play,Marco Russ,8812.0,Left Center Back,3,Eintracht Frankfurt,184,"['08bdfe45-7f9c-44c2-a63e-eb07d6fe1387', '95a75f40-3b4a-49a5-ac2d-c9eceaa313b0', 'c577652d-b5e0-4446-8f0b-8f0ca7ed2cbc']",26,,,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:26.244,Pass,True
,,,,,,,,,,,,,,,,,,0.333686,,,,,,,,,,,,,,ccd9bfb1-85e2-46cb-a97c-d670035247b4,45,,"[93.3, 61.3]",3890557,0,,,,,-1.3825748,,Right Foot,,,,"[93.7, 59.2]",Ground Pass,,2.1377559,,,,,Claudio Miguel Pizarro Bossio,11132.0,,,,,Recovery,1,Regular Play,Zlatko Junuzović,8762.0,Center Attacking Midfield,4,Werder Bremen,176,"['000fa0a8-b314-4ce3-99fb-fa066d4f7b2e', '3bed179e-74bf-484e-adcb-80c16e23e6cc']",27,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:27.841,Pass,True
,,,,,,,,,,,,,,,,,,1.045367,,,,,,,,,,,,,,7d0f8966-10e1-490b-9e5e-ec749b84354b,52,,"[112.6, 67.3]",3890557,0,,,,,-1.5909549,,Right Foot,True,,,"[112.1, 42.5]",Ground Pass,,24.80504,,,Incomplete,,Claudio Miguel Pizarro Bossio,11132.0,,,,,,1,Regular Play,Levin Mete Öztunali,8554.0,Right Wing,4,Werder Bremen,176,"['3b874cab-b597-41cc-a5f9-73f39fe548d5', '596004b6-384b-4928-8bd3-1b36644f4718']",31,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:31.931,Pass,
,,,,,,,,,,,,,,,,,,1.428679,,,,,,,,,,,,,,aeed456c-302f-4f91-9652-d59fceb9d4cc,58,,"[14.4, 47.9]",3890557,0,,,,,1.0588964,,Right Foot,,,,"[25.3, 67.3]",Ground Pass,,22.252415,,,,,David Ángel Abraham,8678.0,,,,,,1,Regular Play,Lukáš Hrádecký,8667.0,Goalkeeper,5,Eintracht Frankfurt,184,['ec2584ef-c837-4d42-9ace-97686abc7285'],50,,,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:50.920,Pass,
,,,,,,,,,,,,,,,,,,1.409359,,,,,,,,,,,,,,f70f817c-bb75-4e8c-81fe-79687f02dd2c,61,,"[27.4, 59.0]",3890557,0,,,,,-2.6068485,,Right Foot,,,,"[14.4, 51.3]",Ground Pass,,15.109269,,,,,Lukáš Hrádecký,8667.0,,,,,,1,Regular Play,David Ángel Abraham,8678.0,Right Center Back,5,Eintracht Frankfurt,184,['fce70309-7df5-4ca9-b3fc-1699a74cdb26'],53,,,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:53.064,Pass,
