50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.256124,,,,,,,,,,d04c55c1-3bb8-4f1f-a42e-b357346758b7,17,,"[35.1, 70.2]",3890311,0,,,,,0.12184244,,Right Foot,,,"[54.7, 72.6]",,Ground Pass,,19.746391,,,,Makoto Hasebe,5681.0,,,,,,1,From Kick Off,Aleksandar Ignjovski,9134.0,Right Back,2,Eintracht Frankfurt,184,['90a6289d-07d2-4423-bd5b-e9d022a1e436'],7,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:07.242,Pass,
,,,,,,,,,,,,,,,0.7951,,,,,,,,,,bf11816e-eb1b-4224-8f47-47cf3c39f098,20,,"[54.7, 72.6]",3890311,0,,,,,-0.30994007,,Right Foot,,,"[70.0, 67.7]",,Ground Pass,,16.06549,,,,Haris Seferović,5543.0,,,,,,1,From Kick Off,Makoto Hasebe,5681.0,Right Center Midfield,2,Eintracht Frankfurt,184,['8b8419fb-76d6-40ce-ae46-ba120db9702b'],8,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:08.754,Pass,
,,,,,,,,,,,,,,,1.02862,,,,,,,,,,24084218-ac78-4d44-8900-dbf64b3174fe,25,,"[65.4, 68.4]",3890311,0,,,,,2.6215265,,Left Foot,,,"[53.7, 75.1]",,Ground Pass,,13.482581,,,,Makoto Hasebe,5681.0,,,,,,1,From Kick Off,Haris Seferović,5543.0,Right Center Forward,2,Eintracht Frankfurt,184,"['ba32c40c-f112-4aaa-92f8-14d2109b8ee4', 'dc6e5a35-5c9d-4d17-84aa-1005e2f856f2']",11,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:11.128,Pass,True
,,,,,,,,,,,,,,,0.68474,,,,,,,,,,f3de8e30-aa4c-4856-adc4-73d3870a048e,27,,"[53.7, 75.1]",3890311,0,,,,,-2.7589855,,Right Foot,,,"[45.5, 71.8]",,Ground Pass,,8.839118,,,,Aleksandar Ignjovski,9134.0,,,,,,1,From Kick Off,Makoto Hasebe,5681.0,Right Center Midfield,2,Eintracht Frankfurt,184,['1f3b1d2c-4d30-4592-93f6-6e44b2628a2b'],12,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:12.156,Pass,
,,,,,,,,,,,,,,,0.853119,,,,,,,,,,7dba983b-e4c9-4ba9-8d51-7dface93eee3,31,,"[47.9, 72.4]",3890311,0,,,,,0.0,,Right Foot,,,"[57.9, 72.4]",,Ground Pass,,10.0,,Incomplete,,Makoto Hasebe,5681.0,,,,,,1,From Kick Off,Aleksandar Ignjovski,9134.0,Right Back,2,Eintracht Frankfurt,184,"['0ef04c98-10fc-4df9-ad21-411a74872340', '4c00c007-560b-41b1-b700-b2ed08a01184', 'ae3e6ccc-ea06-461f-8d3c-b146593ba010']",13,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:13.835,Pass,True
,,,,,,,,,,,,,,,0.403336,,,,,,,,,,b66de790-88d6-4520-beff-12300fdc3d35,35,,"[62.7, 7.5]",3890311,0,,,,,-0.09966865,,Left Foot,,,"[70.7, 6.7]",,Ground Pass,,8.039901,,Incomplete,,Marco Höger,8824.0,,,,,,1,Regular Play,Sead Kolašinac,3510.0,Left Back,3,Schalke 04,181,"['0aeae450-1a45-4ced-86f9-2ab8e33b6255', '5437542a-6319-4dc3-923f-2aaa01b59313']",15,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:15.453,Pass,
,,,,,,,,,,,,,,,1.142812,,,,,,,,,,bcdcca86-8efe-4895-b06e-92c9815ee5ee,41,,"[77.6, 12.0]",3890311,0,,,,,-0.5637486,,Right Foot,,,"[86.3, 6.5]",,Ground Pass,,10.292716,,,,Marco Höger,8824.0,,,,,,1,Regular Play,Max Meyer,8508.0,Center Attacking Midfield,3,Schalke 04,181,['201c9715-d1e8-470f-a5d5-d3517d26b327'],19,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:19.584,Pass,
,,,,,,,,,,,,,,,1.283009,,,,,,,,,,2ec3e3c8-e7c0-4857-b9a9-e756ec978fb2,45,,"[88.8, 8.8]",3890311,0,,,,,-0.08931399,,Right Foot,,,"[108.9, 7.0]",,Ground Pass,,20.180435,,,,Jean-Eric Maxim Choupo-Moting,3499.0,,,,,,1,Regular Play,Marco Höger,8824.0,Left Center Midfield,3,Schalke 04,181,['48add317-311c-489e-8429-f6a202cdf3c3'],21,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:21.181,Pass,
,,,,,,,,,,,,,,,1.384876,,,,,,,,,,1647b9ab-510f-462f-8bb2-951bede31c55,52,,"[111.4, 6.2]",3890311,0,,,,,1.8377093,,Right Foot,True,,"[104.4, 31.8]",,Ground Pass,,26.539782,,,,Max Meyer,8508.0,,,,,,1,Regular Play,Jean-Eric Maxim Choupo-Moting,3499.0,Left Center Forward,3,Schalke 04,181,['c5caa157-60c3-47c9-82b7-230a338c240c'],26,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:26.345,Pass,
,,,,,,,,,,,,,,,1.806146,,,,,,,,,,4e87357f-d03a-48ef-95e4-42f49857b137,55,,"[97.2, 31.4]",3890311,0,,,,,1.9113009,,Right Foot,,,"[86.5, 61.6]",,Ground Pass,,32.039505,,,,Sascha Riether,25003.0,,,,,,1,Regular Play,Max Meyer,8508.0,Center Attacking Midfield,3,Schalke 04,181,['33b3d4d4-14c2-46d4-93d2-18f989f6bf24'],29,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:29.169,Pass,
