50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d1a2b2d5-44be-424c-89e9-6f9d42ae1d78,1,,,3890533,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hertha Berlin,173,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 17313, 'name': 'Thomas Kraft'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9722, 'name': 'Peter Pekarík'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8580, 'name': 'Sebastian Langkamp'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 8965, 'name': 'Fabian Lustenberger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 5569, 'name': 'Marvin Plattenhardt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 8570, 'name': 'Niklas Stark'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 12407, 'name': 'Maximilian Mittelstädt'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 34}, {'player': {'id': 8576, 'name': 'Mitchell Weiser'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 30439, 'name': 'Tolga Ciğerci'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 9721, 'name': 'Valentin Stocker'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 8571, 'name': 'Vedad Ibišević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Hertha Berlin,173,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1b3e1345-1011-494f-a020-fbdb14e5d7a8,2,,,3890533,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hertha Berlin,173,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8209, 'name': 'Márcio Rafael Ferreira de Souza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 5244, 'name': 'Medhi Amine El Mouttaqi Benatia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 400984, 'name': 'Serdar Taşçı'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 8227, 'name': 'Mario Götze'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 5837, 'name': 'Douglas Costa de Souza'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ad4cc0ed-e9c3-4ed6-b393-b89e4a73f55d,3,,,3890533,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hertha Berlin,173,['f3b1b5af-39e2-4a6d-a217-d46815437a01'],0,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f3b1b5af-39e2-4a6d-a217-d46815437a01,4,,,3890533,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hertha Berlin,173,['ad4cc0ed-e9c3-4ed6-b393-b89e4a73f55d'],0,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e2ebf22a-5e5f-4360-ac25-946b19d1930a,1805,,,3890533,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Hertha Berlin,173,['0743a449-1576-40bd-a529-7516c8783277'],0,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0743a449-1576-40bd-a529-7516c8783277,1806,,,3890533,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Hertha Berlin,173,['e2ebf22a-5e5f-4360-ac25-946b19d1930a'],0,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.373766,,,,,,,,,,,,,98115026-557b-4ead-ad49-ff738ba60c01,5,,"[61.0, 40.1]",3890533,0,,,,,1.9513026,,Right Foot,,,"[60.0, 42.6]",,Ground Pass,2.6925824,,,,Robert Lewandowski,5668.0,,,,,,Kick Off,1,From Kick Off,Mario Götze,8227.0,Center Attacking Midfield,2,Bayern Munich,169,['a58029d2-f7d3-4995-843e-9843ec58f31d'],1,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:01.171,Pass,
,,,,,,,,,,,,,,,,1.389215,,,,,,,,,,,,,fec9b4c0-7189-49ac-949d-be3ec482a641,8,,"[59.2, 41.8]",3890533,0,,,,,-2.7889242,,Right Foot,,,"[44.8, 36.5]",,Ground Pass,15.34438,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,,1,From Kick Off,Robert Lewandowski,5668.0,Center Forward,2,Bayern Munich,169,['a4e24917-7328-47eb-b3a6-2d3cb55380b9'],1,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:01.641,Pass,
,,,,,,,,,,,,,,,,1.73963,,,,,,,,,,,,,5f4f714f-a66e-4d8f-9f41-6cf7b112d359,12,,"[48.6, 35.9]",3890533,0,,,,,-2.0852478,,Right Foot,,,"[39.5, 19.8]",,Ground Pass,18.493782,,,,Joshua Kimmich,5579.0,,,,,,,1,From Kick Off,Thiago Alcântara do Nascimento,5208.0,Left Defensive Midfield,2,Bayern Munich,169,"['9cb144e8-cca4-478a-89fa-b62904e0b9d7', 'c8baf7da-aefe-4764-b100-a314c1e647b0']",4,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:04.557,Pass,True
,,,,,,,,,,,,,,,,1.692722,,,,,,,,,,,,,b5b3b453-19a5-426f-81cc-5c085b363d98,16,,"[34.8, 19.6]",3890533,0,,,,,-3.1368756,,Right Foot,,,"[13.6, 19.5]",,Ground Pass,21.200235,,,,Serdar Taşçı,400984.0,,,,,,,1,From Kick Off,Joshua Kimmich,5579.0,Left Back,2,Bayern Munich,169,['63195641-a638-4332-a367-08e4ddaaede9'],8,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:08.439,Pass,
