50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1183649c-1eb6-4d9f-979f-8b176b80f1a5,1,,,3890455,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8517, 'name': 'Ralf Fährmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 30312, 'name': 'Uilson de Souza Paula Júnior'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 16534, 'name': 'Roman Neustädter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 3510, 'name': 'Sead Kolašinac'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 6717, 'name': 'Johannes Geis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11281, 'name': 'Alessandro Schöpf'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 5242, 'name': 'Younès Belhanda'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 13}, {'player': {'id': 8060, 'name': 'Klaas-Jan Huntelaar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Schalke 04,181,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bf7b43da-950e-4c8b-a514-f020da58da0d,2,,,3890455,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 9082, 'name': 'Przemysław Tytoń'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 20665, 'name': 'Kevin Großkreutz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 8270, 'name': 'Daniel Schwaab'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 40470, 'name': 'Georg Niedermeier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 34558, 'name': 'Sereso Geoffroy Gonzaroua Dié'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 11395, 'name': 'Lukas Rupp'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 8959, 'name': 'Christian Gentner'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",VfB Stuttgart,174,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ae4fb912-ec2e-4b62-a32c-0a05e377c701,3,,,3890455,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['513d3e69-e4f1-442c-8589-b4b01f252357'],0,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,513d3e69-e4f1-442c-8589-b4b01f252357,4,,,3890455,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['ae4fb912-ec2e-4b62-a32c-0a05e377c701'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,754b9551-c062-415d-b616-a4528c894805,1663,,,3890455,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,103,VfB Stuttgart,174,['b857617c-645b-4146-9d0e-09e0b8882e9e'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b857617c-645b-4146-9d0e-09e0b8882e9e,1664,,,3890455,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,103,VfB Stuttgart,174,['754b9551-c062-415d-b616-a4528c894805'],0,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.338546,,,,,,,,,,,,,,,d835680e-1be7-4b69-98c2-c2cbf0f5f193,5,,"[60.0, 40.0]",3890455,0,,,,-1.2860659,,Right Foot,,,,"[61.2, 35.9]",Ground Pass,,4.2720017,,,,Daniel Didavi,8243.0,,,,,Kick Off,1,From Kick Off,Timo Werner,5557.0,Center Forward,2,VfB Stuttgart,174,['c4dfbbc0-6133-4852-9b98-4a7ab7c1192d'],1,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:01.261,Pass,
,,,,,,,,,,,,,,,,,,1.13978,,,,,,,,,,,,,,,5071997a-4b1d-4292-8eac-84a1413eeb21,8,,"[62.2, 39.7]",3890455,0,,,,2.8845844,,Right Foot,,,,"[46.6, 43.8]",Ground Pass,,16.129786,,,,Sereso Geoffroy Gonzaroua Dié,34558.0,,,,,,1,From Kick Off,Daniel Didavi,8243.0,Right Center Midfield,2,VfB Stuttgart,174,['5945fa8b-ceae-49a0-bd00-03577ecebc75'],1,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:01.614,Pass,
,,,,,,,,,,,,,,,,,,1.740611,,,,,,,,,,,,,,,68adadea-8da2-4e72-af12-3d9f037a8e05,11,,"[46.4, 44.5]",3890455,0,,,,-1.6158587,,Right Foot,,,,"[44.7, 6.8]",Ground Pass,,37.738308,,,,Emiliano Adrián Insúa Zapata,12626.0,,,,,,1,From Kick Off,Sereso Geoffroy Gonzaroua Dié,34558.0,Center Defensive Midfield,2,VfB Stuttgart,174,['ccaa3d1c-ee6f-460b-ba41-24a66f793e73'],3,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:03.495,Pass,
,,,,,,,,,,,,,,,,,,4.498264,,,,,,,,,,,,,,,f787cc3a-f307-48aa-b04f-2d6654c48437,14,,"[39.7, 6.6]",3890455,0,,,,-0.06698233,,Left Foot,,,,"[103.8, 2.3]",High Pass,,64.244064,,Incomplete,,Timo Werner,5557.0,,,,,,1,From Kick Off,Emiliano Adrián Insúa Zapata,12626.0,Left Back,2,VfB Stuttgart,174,"['2021b4d8-d26b-475d-9495-3117416b0fe0', 'b6d626a3-b515-498c-baec-3e68d3bbebe3']",6,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:06.779,Pass,
