50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.983661,,,,,,,,,,,7a41a629-d40f-46d1-8142-62f84a4b6ab4,16,,,"[116.6, 70.7]",3890531,0,,,,-1.64296,,Right Foot,,,"[115.4, 54.1]",,Ground Pass,,16.643316,Incomplete,,Sandro Wagner,9723.0,,,,,,1,From Kick Off,Marcel Heller,9401.0,Right Wing,2,Darmstadt 98,872,"['00d3a578-e43e-4fc5-af9c-1baba4ff10fd', '412b91f0-ddda-471f-90b6-dc40750eecf0', 'd8db0dcd-f9bc-4542-be58-1e27ec4c1922']",10,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:10.702,Pass,True
,,,,,,,,,,,,,,,,,1.344219,,,,,,,,,,,b7cdc94c-a518-4104-8a13-60c7167c8117,19,,,"[120.0, 80.0]",3890531,0,,,,-1.6802473,,Left Foot,,,"[116.0, 43.6]",,High Pass,True,36.61912,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Konstantin Rausch,11134.0,Left Wing,3,Darmstadt 98,872,['aaba22c8-2b1f-4d82-8642-08c7f00bfd54'],46,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:46.860,Pass,
,,,,,,,,,,,,,,,,,1.238988,,,,,,,,,,,d7e5245a-5c33-4b90-9bbf-63f1870c9be5,21,,,"[120.0, 80.0]",3890531,1,,,,-1.7240565,,Left Foot,,,"[114.3, 43.1]",,High Pass,True,37.33765,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Konstantin Rausch,11134.0,Left Wing,4,Darmstadt 98,872,['8d96fad0-0f21-43ec-8811-7d8b2f30ddee'],13,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:13.818,Pass,
,,,,,,,,,,,,,,,,,1.87033,,,,,,,,,,,bc021b3a-c0dc-463e-80e8-c5bbc1aca139,23,,,"[94.6, 66.5]",3890531,1,,,,-3.0027077,,Head,,,"[76.0, 63.9]",,Low Pass,,18.780842,,,Jérôme Gondorf,8388.0,,,,,Recovery,1,From Corner,Konstantin Rausch,11134.0,Left Wing,4,Darmstadt 98,872,['df8d501a-b7ca-4b97-a382-a01563795cf6'],18,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:18.959,Pass,
,,,,,,,,,,,,,,,,,2.175954,,,,,,,,,,,dbece1a1-2b17-451b-9174-bbd43fa3ab40,26,,,"[74.1, 67.7]",3890531,1,,,,0.42322847,,Head,,,"[85.2, 72.7]",,High Pass,,12.174153,,,Konstantin Rausch,11134.0,,,,,,1,From Corner,Jérôme Gondorf,8388.0,Right Defensive Midfield,4,Darmstadt 98,872,"['0c02c5aa-60ac-4be6-9f65-297a7fb2f1cc', '4693092b-bbed-45da-96ac-85529a8ce39a']",21,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:21.980,Pass,True
,,,,,,,,,,,,,,,,,2.186493,,,,,,,,,,,e72acb44-380e-46ce-a044-05b824b06e83,29,,,"[86.0, 74.8]",3890531,1,,,,-0.27434084,,Left Foot,,,"[102.7, 70.1]",,High Pass,,17.348776,Incomplete,,Marcel Heller,9401.0,,,,,,1,From Corner,Konstantin Rausch,11134.0,Left Wing,4,Darmstadt 98,872,"['44675ff7-e02e-4633-b36a-48547b365c31', '5ffbd08d-cb2f-404d-9470-00ca89819381']",24,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:24.196,Pass,
,,,,,,,,,,,,,,,,,0.076361,,,,,,,,,,,44675ff7-e02e-4633-b36a-48547b365c31,31,,,"[17.4, 10.0]",3890531,1,,,,-0.24497867,,Left Foot,,,"[20.6, 9.2]",,Low Pass,,3.2984846,Incomplete,,Jonas Hector,6040.0,,,,,Recovery,1,From Corner,Filip Mladenović,7993.0,Left Back,4,Darmstadt 98,872,"['0978a77e-ea8d-45db-9d2e-2c15d2741cd0', '2b250d0e-beca-40c8-b951-5d353920049a', 'e72acb44-380e-46ce-a044-05b824b06e83']",26,,,,,,,,,,,,,,,,,,FC Köln,186,00:01:26.382,Pass,
,,,,,,,,,,,,,,,,,1.258558,,,,,,,,,,,82891a7f-b1d3-4d30-a873-c49910b34158,36,,,"[22.3, 17.7]",3890531,1,,,,0.24497867,,Left Foot,,,"[41.1, 22.4]",,Ground Pass,,19.378597,,,Yūya Ōsako,5679.0,,,,,,1,From Counter,Jonas Hector,6040.0,Left Defensive Midfield,5,FC Köln,186,['25fe771f-bc98-43d2-85e6-4f56d55ac9aa'],31,,,,,,,,,,,,,,,,,,FC Köln,186,00:01:31.585,Pass,
,,,,,,,,,,,,,,,,,0.718124,,,,,,,,,,,1c30d498-a2a6-4a19-a129-0b8d89ffb67b,42,,,"[55.2, 14.5]",3890531,1,,,,1.8004388,,Left Foot,,,"[51.6, 29.9]",,Ground Pass,,15.815183,,,Matthias Lehmann,8827.0,,,,,Free Kick,1,From Free Kick,Jonas Hector,6040.0,Left Defensive Midfield,6,FC Köln,186,['bae7d6d6-0c5d-4557-ac0e-cddc6c25d2a8'],49,,,,,,,,,,,,,,,,,,FC Köln,186,00:01:49.393,Pass,
,,,,,,,,,,,,,,,,,1.021918,,,,,,,,,,,a3c6421b-ed56-4432-ae62-0523a58dd533,45,,,"[50.9, 27.3]",3890531,1,,,,-1.1930296,,Right Foot,,,"[55.9, 14.7]",,Ground Pass,,13.555811,,,Jonas Hector,6040.0,,,,,,1,From Free Kick,Matthias Lehmann,8827.0,Right Defensive Midfield,6,FC Köln,186,['3c85c257-822f-465e-9acc-b39cac31e27c'],51,,,,,,,,,,,,,,,,,,FC Köln,186,00:01:51.439,Pass,
