50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e2ebb24c-0a0e-4c22-bebc-04f87079a041,1,,,,3890434,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 23341, 'name': 'Alexander Milosevic'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 400614, 'name': 'Christian Schulz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 24914, 'name': 'Edgar Prib'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 12294, 'name': 'Andre Hoffmann'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5694, 'name': 'Hotaru Yamaguchi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 24244, 'name': 'Uffe Manich Bech'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 8543, 'name': 'Manuel Schmiedebach'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 8407, 'name': 'Ádám Szalai'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 20359, 'name': 'Hugo Miguel Pereira de Almeida'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Hannover 96,178,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9210f73e-38ac-4fc2-b9b7-8bad9e4f70fc,2,,,,3890434,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8549, 'name': 'Giulio Donati'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 18399, 'name': 'Gaëtan Bussmann'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8539, 'name': 'Danny Latza'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 9098, 'name': 'Christian Clemens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6337, 'name': 'Yoshinori Muto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",FSV Mainz 05,177,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4607e723-10b1-4642-9841-2598e030b839,3,,,,3890434,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,['c95bbb8f-ce5d-4f34-b20e-07af76b61619'],0,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c95bbb8f-ce5d-4f34-b20e-07af76b61619,4,,,,3890434,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,['4607e723-10b1-4642-9841-2598e030b839'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,248f51ae-0efc-4145-afda-588678cb9e06,1941,,,,3890434,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,104,FSV Mainz 05,177,['302a2bdd-39ea-4dd8-b0f6-7b4aa34128a7'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,302a2bdd-39ea-4dd8-b0f6-7b4aa34128a7,1942,,,,3890434,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,104,FSV Mainz 05,177,['248f51ae-0efc-4145-afda-588678cb9e06'],0,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.58119,,,,,,,,,,,,f07e446a-a595-4a06-9984-7a8a0472d6da,5,,,"[60.0, 40.0]",3890434,0,,,,-0.68231654,,Right Foot,,,"[61.6, 38.7]",Ground Pass,,2.0615528,,,,Yoshinori Muto,6337.0,,,,,Kick Off,1,From Kick Off,Yunus Mallı,8679.0,Center Attacking Midfield,2,FSV Mainz 05,177,['1e2c8802-061a-4517-a6ee-655f076a8c73'],1,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:01.330,Pass,
,,,,,,,,,,,,,,,,,,,2.262085,,,,,,,,,,,,725c9658-7be2-4aa9-b566-e7efb60c8b74,8,,,"[61.9, 40.1]",3890434,0,,,,1.2653147,,Right Foot,,,"[69.5, 64.2]",Ground Pass,,25.269943,,,,Giulio Donati,8549.0,,,,,,1,From Kick Off,Yoshinori Muto,6337.0,Center Forward,2,FSV Mainz 05,177,['71377f1e-5acd-45f7-b9ed-aab2df0cd546'],2,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:02.251,Pass,
,,,,,,,,,,,,,,,,,,,0.772386,,,,,,,,,,,,a6f640bc-b447-4d78-9831-04dc7a0c038f,10,,,"[69.5, 64.2]",3890434,0,,,,-0.6128202,,Right Foot,,,"[82.3, 55.2]",Low Pass,,15.647364,,Incomplete,,Christian Clemens,9098.0,,,,,,1,From Kick Off,Giulio Donati,8549.0,Right Back,2,FSV Mainz 05,177,"['514da1c6-a70d-4c2b-864d-338dad359d3b', '635b658c-2d8c-4176-ab70-bcd6ce112e4b']",4,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:04.513,Pass,
,,,,,,,,,,,,,,,,,,,1.648601,,,,,,,,,,,,635b658c-2d8c-4176-ab70-bcd6ce112e4b,12,,,"[37.8, 24.9]",3890434,0,,,,0.20997351,,Right Foot,,,"[68.3, 31.4]",High Pass,,31.184933,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Christian Schulz,400614.0,Left Center Back,2,FSV Mainz 05,177,"['889a108d-12f6-4ace-b30a-843fdec70eb6', 'a6f640bc-b447-4d78-9831-04dc7a0c038f']",5,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:05.285,Pass,
