50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,41ec30a9-e966-4c73-8d33-df4c68096506,1,,,,3890430,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8307, 'name': 'Martin Hinteregger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8809, 'name': 'Oscar Wendt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 8395, 'name': 'Håvard Nordtveit'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8238, 'name': 'Mahmoud Dahoud'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 13}, {'player': {'id': 8810, 'name': 'Raffael Caetano de Araújo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Borussia Mönchengladbach,185,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ab1631bc-68a6-4c9a-9ce9-2da01c979eaf,2,,,,3890430,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 7}, {'player': {'id': 3774, 'name': 'Papiss Mison Djilobodji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15370, 'name': 'Leon Guwara'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 20010, 'name': 'Clemens Fritz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8762, 'name': 'Zlatko Junuzović'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 8554, 'name': 'Levin Mete Öztunali'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 16502, 'name': 'László Kleinheisler'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 11132, 'name': 'Claudio Miguel Pizarro Bossio'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 12624, 'name': 'Anthony Ujah'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f4ab74d2-9543-45df-9399-e10be62af2af,3,,,,3890430,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,['3d7af2fc-1a3d-41a6-a8d9-b77ed9beda74'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3d7af2fc-1a3d-41a6-a8d9-b77ed9beda74,4,,,,3890430,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,['f4ab74d2-9543-45df-9399-e10be62af2af'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,25d5f21f-6d77-42c0-b192-e6501f2c7ed8,1674,,,,3890430,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,106,Werder Bremen,176,['be5d2cf1-8499-45f4-8702-eca3c939e6e0'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,be5d2cf1-8499-45f4-8702-eca3c939e6e0,1675,,,,3890430,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,106,Werder Bremen,176,['25d5f21f-6d77-42c0-b192-e6501f2c7ed8'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.326777,,,,,,,,,,,,,,f0de33c8-e17e-459a-a5d2-f8c8cd4f1236,5,,,"[60.0, 40.0]",3890430,0,,,,-2.1293957,,Right Foot,,,"[59.5, 39.2]",,Ground Pass,,0.9433981,,,Lars Edi Stindl,8806.0,,,,,,Kick Off,1,From Kick Off,Raffael Caetano de Araújo,8810.0,Left Center Forward,2,Borussia Mönchengladbach,185,['6f7667c7-406f-4d5e-89c2-37258891fb02'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.200,Pass,
,,,,,,,,,,,,,,,,,,1.520974,,,,,,,,,,,,,,a780d62a-7bb8-4745-91ac-9fd87a10d26a,7,,,"[60.0, 38.3]",3890430,0,,,,2.9694018,,Right Foot,,,"[39.3, 41.9]",,Ground Pass,,21.010712,,,Andreas Christensen,3959.0,,,,,,,1,From Kick Off,Lars Edi Stindl,8806.0,Right Center Forward,2,Borussia Mönchengladbach,185,['37149422-3acd-4574-9304-f15ae3c537c5'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.526,Pass,
,,,,,,,,,,,,,,,,,,2.684467,,,,,,,,,,,,,,7b1417e5-73dd-46de-a819-e26d81874421,10,,,"[42.3, 41.7]",3890430,0,,,,-0.5285031,,Right Foot,,,"[85.8, 16.3]",,High Pass,,50.37271,Incomplete,,Oscar Wendt,8809.0,,,,,,,1,From Kick Off,Andreas Christensen,3959.0,Right Center Back,2,Borussia Mönchengladbach,185,"['4c4ced07-eeb7-4c75-baff-2d844ee657cb', 'd3383749-c9a0-4560-8656-94fb14a0ba28']",3,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:03.453,Pass,
,,,,,,,,,,,,,,,,,,3.171397,,,,,,,,,,,,,,d3383749-c9a0-4560-8656-94fb14a0ba28,12,,,"[34.3, 63.8]",3890430,0,,,,-0.4077318,,Head,,,"[72.5, 47.3]",,High Pass,,41.611176,Incomplete,,Clemens Fritz,20010.0,,,,,,Recovery,1,From Kick Off,Theodor Gebre Selassie,8396.0,Right Back,2,Borussia Mönchengladbach,185,"['4d54d3f8-489d-424c-b82d-58b53515386e', '7b1417e5-73dd-46de-a819-e26d81874421', 'fe7fbd17-a85c-4dee-86ac-0c1833ebff92']",6,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:06.137,Pass,
