50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dca1f8a6-cc27-4d5f-810f-ba9852238ebc,1,,,3890546,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 7}, {'player': {'id': 3774, 'name': 'Papiss Mison Djilobodji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26359, 'name': 'Santiago García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 20010, 'name': 'Clemens Fritz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 23660, 'name': 'Sambou Yatabaré'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 5}, {'player': {'id': 8762, 'name': 'Zlatko Junuzović'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 8389, 'name': 'Fin Bartels'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 11132, 'name': 'Claudio Miguel Pizarro Bossio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3cb775ca-ebfd-41c0-b901-c02086d25544,2,,,3890546,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 9082, 'name': 'Przemysław Tytoń'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 11370, 'name': 'Matthias Zimmermann'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 37}, {'player': {'id': 40470, 'name': 'Georg Niedermeier'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 17520, 'name': 'Federico Barba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 8270, 'name': 'Daniel Schwaab'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 8550, 'name': 'Alexandru Iulian Maxim'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 44}, {'player': {'id': 11395, 'name': 'Lukas Rupp'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 8557, 'name': 'Martin Harnik'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",VfB Stuttgart,174,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fc96fdd5-8fe2-48e4-8ca6-630207c062c4,3,,,3890546,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['b5406b33-3419-4e60-a523-1348fbc7e224'],0,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b5406b33-3419-4e60-a523-1348fbc7e224,4,,,3890546,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['fc96fdd5-8fe2-48e4-8ca6-630207c062c4'],0,,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bdeb156e-73f3-4871-bb00-6ab1fe9b266a,1686,,,3890546,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,VfB Stuttgart,174,['5aa265e5-9f5f-4ff1-b4a6-148e08f0847d'],0,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5aa265e5-9f5f-4ff1-b4a6-148e08f0847d,1687,,,3890546,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,VfB Stuttgart,174,['bdeb156e-73f3-4871-bb00-6ab1fe9b266a'],0,,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.157246,,,,,,,,,,,,,,0947182c-1c2d-4538-8e64-76c6c631974a,5,,"[61.0, 40.1]",3890546,0,True,,,-2.961739,,Right Foot,,,,"[50.0, 38.1]",,Ground Pass,,11.18034,,,,,Florian Grillitsch,11396.0,,,,,Kick Off,1,From Kick Off,Claudio Miguel Pizarro Bossio,11132.0,Center Forward,2,Werder Bremen,176,['f0cee7ad-a7c3-4145-9432-4bd2dd8dc83a'],1,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:01.182,Pass,
,,,,,,,,,,,,,,,,,2.51772,,,,,,,,,,,,,,553a0915-1653-4190-8770-2a25accdd988,8,,"[49.5, 41.8]",3890546,0,,,,0.80699974,,Right Foot,,,,"[81.2, 74.9]",,High Pass,,45.83121,,,,,Sambou Yatabaré,23660.0,,,,,,1,From Kick Off,Florian Grillitsch,11396.0,Right Defensive Midfield,2,Werder Bremen,176,"['337e9a48-613a-4528-8ce0-e1b619adc9d2', '48732b47-6df5-4a0c-bd16-8986a2436a01']",2,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:02.921,Pass,True
,,,,,,,,,,,,,,,,,0.140571,,,,,,,,,,,,,,a108af98-3c44-4a32-ba39-27bcff1852c6,12,,"[75.0, 75.2]",3890546,0,,,,-3.1198568,,Right Foot,,,,"[70.4, 75.1]",,Ground Pass,,4.6010866,,,Incomplete,,Theodor Gebre Selassie,8396.0,,,,,,1,From Kick Off,Sambou Yatabaré,23660.0,Right Wing,2,Werder Bremen,176,"['27755f0f-d7f6-44e4-8e01-0530f72b1731', '8532ded2-3fa5-4c52-8ca7-db2e6920000c']",7,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:07.123,Pass,
,,,,,,,,,,,,,,,,,2.437401,,,,,,,,,,,,,,aef54944-6b84-472c-a928-4817d47ace85,15,,"[68.9, 80.0]",3890546,0,,,,-2.9501343,,,,,,"[46.2, 75.6]",,Low Pass,,23.1225,,,,,Jannik Vestergaard,8815.0,,,,,Throw-in,1,From Throw In,Theodor Gebre Selassie,8396.0,Right Back,3,Werder Bremen,176,['d1996a83-0dbc-429d-b250-b1cb0ea88714'],11,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:11.851,Pass,
