50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.279977,,,,,,,,,,,,,e02d6d43-b024-4752-b77a-1c9fdf16b327,16,,"[50.1, 23.6]",3890553,0,,,,1.8656476,,Right Foot,,,,"[46.0, 37.1]",,Ground Pass,,14.108863,,,,Nuri Şahin,8232.0,,,,,,1,From Kick Off,Marco Reus,5559.0,Left Center Midfield,2,Borussia Dortmund,180,['5dfc3c37-ef45-4fbe-ad32-dc85e34891ad'],7,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:07.641,Pass,
,,,,,,,,,,,,,,,,1.161664,,,,,,,,,,,,,37ca65c4-3324-45ee-a90b-e52a6a386b72,19,,"[45.5, 39.0]",3890553,0,,,,1.6759965,,Left Foot,,,,"[43.8, 55.1]",,Ground Pass,,16.189503,,,,Sven Bender,8216.0,,,,,,1,From Kick Off,Nuri Şahin,8232.0,Center Defensive Midfield,2,Borussia Dortmund,180,['066ad7b7-9a50-49da-a23b-6b7dbdc988ce'],9,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:09.282,Pass,
,,,,,,,,,,,,,,,,2.021685,,,,,,,,,,,,,7b83a28c-ec91-4851-b0e5-03030ed6dd3d,22,,"[50.9, 54.6]",3890553,0,,,,0.92922574,,Right Foot,,,,"[63.3, 71.2]",,Ground Pass,,20.72004,,,,Erik Durm,13206.0,,,,,,1,From Kick Off,Sven Bender,8216.0,Right Center Back,2,Borussia Dortmund,180,['efdab132-d1b5-4057-99bf-224a72531e43'],12,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:12.562,Pass,
,,,,,,,,,,,,,,,,1.141416,,,,,,,,,,,,,648e0c0e-5989-469a-bb62-3e2e5c488c1e,26,,"[62.9, 71.0]",3890553,0,,,,-1.2649175,,Right Foot,,,,"[64.7, 65.3]",,Ground Pass,,5.9774575,,,,Henrikh Mkhitaryan,3275.0,,,,,,1,From Kick Off,Erik Durm,13206.0,Right Back,2,Borussia Dortmund,180,"['ebb12b63-5985-497e-b171-20b112137f47', 'efa95ed2-a7d1-47d6-b710-efa6e066eb51']",15,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:15.836,Pass,True
,,,,,,,,,,,,,,,,0.60178,,,,,,,,,,,,,43edb615-27c7-45d9-a3cf-8104abae4b5c,31,,"[62.5, 60.6]",3890553,0,,,,-2.2430434,,Right Foot,,,,"[54.7, 50.8]",,Ground Pass,,12.525175,,,,Nuri Şahin,8232.0,,,,,,1,From Kick Off,Henrikh Mkhitaryan,3275.0,Right Center Midfield,2,Borussia Dortmund,180,"['7c5af6ad-c670-4bbe-828a-80858fa44ad6', '83876930-1bb4-4638-a348-6321dd6556c4']",18,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:18.364,Pass,True
,,,,,,,,,,,,,,,,1.46098,,,,,,,,,,,,,0219e8a2-ab76-4cc9-aa57-3666d9c180e7,37,,"[50.7, 58.2]",3890553,0,True,,,-1.6193019,,Right Foot,,,,"[49.2, 27.3]",,Ground Pass,,30.936386,,,,Mats Hummels,5572.0,,,,,Free Kick,1,From Free Kick,Sven Bender,8216.0,Right Center Back,3,Borussia Dortmund,180,['e5d231a3-85b2-4390-8880-ed4d05b1b789'],28,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:28.316,Pass,
,,,,,,,,,,,,,,,,1.682299,,,,,,,,,,,,,cb4ea289-cb48-4c03-8fa7-76864887232e,39,,"[56.1, 29.7]",3890553,0,,,,-1.2828718,,Right Foot,,,,"[63.8, 3.7]",,Ground Pass,,27.116232,,,,Marcel Schmelzer,11458.0,,,,,,1,From Free Kick,Mats Hummels,5572.0,Left Center Back,3,Borussia Dortmund,180,['527a9e77-752f-44b7-b5ba-541992633c07'],32,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:32.015,Pass,
,,,,,,,,,,,,,,,,1.275725,,,,,,,,,,,,,b4e45269-79f7-4962-8322-a6d76ccf6a42,42,,"[63.0, 7.5]",3890553,0,,,,2.7622926,,Left Foot,,,,"[48.7, 13.2]",,Ground Pass,,15.394155,,,,Mats Hummels,5572.0,,,,,,1,From Free Kick,Marcel Schmelzer,11458.0,Left Back,3,Borussia Dortmund,180,['538838f0-4ea5-4a0c-800a-e6c457d38e0f'],34,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:34.755,Pass,
,,,,,,,,,,,,,,,,1.621599,,,,,,,,,,,,,a953dc39-c5b0-44f9-ad7f-76a7f263476d,45,,"[48.4, 14.6]",3890553,0,,,,1.4226826,,Right Foot,,,,"[53.1, 46.1]",,Ground Pass,,31.848705,,,,Sven Bender,8216.0,,,,,,1,From Free Kick,Mats Hummels,5572.0,Left Center Back,3,Borussia Dortmund,180,['ceda258c-60cb-4875-9b44-753478ec76b4'],37,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:37.831,Pass,
,,,,,,,,,,,,,,,,0.894349,,,,,,,,,,,,,72f6989e-da60-4c08-a266-5b6b3e2877a6,48,,"[56.3, 50.8]",3890553,0,,,,0.1906389,,Right Foot,,,,"[79.1, 55.2]",,Ground Pass,,23.22068,,,,Henrikh Mkhitaryan,3275.0,,,,,,1,From Free Kick,Sven Bender,8216.0,Right Center Back,3,Borussia Dortmund,180,['d4ee653a-c3a2-447e-8465-935d1f7c9207'],41,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:41.114,Pass,
