50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.053903,,,,,,,,,,,,,,,2402b463-257c-488d-af0c-aac6338972a8,17,,,"[43.8, 74.2]",3890322,0,,,,,-0.88546443,,Right Foot,,,,"[66.2, 46.8]",,Low Pass,,35.39096,,,Sandro Wagner,9723.0,,,,,,1,Regular Play,Marcel Heller,9401.0,Right Midfield,3,Darmstadt 98,872,"['0d9d5f68-c106-496e-95ea-ff2131cc5188', 'ee6752d2-cc3a-4f14-8a08-457939bdd1de']",8,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:08.358,Pass,True
,,,,,,,,,,,,,,,,1.810207,,,,,,,,,,,,,,,2a7ae733-ccb1-4678-9dc5-64170d9685ac,21,,,"[64.3, 45.9]",3890322,0,,,,,0.84126836,,Right Foot,,,,"[85.4, 69.5]",,High Pass,,31.657068,,,Jan Rosenthal,40477.0,,,,,,1,Regular Play,Sandro Wagner,9723.0,Center Forward,3,Darmstadt 98,872,"['56a643a5-f074-4391-bc5f-e3e75bcdbad8', 'de76ab49-8fc6-4c80-9500-efd29aed312f']",11,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:11.132,Pass,True
,,,,,,,,,,,,,,,,1.057817,,,,,,,,,,,,,,,f97e9447-7169-426e-beff-1375e691eb01,25,,,"[81.4, 66.5]",3890322,0,,,,,1.2899586,,Right Foot,,,,"[84.4, 76.9]",,Ground Pass,,10.824047,,,Marcel Heller,9401.0,,,,,,1,Regular Play,Jan Rosenthal,40477.0,Center Attacking Midfield,3,Darmstadt 98,872,"['0713b948-abae-4243-804e-54623e661a65', '76cbfae5-1b3a-4dc8-979c-a70149afddc4']",16,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:16.452,Pass,True
,,,,,,,,,,,,,,,,0.444267,,,,,,,,,,,,,,,1562fe06-9180-4fa0-bb51-559131d76256,28,,,"[83.0, 78.0]",3890322,0,,,,,-0.7853982,,Left Foot,,,,"[87.0, 74.0]",,Low Pass,,5.656854,Unknown,,Jérôme Gondorf,8388.0,,,,,,1,Regular Play,Marcel Heller,9401.0,Right Midfield,3,Darmstadt 98,872,"['02cd6e73-8e88-4d6a-a4fb-37c26821785a', '6c22cd6f-4320-40e0-a8b7-c8103c418650']",18,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:18.002,Pass,True
,,,,,,,,,,,,,,,,1.116225,,,,,,,,,,,,,,,ae053ce4-2086-4876-8237-c14342338914,32,,,"[84.6, 75.9]",3890322,0,,,,,-0.8569887,,Left Foot,True,,,"[107.9, 49.0]",,High Pass,,35.58792,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Konstantin Rausch,11134.0,Left Midfield,4,Darmstadt 98,872,['2019d358-5944-49c6-8817-da60a2cbf1e9'],57,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:57.336,Pass,
,,,,,,,,,,,,,,,,2.362972,,,,,,,,,,,,,,,ec599aaf-5137-4b90-9384-ff549c2babce,34,,,"[25.8, 32.3]",3890322,1,,,,,-0.05949085,,Right Foot,,,,"[57.7, 30.4]",,High Pass,,31.956533,Incomplete,,Pablo Ezequiel De Blasis,8555.0,,,,,Recovery,1,From Free Kick,Jairo Samperio Bustara,6925.0,Right Wing,4,Darmstadt 98,872,"['a3cc3460-7a9c-40a0-9178-371f2cfd9e0b', 'd2212385-0edd-44ba-9b4a-fa01b4155cdd']",0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:01:00.665,Pass,
,,,,,,,,,,,,,,,,4.826343,,,,,,,,,,,,,,,a3cc3460-7a9c-40a0-9178-371f2cfd9e0b,36,,,"[62.4, 49.7]",3890322,1,,,,,-2.6463587,,Right Foot,,,,"[16.3, 24.8]",,High Pass,,52.394848,,,Christian Mathenia,8306.0,,,,,Recovery,1,From Free Kick,György Garics,20522.0,Right Back,4,Darmstadt 98,872,"['32a86de8-a173-4c1b-90f1-6ca5189cd4c9', 'ec599aaf-5137-4b90-9384-ff549c2babce']",3,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:03.028,Pass,
,,,,,,,,,,,,,,,,3.97526,,,,,,,,,,,,,,,de31bc78-f8ae-40d6-bf3f-3af3c337d9a5,38,,,"[16.3, 24.8]",3890322,1,,,,,0.40118244,,Right Foot,,,,"[71.7, 48.3]",,High Pass,,60.178154,Incomplete,,Jan Rosenthal,40477.0,,,,,,1,From Free Kick,Christian Mathenia,8306.0,Goalkeeper,4,Darmstadt 98,872,"['93dafd4d-d007-446f-ba63-e10d4982824f', 'ebc0d5c6-d02b-478b-b724-72ded3abfc47']",7,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:07.854,Pass,
,,,,,,,,,,,,,,,,2.25531,,,,,,,,,,,,,,,93dafd4d-d007-446f-ba63-e10d4982824f,41,,,"[48.4, 31.8]",3890322,1,,,,True,-0.19379845,,,,,,"[69.8, 27.6]",,Low Pass,,21.808256,,,Yunus Mallı,8679.0,,,,,Recovery,1,From Free Kick,Danny Latza,8539.0,Left Defensive Midfield,4,Darmstadt 98,872,"['683a242a-7b84-49e7-a168-54e0ad00eac2', '9dea65a9-79d9-4750-b102-daf7fba6e9d5', 'de31bc78-f8ae-40d6-bf3f-3af3c337d9a5']",11,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:01:11.829,Pass,True
,,,,,,,,,,,,,,,,3.626269,,,,,,,,,,,,,,,529c4a1a-81d8-4c73-8cd9-6f602892740f,44,,,"[70.0, 27.6]",3890322,1,,,,,-0.6273645,,Right Foot,,,,"[99.1, 6.5]",,High Pass,,35.94468,Incomplete,,Yoshinori Muto,6337.0,,,,,,1,From Free Kick,Yunus Mallı,8679.0,Center Attacking Midfield,4,Darmstadt 98,872,"['4123bae9-c8ca-4ff0-aa29-c20e718b4869', 'a08b0829-7260-436f-b607-971977d938b0']",14,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:01:14.161,Pass,
,,,,,,,,,,,,,,,,1.330129,,,,,,,,,,,,,,,ebb5ee46-4816-43be-b31b-e79e739d6bd1,49,,,"[19.4, 75.4]",3890322,1,,,,,0.4118073,,Right Foot,,,,"[28.1, 79.2]",,High Pass,,9.493682,Out,,,,,,,,,1,From Free Kick,György Garics,20522.0,Right Back,4,Darmstadt 98,872,['9ca892f0-8c8f-4079-b6e7-b458999be373'],19,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:19.128,Pass,True
,,,,,,,,,,,,,,,,1.806927,,,,,,,,,,,,,,,7e829e6c-6ea7-45a9-a3ed-ce6d26573f52,50,,,"[93.2, 0.1]",3890322,1,,,,,0.35691193,,,,,,"[116.8, 8.9]",,High Pass,,25.187298,,,Pablo Ezequiel De Blasis,8555.0,,,,,Throw-in,1,From Throw In,Gonzalo Alejandro Jara Reyes,30551.0,Left Back,5,FSV Mainz 05,177,['22d96f99-2c6e-4c98-9eb2-9d8214d1fd1d'],37,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:01:37.747,Pass,
,,,,,,,,,,,,,,,,3.586772,,,,,,,,,,,,,,,1dc76160-c0da-402d-bc01-af263a2fef0b,54,,,"[6.0, 44.0]",3890322,2,,,,,0.07522013,,Right Foot,,,,"[75.0, 49.2]",,High Pass,,69.19566,Incomplete,,Jan Rosenthal,40477.0,,,,,Goal Kick,1,From Goal Kick,Christian Mathenia,8306.0,Goalkeeper,6,Darmstadt 98,872,"['eeff78a3-48bb-4003-a30a-9dd688004420', 'fc2292d0-518b-498d-8b4b-96a5fa644fb1']",5,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:02:05.573,Pass,
,,,,,,,,,,,,,,,,2.105485,,,,,,,,,,,,,,,fc2292d0-518b-498d-8b4b-96a5fa644fb1,56,,,"[45.1, 30.9]",3890322,2,,,,,0.29464877,,Head,,,,"[65.2, 37.0]",,High Pass,,21.005238,Incomplete,,Yoshinori Muto,6337.0,,,,,Recovery,1,From Goal Kick,Julian Baumgartlinger,20037.0,Right Defensive Midfield,6,Darmstadt 98,872,"['1dc76160-c0da-402d-bc01-af263a2fef0b', '2afcd8d5-2e6c-44dd-abf8-b7411a1225da', 'fc9e227a-752a-42b5-a616-d42d12da6bbb']",9,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:02:09.160,Pass,
,,,,,,,,,,,,,,,,1.847266,,,,,,,,,,,,,,,2afcd8d5-2e6c-44dd-abf8-b7411a1225da,59,,,"[54.9, 43.1]",3890322,2,,,,True,-1.345338,,,,,,"[57.4, 32.2]",,High Pass,,11.1830225,Incomplete,,Jérôme Gondorf,8388.0,,,,,Recovery,1,From Goal Kick,Júnior Enrique Díaz Campbell,108336.0,Left Back,6,Darmstadt 98,872,"['13ff57aa-2179-4fd6-994b-a646e82e600d', '83398e7c-d7e1-4fa6-8d83-7991bdf1b908', 'e598a849-54bf-42b5-95b6-be1eda21af06', 'fc2292d0-518b-498d-8b4b-96a5fa644fb1']",11,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:02:11.265,Pass,True
,,,,,,,,,,,,,,,,3.057852,,,,,,,,,,,,,,,f8119be1-218f-4f1d-9cfe-53fa73dde874,64,,,"[54.9, 50.5]",3890322,2,,,,,1.0964783,,Right Foot,,,,"[68.3, 76.6]",,High Pass,,29.338882,,,Daniel Brosinski,8548.0,,,,,,1,Regular Play,Jairo Samperio Bustara,6925.0,Right Wing,7,FSV Mainz 05,177,"['1d49ed80-de40-4c47-970d-db9e5f3a66ab', 'cd934322-79da-4f86-b4b8-8548b65f4e3c']",14,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:02:14.638,Pass,True
,,,,,,,,,,,,,,,,1.44002,,,,,,,,,,,,,,,a38164fd-a180-4f7f-9c87-6d8f1e2981b8,67,,,"[72.6, 76.6]",3890322,2,,,,,-0.61039525,,Right Foot,,,,"[92.9, 62.4]",,Ground Pass,,24.773575,,,Yoshinori Muto,6337.0,,,,,,1,Regular Play,Daniel Brosinski,8548.0,Right Back,7,FSV Mainz 05,177,['601c20cb-3cb5-4984-8ddc-bdfaee655fee'],18,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:02:18.600,Pass,
,,,,,,,,,,,,,,,,0.389256,,,,,,,,,,,,,,,1f92d1cd-f7b3-483c-8b63-d9151bdb29b7,71,,,"[87.2, 59.3]",3890322,2,,,,,-1.4677147,,Right Foot,,,,"[87.5, 56.4]",,Ground Pass,,2.9154758,Incomplete,,Danny Latza,8539.0,,,,,,1,Regular Play,Yoshinori Muto,6337.0,Center Forward,7,FSV Mainz 05,177,"['ebe025d7-5ea4-4708-b727-60132b89127e', 'f496aa6b-ce68-4b1c-86b4-bf05dafa2453']",22,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:02:22.104,Pass,
,,,,,,,,,,,,,,,,1.173884,,,,,,,,,,,,,,,d067a9d5-98bb-487f-8b3c-8f2043a6822f,74,,,"[79.5, 59.0]",3890322,2,,,,,-1.1635405,c5fe622f-0138-41fa-8f6e-a77e9d915b4c,Right Foot,,,,"[86.1, 43.7]",,Ground Pass,,16.662832,,,Danny Latza,8539.0,True,,,,Recovery,1,Regular Play,Julian Baumgartlinger,20037.0,Right Defensive Midfield,7,FSV Mainz 05,177,['1a3fca2b-8e0f-47b3-af85-be1bfa2f17d2'],23,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:02:23.276,Pass,
,,,,,,,,,,,,,,,,3.631306,,,,,,,,,,,,,,,3c57eb92-3174-4988-9800-29ecd8d4537c,79,,,"[22.5, 34.8]",3890322,2,,,,,-0.20601603,,Right Foot,,,,"[80.4, 22.7]",,High Pass,,59.150826,,,Sandro Wagner,9723.0,,,,,,1,From Keeper,Christian Mathenia,8306.0,Goalkeeper,8,Darmstadt 98,872,['ca8f4e22-353a-4988-bfbc-dba5ec01abef'],46,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:02:46.358,Pass,
,,,,,,,,,,,,,,,,2.986562,,,,,,,,,,,,,,,c0a73a4f-ef8e-449d-a285-148b9f6b81fd,82,,,"[80.7, 21.0]",3890322,2,,,,True,0.40397012,,,,,,"[106.9, 32.2]",,Low Pass,,28.493507,Incomplete,,Jan Rosenthal,40477.0,,,,,,1,From Keeper,Sandro Wagner,9723.0,Center Forward,8,Darmstadt 98,872,"['602cbb70-0146-4f32-a18f-ff4b419f3c6a', '6a54ba8c-e972-4232-aa16-91f0f9c72559', '803ef29c-f9aa-4fd3-845d-ce65b09cf820']",49,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:02:49.990,Pass,True
,,,,,,,,,,,,,,,,3.11799,,,,,,,,,,,,,,,1194d927-9ddf-45ae-b723-6d4c1fbfca6f,86,,,"[15.1, 45.6]",3890322,2,,,,,-1.2898703,,Keeper Arm,,,,"[26.7, 5.4]",,High Pass,,41.84017,,,Gonzalo Alejandro Jara Reyes,30551.0,,True,,,,1,From Keeper,Loris Karius,3630.0,Goalkeeper,9,FSV Mainz 05,177,['d491fcb1-d833-4242-9db9-6a86ad715813'],57,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:02:57.675,Pass,
,,,,,,,,,,,,,,,,2.516062,,,,,,,,,,,,,,,b38a1338-94f3-4321-b2e6-940245103ce0,89,,,"[26.7, 5.4]",3890322,3,,,,,0.21603233,,Left Foot,,,,"[70.9, 15.1]",,High Pass,,45.25185,Incomplete,,Yunus Mallı,8679.0,,,,,,1,From Keeper,Gonzalo Alejandro Jara Reyes,30551.0,Left Back,9,FSV Mainz 05,177,"['15dd7391-50b0-4250-8894-0787284ab9d5', '76834d6a-7efa-4dbf-b6ef-d76c96ece78d']",1,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:03:01.868,Pass,
,,,,,,,,,,,,,,,,2.952294,,,,,,,,,,,,,,,0da50afb-3f91-41d1-b5a4-8745abf51fe8,94,,,"[48.0, 72.8]",3890322,3,,,,,0.057819713,,Right Foot,,,,"[98.1, 75.7]",,High Pass,,50.18386,,,Marcel Heller,9401.0,,,,,,1,Regular Play,Aytac Sulu,9217.0,Right Center Back,10,Darmstadt 98,872,"['a8f8fb20-3d88-4ccb-b008-5a6a7bc87838', 'c78a81f3-a49e-4908-a2cf-0f276cfadce0']",6,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:03:06.340,Pass,True
,,,,,,,,,,,,,,,,1.596017,,,,,,,,,,,,,,,6aa78486-3f6b-4a1e-af40-2db31403ff84,97,,,"[98.9, 73.1]",3890322,3,,,,,-1.952913,,Right Foot,,,,"[94.6, 62.4]",,High Pass,,11.531695,Incomplete,,Jan Rosenthal,40477.0,,,,,,1,Regular Play,Marcel Heller,9401.0,Right Midfield,10,Darmstadt 98,872,"['54ff6ec2-c94a-4b98-a15b-c1a4e474d896', 'a9b68c47-9f2a-48b2-81f8-ca42b612acb9']",9,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:03:09.482,Pass,
,,,,,,,,,,,,,,,,1.065833,,,,,,,,,,,,,,,0afd22c2-2c15-4b96-9f0b-ab5b20dbc18b,105,,,"[95.5, 59.6]",3890322,3,,,,,1.1144478,,Right Foot,,,,"[103.6, 76.1]",,Ground Pass,,18.380968,,,Marcel Heller,9401.0,,,,,,1,Regular Play,Jan Rosenthal,40477.0,Center Attacking Midfield,10,Darmstadt 98,872,"['43dc24f0-1e89-4f22-a30d-f3c217117120', 'e934a5ef-5a89-4df2-a470-b49c3ef8a149']",14,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:03:14.063,Pass,True
