50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,59c17098-61dd-49e8-ae44-f543be2f5f3f,16,,"[29.0, 59.3]",3890307,0,,,,,-1.4302812,,Right Foot,,,,"[33.3, 28.9]",,Ground Pass,,30.702606,,,Jannik Vestergaard,8815.0,,,,,,1,From Kick Off,Assani Lukimya-Mulongoti,51388.0,Right Center Back,2,Werder Bremen,176,['d85ebd38-4c96-4727-b8e3-82218f4f55d3'],8,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:08.656,Pass,
,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,cac779e6-b837-4703-b407-6b6256655cc7,19,,"[35.5, 28.7]",3890307,0,,,,,1.7588696,,Right Foot,,,,"[29.6, 59.7]",,Ground Pass,,31.556458,,,Assani Lukimya-Mulongoti,51388.0,,,,,,1,From Kick Off,Jannik Vestergaard,8815.0,Left Center Back,2,Werder Bremen,176,['59c93a71-aa29-4d74-923b-7893f4616a31'],12,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:12.436,Pass,
,,,,,,,,,,,,,,,,,,1.424662,,,,,,,,,,,,,,,,563f14ba-5b6f-4cb4-9ada-b6e6281b7af8,22,,"[31.4, 59.9]",3890307,0,,,,,-1.4434613,,Right Foot,,,,"[35.1, 31.0]",,Ground Pass,,29.13589,,,Jannik Vestergaard,8815.0,,,,,,1,From Kick Off,Assani Lukimya-Mulongoti,51388.0,Right Center Back,2,Werder Bremen,176,['59ab44d8-135f-485b-978b-3192c6bdae20'],16,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:16.279,Pass,
,,,,,,,,,,,,,,,,,,0.799999,,,,,,,,,,,,,,,,3eb30522-2715-483b-b741-dec3cf40ac34,25,,"[38.0, 30.1]",3890307,0,,,,,-1.3258177,,Right Foot,,,,"[43.5, 8.1]",,Ground Pass,,22.67708,,,Santiago García,26359.0,,,,,,1,From Kick Off,Jannik Vestergaard,8815.0,Left Center Back,2,Werder Bremen,176,['c280310b-13ee-4ff5-9453-6fa3d13ce3a3'],19,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:19.685,Pass,
,,,,,,,,,,,,,,,,,,5.719059,,,,,,,,,,,,,,,,93eb3e4a-b48d-46d6-be17-86fd1d51b104,29,,"[47.7, 6.2]",3890307,0,,,,,0.10610075,,Left Foot,,,,"[120.0, 13.9]",,High Pass,,72.70887,Out,,Aron Jóhannsson,8402.0,,,,,,1,From Kick Off,Santiago García,26359.0,Left Back,2,Werder Bremen,176,"['094ec541-ed39-490a-b4ae-fd15a69f493f', '4c104424-0e61-49c9-ab92-4d60de038a8d']",22,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:22.071,Pass,True
,,,,,,,,,,,,,,,,,,3.537621,,,,,,,,,,,,,,,,d1d4a67a-a052-4f2a-870b-d30056b1bf14,31,,"[6.0, 44.0]",3890307,0,,,,,-0.2299343,,Right Foot,,,,"[73.5, 28.2]",,High Pass,,69.324524,Incomplete,,Konstantin Rausch,11134.0,,,,,Goal Kick,1,From Goal Kick,Christian Mathenia,8306.0,Goalkeeper,3,Darmstadt 98,872,"['ab1c0982-fda1-4eda-b173-2be10e5ce52f', 'c663a327-b0b2-4e0e-9b15-2d4adc0299ea']",53,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:53.084,Pass,
,,,,,,,,,,,,,,,,,,0.974528,,,,,,,,,,,,,,,,c663a327-b0b2-4e0e-9b15-2d4adc0299ea,34,,"[46.6, 51.9]",3890307,0,,,,True,0.39585045,,,,,,"[53.3, 54.7]",,Low Pass,,7.2615423,,,Fin Bartels,8389.0,,,,,Recovery,1,Regular Play,Theodor Gebre Selassie,8396.0,Right Back,4,Werder Bremen,176,"['8edd1cdd-f5f8-4073-99d3-c8def61f6385', 'd1d4a67a-a052-4f2a-870b-d30056b1bf14', 'e9864977-560c-4ecd-94d7-70d532caee8e']",56,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:56.622,Pass,True
,,,,,,,,,,,,,,,,,,1.413825,,,,,,,,,,,,,,,,386adf17-47dd-489c-8f45-dbb9ab6e23da,40,,"[43.1, 62.1]",3890307,1,,,,,-3.0601406,,Right Foot,,,True,"[33.3, 61.3]",,Ground Pass,,9.832599,,,Assani Lukimya-Mulongoti,51388.0,,,,,,1,Regular Play,Fin Bartels,8389.0,Right Midfield,4,Werder Bremen,176,"['2692314c-b2c6-40df-bced-7848ce2d67a2', '38a0b0f1-15a7-43ae-b969-7a754a5831b8', 'f5f1477f-0dd5-4612-a19e-13f63fb5f26e']",1,,,,,,,,,,,,,,,,,Werder Bremen,176,00:01:01.683,Pass,True
,,,,,,,,,,,,,,,,,,3.159642,,,,,,,,,,,,,,,,65363588-cc1d-47e2-9c48-4dc7e388d3de,43,,"[33.3, 61.3]",3890307,1,,,,,-0.013099687,,Right Foot,,,,"[79.1, 60.7]",,High Pass,,45.80393,,,Anthony Ujah,12624.0,,,,,,1,Regular Play,Assani Lukimya-Mulongoti,51388.0,Right Center Back,4,Werder Bremen,176,['5c268946-51a6-4a8f-8109-a4f00c95c1e6'],3,,,,,,,,,,,,,,,,,Werder Bremen,176,00:01:03.444,Pass,
,,,,,,,,,,,,,,,,,,0.967792,,,,,,,,,,,,,,,,19bc8776-54c8-4a6f-8d35-13d28fe95bba,46,,"[79.1, 60.7]",3890307,1,,,,True,-0.35877067,,,,,,"[87.1, 57.7]",,High Pass,,8.5440035,Incomplete,,Aron Jóhannsson,8402.0,,,,,,1,Regular Play,Anthony Ujah,12624.0,Left Center Forward,4,Werder Bremen,176,"['3e0c8cf1-6852-4590-a708-4bfb9527ff6a', '7fea1554-3d6b-4ebd-a49f-afefd01d07f5', 'ae13da96-8729-45dc-9bb5-1430f9f82fc6']",6,,,,,,,,,,,,,,,,,Werder Bremen,176,00:01:06.724,Pass,True
