50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c84fa153-686e-4ae6-bce3-f0d8b1dc52fe,1,,,,3890374,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40460, 'name': 'Tobias Levels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3221, 'name': 'Markus Suttner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 13332, 'name': 'Romain Brégerie'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 40459, 'name': 'Roger de Oliveira Bernardo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 12304, 'name': 'Alfredo Morales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 40464, 'name': 'Moritz Hartmann'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 9103, 'name': 'Lukas Hinterseer'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 16}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,83436b80-89f3-4334-a850-b979340ad5ed,2,,,,3890374,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 20522, 'name': 'György Garics'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 108336, 'name': 'Júnior Enrique Díaz Campbell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 40477, 'name': 'Jan Rosenthal'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 34}, {'player': {'id': 40481, 'name': 'Dominik Stroh-Engel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3c5063e4-317f-4d66-a76c-c78c8a6e3090,3,,,,3890374,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,['0155580b-03a4-4a56-b605-78610fdfab79'],0,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0155580b-03a4-4a56-b605-78610fdfab79,4,,,,3890374,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,['3c5063e4-317f-4d66-a76c-c78c8a6e3090'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e7c8da17-26a9-40b1-8764-1632843d3c8b,1290,,,,3890374,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,92,Ingolstadt,189,['be104b67-b7ad-4584-be64-936fb36e9d01'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,be104b67-b7ad-4584-be64-936fb36e9d01,1291,,,,3890374,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,92,Ingolstadt,189,['e7c8da17-26a9-40b1-8764-1632843d3c8b'],0,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.816029,,,,,,,,,,,,,,,7b16e668-59d0-446d-a5e6-05c1366f5221,5,,,"[61.0, 40.1]",3890374,0,,,,,1.1071488,,Right Foot,,,"[61.6, 41.3]",,Ground Pass,,1.3416408,,,,,Pascal Groß,3097.0,,,,,Kick Off,1,From Kick Off,Moritz Hartmann,40464.0,Right Center Forward,2,Ingolstadt,189,['a386a65b-a9d3-4286-9de5-e875ca858f4f'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.637,Pass,
,,,,,,,,,,,,,,,,,1.100186,,,,,,,,,,,,,,,218f8f9c-cf83-4ec7-8c37-4248ab607258,7,,,"[62.2, 40.7]",3890374,0,,,,,-1.2189796,,Right Foot,,,"[68.0, 24.9]",,Ground Pass,,16.830923,,,,,Lukas Hinterseer,9103.0,,,,,,1,From Kick Off,Pascal Groß,3097.0,Right Midfield,2,Ingolstadt,189,['d323c961-7631-4aa3-9099-46c47d5aaffc'],1,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:01.453,Pass,
,,,,,,,,,,,,,,,,,1.503833,,,,,,,,,,,,,,,40b7d2e6-ceed-4251-b897-67d602522b36,10,,,"[69.1, 23.7]",3890374,0,,,,,-0.9884434,,Right Foot,,,"[82.6, 3.2]",,Ground Pass,,24.545876,,,,,Alfredo Morales,12304.0,,,,,,1,From Kick Off,Lukas Hinterseer,9103.0,Left Center Forward,2,Ingolstadt,189,['c5e71f26-8d9b-4ed6-b2d5-3a043d7df54f'],3,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:03.491,Pass,
,,,,,,,,,,,,,,,,,2.797819,,,,,,,,,,,,,,,d782280d-907c-46ec-aeed-0ad254de4e63,21,,,"[44.7, 71.1]",3890374,0,,,,,-0.30221486,,Right Foot,,,"[95.7, 55.2]",,High Pass,,53.421062,,,,,Dominik Stroh-Engel,40481.0,,,,,Free Kick,1,From Free Kick,Aytac Sulu,9217.0,Right Center Back,4,Darmstadt 98,872,['0f92fccf-adbc-46dd-961b-9e9fc37e6235'],27,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:27.261,Pass,
