50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8cec43c8-55dd-4e62-9d15-e3bda4b14b81,1,,,3890521,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15581, 'name': 'Bernd Leno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6309, 'name': 'Tin Jedvaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8805, 'name': 'Christoph Kramer'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 8211, 'name': 'Benjamin Henrichs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 39}, {'player': {'id': 24428, 'name': 'Vladlen Yurchenko'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 35}, {'player': {'id': 8210, 'name': 'Charles Mariano Aránguiz Sandoval'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8213, 'name': 'Karim Bellarabi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 38}, {'player': {'id': 7039, 'name': 'Hakan Çalhanoğlu'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5555, 'name': 'Julian Brandt'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 3058, 'name': 'Javier Hernández Balcázar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,41a1963b-8b23-4448-9819-4ce679869d9f,2,,,3890521,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8670, 'name': 'Timothy Chandler'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 18888, 'name': 'Szabolcs Huszti'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 7846, 'name': 'Luc Castaignos'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 30}]}",Eintracht Frankfurt,184,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2c9a62d3-ec41-4657-9bf6-677a9b8cd775,3,,,3890521,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['164214e5-95de-41c6-8c76-836b8c3d9041'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,164214e5-95de-41c6-8c76-836b8c3d9041,4,,,3890521,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['2c9a62d3-ec41-4657-9bf6-677a9b8cd775'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,59251bcb-4549-4426-b250-fd9b85cda8da,1762,,,3890521,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,114,Bayer Leverkusen,904,['5fce5830-0d9a-462b-93a4-61ba48e3fe9a'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5fce5830-0d9a-462b-93a4-61ba48e3fe9a,1763,,,3890521,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,114,Bayer Leverkusen,904,['59251bcb-4549-4426-b250-fd9b85cda8da'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.431443,,,,,,,,,,,,05aea969-3cc3-432d-9411-13c301d82236,5,,"[61.0, 40.1]",3890521,0,,,,,2.6590793,,Right Foot,,,,"[58.9, 41.2]",,Ground Pass,,2.3706539,,,,Marc Stendera,10896.0,,,,,Kick Off,1,From Kick Off,Luc Castaignos,7846.0,Center Forward,2,Eintracht Frankfurt,184,['cbe30444-1582-4fdd-9541-3ef324591f0f'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.785,Pass,
,,,,,,,,,,,,,,,,,,1.29973,,,,,,,,,,,,9825c48e-1b15-41f4-b4ab-cf2f40c9bd13,7,,"[60.8, 40.2]",3890521,0,,,,,3.0172377,,Right Foot,,,,"[46.4, 42.0]",,Ground Pass,,14.512064,,,,Makoto Hasebe,5681.0,,,,,,1,From Kick Off,Marc Stendera,10896.0,Right Center Midfield,2,Eintracht Frankfurt,184,['372a0f74-7aa0-4490-b474-6aa4521fc325'],1,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:01.216,Pass,
,,,,,,,,,,,,,,,,,,2.82906,,,,,,,,,,,,6e3147a1-4cd3-4139-816b-7910d31355cd,10,,"[46.1, 42.1]",3890521,0,,,,,-0.45078066,,Right Foot,,,,"[89.9, 20.9]",,High Pass,,48.660866,,Incomplete,,Haris Seferović,5543.0,,,,,,1,From Kick Off,Makoto Hasebe,5681.0,Center Defensive Midfield,2,Eintracht Frankfurt,184,"['11e86216-31aa-4b67-8c07-e14ae35a3786', '457d39b8-ce82-4b5b-9656-61c98bed9fbd']",3,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:03.287,Pass,
,,,,,,,,,,,,,,,,,,2.916209,,,,,,,,,,,,11e86216-31aa-4b67-8c07-e14ae35a3786,12,,"[30.2, 59.2]",3890521,0,,,,,0.5508187,,Head,,,,"[56.9, 75.6]",,High Pass,,31.334486,,Incomplete,,Karim Bellarabi,8213.0,,,,,Recovery,1,From Kick Off,Jonathan Tah,8221.0,Right Center Back,2,Eintracht Frankfurt,184,"['36b59e52-9553-4ee2-8069-dd2bf733b152', '6e3147a1-4cd3-4139-816b-7910d31355cd', '77392702-f8ca-4fd0-8801-70af6abacc8c']",6,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:06.116,Pass,
