50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,True,,,,,,,,8570447e-ef10-4ae3-bc18-cadc9b12a7ad,574,,,"[70.3, 75.2]",3890426,18,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Raúl Marcelo Bobadilla,8807.0,Center Forward,43,Augsburg,172,"['a69d13ff-513b-4d0c-b71b-c9d8c0cc4849', 'c762e490-5ea4-450f-a76b-375dee8c5ae0']",58,,,,,,,,,,,,,,,,,,Augsburg,172,00:18:58.505,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1d74c007-f793-4000-a750-46010145f19a,843,,,"[47.7, 20.1]",3890426,24,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marc Stendera,10896.0,Left Defensive Midfield,56,Eintracht Frankfurt,184,['5acd0961-75a2-4cdd-93de-dbc07729a5ad'],59,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:24:59.514,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,43ef6d77-e8f6-4263-9eab-240ea7d8edee,940,,,"[73.9, 74.9]",3890426,27,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Raúl Marcelo Bobadilla,8807.0,Center Forward,62,Augsburg,172,['e97628c1-25a7-4618-be5e-e1bcb509a0fa'],16,,,,,,,,,,,,,,,,,,Augsburg,172,00:27:16.717,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,94f5badc-a943-418b-972e-13bd220d5e92,980,,,"[89.5, 5.8]",3890426,28,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bastian Oczipka,8504.0,Left Back,64,Eintracht Frankfurt,184,['8cb7b3f3-49ff-45ef-8fe4-06dfb423af5b'],56,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:28:56.886,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,02c27fb4-5d37-4851-8721-00e4a68ab81b,1040,,,"[69.5, 59.1]",3890426,29,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Carlos Augusto Zambrano Ochandarte,36359.0,Right Center Back,67,Eintracht Frankfurt,184,['0378feb3-f54d-4fa5-931c-7d84b20cbefe'],50,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:29:50.145,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cd875cdb-dd56-494c-b916-316d7adb7b3e,1056,,,"[103.4, 76.4]",3890426,30,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Makoto Hasebe,5681.0,Right Back,68,Eintracht Frankfurt,184,['e611a212-5a9d-46b8-99e7-e5da6d2a3698'],46,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:30:46.762,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,52816e89-02ce-4947-95fe-af5b52474463,1448,,,"[35.7, 51.0]",3890426,41,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Makoto Hasebe,5681.0,Right Back,92,Eintracht Frankfurt,184,"['55f44892-6a3c-4762-98c8-077d02bc3329', '9b7d6508-d95e-4cbe-9e77-38f93b192ad7']",16,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:41:16.799,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,49a18bda-6270-4af2-8e1d-9fef21644232,1490,,,"[7.7, 12.0]",3890426,42,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,David Ángel Abraham,8678.0,Left Center Back,96,Eintracht Frankfurt,184,"['06a4ed44-1b61-4560-ab8e-cb1ee0c738ea', '98d4b013-314a-4f6c-80fa-d2c6ca792ea4']",59,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:42:59.690,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,True,,,,,,,adb30383-35e8-42bd-acb2-ca22b67b6bca,1517,,,"[10.7, 23.4]",3890426,44,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Daniel Baier,8317.0,Left Defensive Midfield,98,Eintracht Frankfurt,184,"['9b58e202-00d9-43d3-8ba0-56fd84378f6c', 'c3e435b4-f479-4415-a356-9a7c0ab83536']",31,,,,,,,,,,,,,,,,,,Augsburg,172,00:44:31.226,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,649aff70-cf22-4622-bf69-a24531212ed5,1590,,,"[73.5, 53.9]",3890426,46,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Marco Jhonfai Fabián De La Mora,6317.0,Center Attacking Midfield,104,Eintracht Frankfurt,184,['bd5fbf21-7945-47f2-915d-49a2dee28946'],24,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:01:24.170,Foul Won,True
