50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.803346,,,,,,,,,,,,1000c17c-d7f7-4841-a8c9-b1f9320b3532,18,,,"[53.6, 36.8]",3890290,0,,,True,0.0,,,,,,"[66.1, 36.8]",,Low Pass,,12.5,,,,Daniel Didavi,8243.0,,,,,Recovery,1,From Kick Off,Adam Hloušek,4683.0,Left Center Back,2,VfB Stuttgart,174,"['236dd49c-f132-44b5-85e7-30f52996543d', '9bc0f084-551c-466a-b735-b07e59dbfa4b']",10,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:10.670,Pass,True
,,,,,,,,,,,,,,,,,,,1.064538,,,,,,,,,,,,301a48c7-3169-4d42-a791-abc8f11d3fff,20,,,"[66.1, 36.8]",3890290,0,,,,0.90619445,,Head,,,,"[73.7, 46.5]",,High Pass,,12.322743,,Incomplete,,Martin Harnik,8557.0,,,,,,1,From Kick Off,Daniel Didavi,8243.0,Left Center Midfield,2,VfB Stuttgart,174,"['4d68f279-a176-4d47-88ee-1da87182f973', '5a5810bc-dd30-42c7-90a3-3633a48d42d1']",11,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:11.473,Pass,
,,,,,,,,,,,,,,,,,,,1.813826,,,,,,,,,,,,5a5810bc-dd30-42c7-90a3-3633a48d42d1,22,,,"[46.4, 33.6]",3890290,0,,,,-0.11967849,,Right Foot,,,,"[62.2, 31.7]",,High Pass,,15.913831,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Vladimír Darida,8579.0,Right Defensive Midfield,2,VfB Stuttgart,174,"['301a48c7-3169-4d42-a791-abc8f11d3fff', '6ac2ac66-9072-46e4-9540-4193504ae206']",12,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:12.538,Pass,
,,,,,,,,,,,,,,,,,,,2.716913,,,,,,,,,,,,6ac2ac66-9072-46e4-9540-4193504ae206,23,,,"[57.9, 48.4]",3890290,0,,,,-0.4479421,,Right Foot,,,,"[73.3, 41.0]",,High Pass,,17.085667,,,,Daniel Ginczek,9409.0,,,,,Recovery,1,From Kick Off,Christian Gentner,8959.0,Right Center Midfield,2,VfB Stuttgart,174,"['5a5810bc-dd30-42c7-90a3-3633a48d42d1', 'dc4f1716-058c-4002-b7c5-bd0a602b6d09']",14,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:14.352,Pass,
,,,,,,,,,,,,,,,,,,,2.187154,,,,,,,,,,,,f1ea081b-0fca-459d-938e-21f1efcc5147,26,,,"[73.3, 41.0]",3890290,0,,,True,-1.4171776,,,,,,"[75.7, 25.5]",,Low Pass,,15.684706,,Incomplete,,Daniel Didavi,8243.0,,,,,,1,From Kick Off,Daniel Ginczek,9409.0,Center Forward,2,VfB Stuttgart,174,"['35465b6b-9bd0-4037-b57f-79a6da0c3d84', '35e56972-4109-4b59-b8cd-1807aa3b8168', 'e4606c5d-485c-4dac-a637-9187b5c5b55f']",17,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:17.069,Pass,True
,,,,,,,,,,,,,,,,,,,1.146716,,,,,,,,,,,,a2fec654-9cec-43fc-a51f-4953e65c0c62,30,,,"[42.5, 56.8]",3890290,0,,,,-2.6683912,,Right Foot,,,,"[30.0, 50.4]",,Ground Pass,,14.043148,,,,Sebastian Langkamp,8580.0,,,,,,1,Regular Play,Mitchell Weiser,8576.0,Right Back,3,Hertha Berlin,173,['ba642c56-843a-4c05-aa2d-5271cbb78464'],20,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:20.004,Pass,
,,,,,,,,,,,,,,,,,,,1.24022,,,,,,,,,,,,ea2aaf3a-2c22-4011-bc57-dd9e29643fbe,33,,,"[27.4, 48.4]",3890290,0,,,,-1.4065745,,Right Foot,,,,"[30.3, 30.9]",,Ground Pass,,17.738659,,,,Fabian Lustenberger,8965.0,,,,,,1,Regular Play,Sebastian Langkamp,8580.0,Right Center Back,3,Hertha Berlin,173,['5294f45e-5663-4a47-bab6-aabc3851a798'],22,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:22.648,Pass,
,,,,,,,,,,,,,,,,,,,1.247104,,,,,,,,,,,,c8b886db-d9da-4e29-b8cb-b28d1f2a6e43,36,,,"[31.0, 26.8]",3890290,0,,,,-1.1347915,,Right Foot,,,,"[39.2, 9.2]",,Ground Pass,,19.416489,,,,Marvin Plattenhardt,5569.0,,,,,,1,Regular Play,Fabian Lustenberger,8965.0,Left Center Back,3,Hertha Berlin,173,['957a626d-23e2-4281-a2a9-a2c1a472691d'],25,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:25.106,Pass,
,,,,,,,,,,,,,,,,,,,1.122567,,,,,,,,,,,,11ad718c-6723-4172-b6e9-c50ba279b37f,39,,,"[39.6, 8.8]",3890290,0,,,,1.0506717,,Left Foot,,,,"[45.9, 19.8]",,Ground Pass,,12.676356,,,,Vladimír Darida,8579.0,,,,,,1,Regular Play,Marvin Plattenhardt,5569.0,Left Back,3,Hertha Berlin,173,['cfc67ea2-9030-4866-bb00-9f7f04b0b3d8'],28,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:28.660,Pass,
,,,,,,,,,,,,,,,,,,,1.093825,,,,,,,,,,,,d330c5a0-a185-4e6e-a385-e68b812d4233,42,,,"[46.8, 18.4]",3890290,0,,,,-2.1138613,,Right Foot,,,,"[40.1, 7.3]",,Ground Pass,,12.965339,,,,Marvin Plattenhardt,5569.0,,,,,,1,Regular Play,Vladimír Darida,8579.0,Right Defensive Midfield,3,Hertha Berlin,173,['82eced67-a642-4705-8a13-5355a6182e2f'],31,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:31.048,Pass,
