50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1385f826-6af8-4036-8908-a2074b769499,1,,,,3890399,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19295, 'name': 'Philipp Lahm'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5578, 'name': 'Jérôme Boateng'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 9406, 'name': 'Holger Badstuber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 8209, 'name': 'Márcio Rafael Ferreira de Souza'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 9399, 'name': 'Javier Martínez Aginaga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 8217, 'name': 'Kingsley Coman'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 29}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8a7972ca-f437-4702-a007-96cf0f927186,2,,,,3890399,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40460, 'name': 'Tobias Levels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 13332, 'name': 'Romain Brégerie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 8394, 'name': 'Robert Bauer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 40459, 'name': 'Roger de Oliveira Bernardo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 40463, 'name': 'Stefan Lex'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 20485, 'name': 'Almog Cohen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 36}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 9103, 'name': 'Lukas Hinterseer'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8eacf878-4419-4db8-b8f7-9c16b2861cd0,3,,,,3890399,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,['b7c3e56b-f562-4474-90d4-fd9ca003d508'],0,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b7c3e56b-f562-4474-90d4-fd9ca003d508,4,,,,3890399,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,['8eacf878-4419-4db8-b8f7-9c16b2861cd0'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c3a77e63-aa19-4aa3-bd42-9ca10c26de00,1709,,,,3890399,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,121,Bayern Munich,169,['8e57115d-926b-4585-bf76-fd2ce5eddbe0'],0,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8e57115d-926b-4585-bf76-fd2ce5eddbe0,1710,,,,3890399,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,121,Bayern Munich,169,['c3a77e63-aa19-4aa3-bd42-9ca10c26de00'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.897273,,,,,,,,,,,,,f3fc7ce8-d11e-4181-8b90-a9a136410e5f,5,,,"[61.0, 40.1]",3890399,0,,True,,,-1.1659045,,Left Foot,,,,"[61.3, 39.4]",,Ground Pass,,0.7615773,,,,,Robert Lewandowski,5668.0,,,,,Kick Off,1,From Kick Off,Thomas Müller,5562.0,Right Midfield,2,Bayern Munich,169,['ca1eba54-de22-4f9a-a25e-d7b53ae93910'],0,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.219,Pass,
,,,,,,,,,,,,,,,,,,0.852463,,,,,,,,,,,,,7cac3753-6d62-4418-948f-a54772c4c4f2,7,,,"[60.8, 39.3]",3890399,0,,,,,2.8435957,,Right Foot,,,,"[46.8, 43.6]",,Ground Pass,,14.645477,,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,1,From Kick Off,Robert Lewandowski,5668.0,Center Forward,2,Bayern Munich,169,['5a9afd60-ecff-4ad8-aef5-634b62b069e2'],1,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:01.777,Pass,
,,,,,,,,,,,,,,,,,,0.701979,,,,,,,,,,,,,441f49e1-fa68-4adc-ac7d-e41b7d2023e5,10,,,"[46.8, 43.6]",3890399,0,,,,,-1.3258177,,Right Foot,,,,"[49.4, 33.2]",,Ground Pass,,10.720075,,,,,Javier Martínez Aginaga,9399.0,,,,,,1,From Kick Off,Arturo Erasmo Vidal Pardo,8206.0,Center Defensive Midfield,2,Bayern Munich,169,['92622898-e441-40d5-95d7-65750ff434b5'],3,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:03.332,Pass,
,,,,,,,,,,,,,,,,,,2.792527,,,,,,,,,,,,,5062cf93-df4d-4e31-8de3-d207fac6742a,13,,,"[50.2, 33.2]",3890399,0,,,,,2.9929643,,Left Foot,,,,"[12.8, 38.8]",,Ground Pass,,37.81693,,,,,Manuel Neuer,5570.0,,,,,,1,From Kick Off,Javier Martínez Aginaga,9399.0,Left Center Midfield,2,Bayern Munich,169,['d80af1cb-02b1-4627-8c4e-b94eea96f941'],4,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:04.074,Pass,
