50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,683dda58-4071-4584-84eb-9730b602472c,1,,,,3890388,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 4600, 'name': 'Diego Orlando Benaglio'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 9461, 'name': 'Timm Klose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 34}, {'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 8521, 'name': 'Daniel Caligiuri'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 3186, 'name': 'Julian Draxler'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 10281, 'name': 'André Schürrle'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Wolfsburg,179,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0c71f637-06e5-403d-a400-a00a8b3e193a,2,,,,3890388,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 38}, {'player': {'id': 5658, 'name': 'Łukasz Piszczek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 4430, 'name': 'Neven Subotić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8216, 'name': 'Sven Bender'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 11458, 'name': 'Marcel Schmelzer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 8233, 'name': 'Gonzalo Castro Randon'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Borussia Dortmund,180,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,77cb91ed-da55-4359-b4de-b4c462d7c813,3,,,,3890388,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['a7e0cf4c-5aa5-4d04-a786-0fa2f4397310'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a7e0cf4c-5aa5-4d04-a786-0fa2f4397310,4,,,,3890388,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['77cb91ed-da55-4359-b4de-b4c462d7c813'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fb72e444-d008-44eb-b426-78419ef46e2a,1572,,,,3890388,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,93,Wolfsburg,179,['d9f7b963-06cc-4485-993a-1830525dc150'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d9f7b963-06cc-4485-993a-1830525dc150,1573,,,,3890388,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,93,Wolfsburg,179,['fb72e444-d008-44eb-b426-78419ef46e2a'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.501121,,,,,,,,,,,,,,,8b2543ee-c3da-45e9-a4a4-3d887149966f,5,,,"[60.0, 40.0]",3890388,0,,,,,1.6142472,,Right Foot,,,"[59.9, 42.3]",,Ground Pass,2.302173,,,,Pierre-Emerick Aubameyang,3712.0,,,,,,Kick Off,1,From Kick Off,Marco Reus,5559.0,Left Wing,2,Borussia Dortmund,180,['a21ae027-ad74-43c6-8f25-dde670e62012'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.132,Pass,
,,,,,,,,,,,,,,,,1.269695,,,,,,,,,,,,,,,5e59384b-9159-462d-9fb1-1cb57ce78ba0,7,,,"[59.6, 42.0]",3890388,0,,,,,-3.0309355,,Right Foot,,,"[46.1, 40.5]",,Ground Pass,13.583077,,,,Matthias Ginter,8808.0,,,,,,,1,From Kick Off,Pierre-Emerick Aubameyang,3712.0,Center Forward,2,Borussia Dortmund,180,['6388fcf1-2bb8-4f59-a987-290c1c57610f'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.633,Pass,
,,,,,,,,,,,,,,,,1.256375,,,,,,,,,,,,,,,5bd944cd-b6d5-441b-8831-947b8a5e71ac,11,,,"[45.1, 38.7]",3890388,0,,,,,-2.1094205,,Right Foot,,,"[35.3, 22.3]",,Ground Pass,19.104973,,,,Sven Bender,8216.0,,,,,,,1,From Kick Off,Matthias Ginter,8808.0,Center Defensive Midfield,2,Borussia Dortmund,180,"['044840ec-e258-481e-827e-b713023207ed', '6747c495-fe87-48f0-81dc-111eda8a6948']",3,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:03.086,Pass,True
,,,,,,,,,,,,,,,,1.691535,,,,,,,,,,,,,,,c7ad52e9-2e1c-495c-a63f-b1caa99c3f63,14,,,"[33.6, 24.5]",3890388,0,,,,,1.5295354,,Right Foot,,,"[35.4, 68.1]",,Low Pass,43.63714,,,,Neven Subotić,4430.0,,,True,,,,1,From Kick Off,Sven Bender,8216.0,Left Center Back,2,Borussia Dortmund,180,['b459e4f5-19a1-464e-abac-6fc58f50ca09'],5,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:05.172,Pass,
