bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fef82cd3-47c1-4c83-b172-c6c5ed937845,1,,,3890540,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15581, 'name': 'Bernd Leno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8969, 'name': 'Lars Bender'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 9363, 'name': 'André Ramalho Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8805, 'name': 'Christoph Kramer'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 8211, 'name': 'Benjamin Henrichs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 39}, {'player': {'id': 8222, 'name': 'Kevin Kampl'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 44}, {'player': {'id': 8210, 'name': 'Charles Mariano Aránguiz Sandoval'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8213, 'name': 'Karim Bellarabi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 38}, {'player': {'id': 7039, 'name': 'Hakan Çalhanoğlu'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5555, 'name': 'Julian Brandt'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 3058, 'name': 'Javier Hernández Balcázar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a79fc6e9-f89b-4951-a683-ac6338c35dd8,2,,,3890540,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8577, 'name': 'Rune Almenning Jarstein'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 9722, 'name': 'Peter Pekarík'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8580, 'name': 'Sebastian Langkamp'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 8965, 'name': 'Fabian Lustenberger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 5569, 'name': 'Marvin Plattenhardt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 8570, 'name': 'Niklas Stark'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8578, 'name': 'Per Ciljan Skjelbred'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 8576, 'name': 'Mitchell Weiser'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 30439, 'name': 'Tolga Ciğerci'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 8571, 'name': 'Vedad Ibišević'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 8575, 'name': 'Salomon Armand Magloire Kalou'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 8}]}",Hertha Berlin,173,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,49ff3217-cf82-404e-ba79-9c662dc08ffc,3,,,3890540,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['97fb222b-f731-4a25-ae6a-511aed952870'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,97fb222b-f731-4a25-ae6a-511aed952870,4,,,3890540,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['49ff3217-cf82-404e-ba79-9c662dc08ffc'],0,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0f9213c1-20fc-43ba-8b7a-ca9bde0ca4cc,1731,,,3890540,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,103,Bayer Leverkusen,904,['42c9723f-e506-4cff-a255-f49d43a668e2'],0,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,42c9723f-e506-4cff-a255-f49d43a668e2,1732,,,3890540,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,103,Bayer Leverkusen,904,['0f9213c1-20fc-43ba-8b7a-ca9bde0ca4cc'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,c016a3bb-245a-4dc6-9907-13c0a95032c6,5,,"[61.0, 40.1]",3890540,0,,,,1.8662372,,Right Foot,,,"[60.3, 42.4]",,Ground Pass,,2.4041631,,,,,Vedad Ibišević,8571.0,,,,,Kick Off,1,From Kick Off,Salomon Armand Magloire Kalou,8575.0,Left Center Forward,2,Hertha Berlin,173,['4f33527a-209a-4b61-9e5c-4ee9aea6a1cd'],0,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.383,Pass,
,,,,,,,,,,,,,,,,,0.967924,,,,,,,,,,,,,,0aed5f1c-fa88-4996-956b-142865541b3b,8,,"[60.5, 42.7]",3890540,0,,,,-2.582212,,Right Foot,,,"[49.0, 35.5]",,Ground Pass,,13.567977,,,,,Per Ciljan Skjelbred,8578.0,,,,,,1,From Kick Off,Vedad Ibišević,8571.0,Right Center Forward,2,Hertha Berlin,173,['56458021-884a-488e-b911-18c670c8024e'],0,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.703,Pass,
,,,,,,,,,,,,,,,,,2.971656,,,,,,,,,,,,,,6b37704e-ac33-4e20-8dd4-8d4d9cf74ef0,12,,"[48.5, 40.4]",3890540,0,,,,0.663203,,Right Foot,,,"[80.5, 65.4]",,High Pass,,40.60788,,,Incomplete,,Mitchell Weiser,8576.0,,,,,,1,From Kick Off,Per Ciljan Skjelbred,8578.0,Left Defensive Midfield,2,Hertha Berlin,173,"['3bdbe5c8-9814-499f-b26d-b925292e984a', '7b7eff0f-41f6-4c70-8721-17f038d3e37c', 'e83e37e5-1ea7-4140-bd63-27bad6b42556']",2,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:02.679,Pass,True
,,,,,,,,,,True,,,,,,,2.250062,,,,,,,,,,,,,,7b7eff0f-41f6-4c70-8721-17f038d3e37c,14,,"[39.6, 14.7]",3890540,0,,,,-1.5473632,,Head,,,"[39.9, 1.9]",,Low Pass,,12.803515,,,,,Julian Brandt,5555.0,,,,,Interception,1,Regular Play,Benjamin Henrichs,8211.0,Left Back,3,Bayer Leverkusen,904,"['11e7acda-882b-4b52-9be7-bb5934d220e6', '6b37704e-ac33-4e20-8dd4-8d4d9cf74ef0']",5,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:05.651,Pass,
