50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.421063,,,,,,,,,,,,,c3447c27-76e9-4024-8dba-65f64e52e5f5,2259,,,"[13.0, 33.7]",3890410,65,,,,,-0.99945885,,Right Foot,,,"[26.5, 12.7]",,Ground Pass,,24.964975,,,Nico Elvedi,8814.0,,,,,,2,From Free Kick,Yann Sommer,5550.0,Goalkeeper,127,Borussia Mönchengladbach,185,['4114e4d6-f669-484e-a06f-c125f78ed3ee'],3,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:20:03.550,Pass,
,,,,,,,,,,,,,,,,,5.274346,,,,,,,,,,,,,e24ccf2e-2bf1-4e76-b6d4-acd6f7c35455,2262,,,"[31.9, 5.0]",3890410,65,,,,,0.12480252,,Left Foot,,,"[86.9, 11.9]",,High Pass,,55.43113,Incomplete,,Lars Edi Stindl,8806.0,,,,,,2,From Free Kick,Nico Elvedi,8814.0,Left Center Back,127,Borussia Mönchengladbach,185,"['228a873d-a74c-4ac1-b68b-2ae0e08f47f8', '506cffd8-14a0-4435-9c6b-6e1d1727f9cd']",7,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:20:07.000,Pass,
,,,,,,,,,,,,,,,,,4.32494,,,,,,,,,,,,,506cffd8-14a0-4435-9c6b-6e1d1727f9cd,2264,,,"[33.2, 68.2]",3890410,65,,,,,-0.22512567,,Right Foot,,,"[72.5, 59.2]",,High Pass,,40.317368,Incomplete,,Jan Rosenthal,40477.0,,,,,Recovery,2,From Free Kick,Aytac Sulu,9217.0,Right Center Back,127,Borussia Mönchengladbach,185,"['e24ccf2e-2bf1-4e76-b6d4-acd6f7c35455', 'e8b553d8-f12f-4056-a0bc-e234d9f118bb', 'ee47d6b8-cac5-4750-8abd-aa2752bb5e56']",12,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:20:12.274,Pass,
,,,,,,,,,,,,,,,,,1.119499,,,,,,,,,,,,,122c105e-9879-4a6d-98e6-712c7fb1674d,2270,,,"[56.4, 15.7]",3890410,65,,,,,-1.2242575,,Right Foot,,,"[59.0, 8.5]",,Ground Pass,,7.6550636,,,Håvard Nordtveit,8395.0,,,,,,2,From Free Kick,Lars Edi Stindl,8806.0,Right Center Forward,127,Borussia Mönchengladbach,185,['088f371b-45a7-4cd3-8250-0ff557f8b025'],18,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:20:18.932,Pass,
,,,,,,,,,,,,,,,,,0.839797,,,,,,,,,,,,,4577d9fd-fd50-4f84-95ff-97b4769d9d6d,2274,,,"[69.4, 3.8]",3890410,65,,,,,0.15342392,,Right Foot,,,"[79.1, 5.3]",,Ground Pass,,9.815294,,,Lars Edi Stindl,8806.0,,,,,,2,From Free Kick,Håvard Nordtveit,8395.0,Center Defensive Midfield,127,Borussia Mönchengladbach,185,"['aa9f435f-144a-4025-b27f-9970fbd7ae82', 'e0576e92-b0e7-44ac-ab6f-87eb4b9c327b']",21,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:20:21.519,Pass,True
,,,,,,,,,,,,,,,,,1.497148,,,,,,,,,,,,,2c48812f-1ad4-4aad-928a-38b92828d5af,2277,,,"[79.1, 5.3]",3890410,65,,,,,1.9690461,,Right Foot,,,"[72.2, 21.7]",,Ground Pass,,17.792414,,,Raffael Caetano de Araújo,8810.0,,,,,,2,From Free Kick,Lars Edi Stindl,8806.0,Right Center Forward,127,Borussia Mönchengladbach,185,"['09a0cb9d-aae6-433c-913f-6d746974cc20', 'cf72f4d9-122f-48af-9ff8-1b4b41bda30a']",22,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:20:22.358,Pass,True
,,,,,,,,,,,,,,,,,0.791253,,,,,,,,,,,,,b16d3886-6000-4f91-8458-6a0effc86160,2280,,,"[72.2, 22.0]",3890410,65,,,,,-1.9117752,,Left Foot,,,"[68.9, 12.7]",,Low Pass,,9.868131,,,Thorgan Hazard,5632.0,,,,,,2,From Free Kick,Raffael Caetano de Araújo,8810.0,Left Center Forward,127,Borussia Mönchengladbach,185,['104aa634-6157-4914-af22-a9c20e87bcd3'],24,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:20:24.081,Pass,
,,,,,,,,,,,,,,,,,1.330465,,,,,,,,,,,,,e425c9c3-5143-4b68-8438-2b38afe79a52,2283,,,"[65.4, 41.9]",3890410,65,,,,,1.6320692,,Left Foot,,,"[63.4, 74.5]",,Ground Pass,,32.661293,,,Julian Korb,8545.0,,,,,,2,From Free Kick,Thorgan Hazard,5632.0,Right Center Midfield,127,Borussia Mönchengladbach,185,['6460a4bb-6324-460c-b5a2-0e5855756efe'],29,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:20:29.049,Pass,
,,,,,,,,,,,,,,,,,0.95932,,,,,,,,,,,,,2de9b96a-e465-40e4-950e-deb9079d197b,2286,,,"[59.3, 74.8]",3890410,65,,,,,-0.88631994,,Right Foot,,,"[66.4, 66.1]",,Ground Pass,,11.229425,,,Thorgan Hazard,5632.0,,,,,,2,From Free Kick,Julian Korb,8545.0,Right Back,127,Borussia Mönchengladbach,185,['7ba4eabe-ac04-43ec-b5a2-6f3e580ac0fb'],32,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:20:32.179,Pass,
,,,,,,,,,,,,,,,,,1.171738,,,,,,,,,,,,,be93d992-1fc7-43fd-a7c9-12eb81e154f1,2288,,,"[66.4, 66.0]",3890410,65,,,,,2.5868003,,Right Foot,,,"[52.2, 74.8]",,Ground Pass,,16.705688,,,Julian Korb,8545.0,,,,,,2,From Free Kick,Thorgan Hazard,5632.0,Right Center Midfield,127,Borussia Mönchengladbach,185,['3e9953d7-5535-4d82-a6b3-18ae0ed6acaa'],33,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:20:33.138,Pass,
