50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,09daa8b3-7d79-41e3-9eba-32c70586ed20,1,,,3890369,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 8517, 'name': 'Ralf Fährmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 7016, 'name': 'Benedikt Höwedes'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 16534, 'name': 'Roman Neustädter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 25003, 'name': 'Sascha Riether'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 27}, {'player': {'id': 8958, 'name': 'Dennis Aogo'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 15}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3570, 'name': 'Pierre-Emile Højbjerg'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 8508, 'name': 'Max Meyer'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 8060, 'name': 'Klaas-Jan Huntelaar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Schalke 04,181,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ad32153b-137e-4b6b-be90-cbba0ba4f6c4,2,,,3890369,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19295, 'name': 'Philipp Lahm'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 9399, 'name': 'Javier Martínez Aginaga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 5244, 'name': 'Medhi Amine El Mouttaqi Benatia'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 27}, {'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8218, 'name': 'Arjen Robben'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 5837, 'name': 'Douglas Costa de Souza'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4efc57ca-9bff-44a2-af1e-bbe5a7a3f3d1,3,,,3890369,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['462da35a-3521-42a7-8a5d-045881fa9fe1'],0,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,462da35a-3521-42a7-8a5d-045881fa9fe1,4,,,3890369,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['4efc57ca-9bff-44a2-af1e-bbe5a7a3f3d1'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4a80ca99-da0c-4764-bec4-beacbe2d26be,2215,,,3890369,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,87,Bayern Munich,169,['175740e2-5ada-43c9-857d-d9309ab99e79'],0,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,175740e2-5ada-43c9-857d-d9309ab99e79,2216,,,3890369,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,87,Bayern Munich,169,['4a80ca99-da0c-4764-bec4-beacbe2d26be'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.481298,,,,,,,,,,,,2c513eaa-b024-4db9-9310-c21cac8dab1b,5,,"[61.0, 40.1]",3890369,0,True,,,-2.2612429,,Right Foot,,"[59.1, 37.8]",,Ground Pass,,2.9832869,,,,Leroy Sané,3053.0,,,,,,Kick Off,1,From Kick Off,Klaas-Jan Huntelaar,8060.0,Center Forward,2,Schalke 04,181,['e6b436bb-c967-499e-9fca-31e4429f68b2'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.533,Pass,
,,,,,,,,,,,,,,,,1.083599,,,,,,,,,,,,738d23ba-4264-437f-9978-49b63d6e05c5,7,,"[58.0, 36.7]",3890369,0,,,,2.5489888,,Left Foot,,"[43.0, 46.8]",,Ground Pass,,18.083418,,,,Joël Andre Job Matip,3502.0,,,,,,,1,From Kick Off,Leroy Sané,3053.0,Right Wing,2,Schalke 04,181,['4cc15479-243b-48f0-950c-d09beb2ed386'],1,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:01.098,Pass,
,,,,,,,,,,,,,,,,0.821138,,,,,,,,,,,,75e5d101-9d05-4159-ada9-b2fe08e7ff63,10,,"[43.0, 46.8]",3890369,0,,,,-1.7936965,,Left Foot,,"[41.3, 39.3]",,Ground Pass,,7.6902537,,,,Benedikt Höwedes,7016.0,,,,,,,1,From Kick Off,Joël Andre Job Matip,3502.0,Right Center Back,2,Schalke 04,181,['d7816510-d0ec-4e7c-94ec-d61e735be63f'],2,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:02.248,Pass,
,,,,,,,,,,,,,,,,2.711908,,,,,,,,,,,,a268b1cb-965c-4bb5-9505-72d5f4b1e294,13,,"[41.5, 40.8]",3890369,0,,,,-0.6926748,,Right Foot,,"[79.7, 9.1]",,High Pass,,49.640003,,Incomplete,,Dennis Aogo,8958.0,,,,,,,1,From Kick Off,Benedikt Höwedes,7016.0,Center Back,2,Schalke 04,181,"['82b111ff-5e78-4417-94e1-da90c257f126', 'ef7440f2-c89a-422b-8493-8123f594b959']",3,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:03.144,Pass,
