50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,883a28a9-a80a-4589-be36-cea4bdbc059d,1,,,,3890517,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8676, 'name': 'Danny Vieira da Costa'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8394, 'name': 'Robert Bauer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 40459, 'name': 'Roger de Oliveira Bernardo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 12551, 'name': 'Max Christiansen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 9103, 'name': 'Lukas Hinterseer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 40464, 'name': 'Moritz Hartmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 9113, 'name': 'Dario Lezcano'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 37}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,025634d1-aeb3-4ae2-82d0-9fae644cefe7,2,,,,3890517,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 8395, 'name': 'Håvard Nordtveit'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 19}, {'player': {'id': 8809, 'name': 'Oscar Wendt'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 8238, 'name': 'Mahmoud Dahoud'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 8322, 'name': 'André Hahn'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Borussia Mönchengladbach,185,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8bc9c2a5-99f7-47ef-9d0b-3658c4e06f96,3,,,,3890517,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,['cbeb32ca-2eec-4380-854e-f156f54d72c6'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cbeb32ca-2eec-4380-854e-f156f54d72c6,4,,,,3890517,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,['8bc9c2a5-99f7-47ef-9d0b-3658c4e06f96'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c949a5f8-aa97-46de-8508-0f64b081ac6d,1546,,,,3890517,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,99,Ingolstadt,189,['e8208a11-0b26-4aea-bac9-60f3508da79f'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e8208a11-0b26-4aea-bac9-60f3508da79f,1547,,,,3890517,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,99,Ingolstadt,189,['c949a5f8-aa97-46de-8508-0f64b081ac6d'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.518326,,,,,,,,,,,,,,,5112aafc-2f76-44d5-8bf4-1ef331f7d003,5,,,"[60.0, 40.0]",3890517,0,,,,,0.8288491,,Right Foot,,,"[62.2, 42.4]",Ground Pass,,3.255764,,,André Hahn,8322.0,,,,,Kick Off,1,From Kick Off,Thorgan Hazard,5632.0,Left Center Forward,2,Borussia Mönchengladbach,185,['35bf90a6-65cf-4037-9b69-2cd38e3853d4'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.183,Pass,
,,,,,,,,,,,,,,,,,,,1.212611,,,,,,,,,,,,,,,69ab9414-f14a-4b03-a355-55a60f85c039,8,,,"[58.5, 39.5]",3890517,0,,,,,-2.6861415,,Right Foot,,,"[38.9, 29.9]",Ground Pass,,21.824757,,,Håvard Nordtveit,8395.0,,,,,,1,From Kick Off,André Hahn,8322.0,Right Center Forward,2,Borussia Mönchengladbach,185,['fccce180-0664-4e81-9eb2-e80be1f9090a'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.822,Pass,
,,,,,,,,,,,,,,,,,,,3.667042,,,,,,,,,,,,,,,31d67063-347b-409d-b373-9dd988adf2b0,11,,,"[38.9, 29.9]",3890517,0,,,,,0.659652,,Right Foot,,,"[93.7, 72.4]",High Pass,,69.349045,Incomplete,,Fabian Johnson,11283.0,,True,,,,1,From Kick Off,Håvard Nordtveit,8395.0,Left Center Back,2,Borussia Mönchengladbach,185,"['3281fcf5-b543-4421-88e3-affaa984bb02', 'a4fd65cf-cab3-4a35-85ee-741b7fff08fa']",3,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:03.846,Pass,
,,,,,,,,,,,,,,,,,,,0.826003,,,,,,,,,,,,,,,b7769d8d-e8b8-4978-87d3-bcf2a5904ede,15,,,"[27.3, 7.1]",3890517,0,,,,,-0.7853982,,Right Foot,,,"[29.8, 4.6]",Ground Pass,,3.535534,,,Robert Bauer,8394.0,,,,,Recovery,1,Regular Play,Max Christiansen,12551.0,Left Center Midfield,3,Ingolstadt,189,['f3efd81e-5ffb-4c38-92b7-56871a1b39f3'],8,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:08.633,Pass,
