50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b0327d6d-032f-42f8-a999-a9b98c1734fe,1,,,3890400,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 7}, {'player': {'id': 26359, 'name': 'Santiago García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 8390, 'name': 'Philipp Bargfrede'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 44}, {'player': {'id': 8389, 'name': 'Fin Bartels'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 20010, 'name': 'Clemens Fritz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 8554, 'name': 'Levin Mete Öztunali'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 12624, 'name': 'Anthony Ujah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,27fed7d9-8901-4e22-971b-fdf7350b8809,2,,,3890400,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8821, 'name': 'Timo Horn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9459, 'name': 'Paweł Olkowski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 11286, 'name': 'Dominik Maroh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8828, 'name': 'Dominique Heintz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 8827, 'name': 'Matthias Lehmann'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 8397, 'name': 'Kevin Vogt'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8823, 'name': 'Marcel Risse'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5679, 'name': 'Yūya Ōsako'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 10918, 'name': 'Dušan Švento'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 29}, {'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",FC Köln,186,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e11217b1-8b77-43e2-9122-75b985c787de,3,,,3890400,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['3817ea48-8b32-4c42-afe1-0936590d7f11'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3817ea48-8b32-4c42-afe1-0936590d7f11,4,,,3890400,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['e11217b1-8b77-43e2-9122-75b985c787de'],0,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9390c4ce-3473-46cc-8f99-edd33a558bca,1812,,,3890400,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Werder Bremen,176,['e895ab07-242b-480d-b49e-88ae70380236'],0,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e895ab07-242b-480d-b49e-88ae70380236,1813,,,3890400,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Werder Bremen,176,['9390c4ce-3473-46cc-8f99-edd33a558bca'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.475257,,,,,,,,,,,,,,,19f64612-106a-463b-92ab-be350667bf46,5,,"[60.0, 40.0]",3890400,0,,True,,,-1.9756881,,Right Foot,,,,"[57.9, 35.1]",Ground Pass,,5.3310413,,,Yūya Ōsako,5679.0,,,,,Kick Off,1,From Kick Off,Anthony Modeste,23486.0,Center Forward,2,FC Köln,186,['6d449b7d-099b-4d6a-b764-b27eb5ffd2c7'],0,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.184,Pass,
,,,,,,,,,,,,,,,,0.858511,,,,,,,,,,,,,,,27a56e62-828c-4d6f-ab11-1d51ee343e94,7,,"[57.9, 35.3]",3890400,0,,,,,-2.50012,,Right Foot,,,,"[50.0, 29.4]",Ground Pass,,9.860021,,,Kevin Vogt,8397.0,,,,,,1,From Kick Off,Yūya Ōsako,5679.0,Center Attacking Midfield,2,FC Köln,186,['05862813-9701-45fd-9b6d-bb291840d303'],1,,,,,,,,,,,,,,,,,FC Köln,186,00:00:01.045,Pass,
,,,,,,,,,,,,,,,,1.241416,,,,,,,,,,,,,,,233d0a49-7c02-4c45-8828-efa0ad2f12fd,10,,"[48.3, 25.7]",3890400,0,,,,,-2.7748628,,Right Foot,,,,"[33.2, 19.9]",Ground Pass,,16.175598,,,Dominique Heintz,8828.0,,,,,,1,From Kick Off,Kevin Vogt,8397.0,Left Defensive Midfield,2,FC Köln,186,['4ec37452-56ed-4e24-8b95-d14bbf73cac3'],3,,,,,,,,,,,,,,,,,FC Köln,186,00:00:03.064,Pass,
,,,,,,,,,,,,,,,,1.275381,,,,,,,,,,,,,,,489c4b44-3318-4910-8059-44a29d3a4bbc,13,,"[33.1, 22.3]",3890400,0,,,,,1.6389831,,Left Foot,,,,"[31.7, 42.8]",Ground Pass,,20.547749,,,Dominik Maroh,11286.0,,,,,,1,From Kick Off,Dominique Heintz,8828.0,Left Center Back,2,FC Köln,186,['330d34f4-19e9-4cd2-80b2-f467e95c537c'],5,,,,,,,,,,,,,,,,,FC Köln,186,00:00:05.729,Pass,
