50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,db718734-3ecf-4b1e-90ac-62bfa8d58e64,1,,,3890462,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 35}, {'player': {'id': 8237, 'name': 'Paul Verhaegh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8318, 'name': 'Jeffrey Gouweleeuw'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8319, 'name': 'Philipp Max'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 9408, 'name': 'Jan Morávek'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8807, 'name': 'Raúl Marcelo Bobadilla'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 40462, 'name': 'Halil Altıntop'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 30}, {'player': {'id': 5514, 'name': 'Alfreð Finnbogason'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Augsburg,172,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f89be04b-f3dc-4889-a3c6-e85f7316c356,2,,,3890462,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8395, 'name': 'Håvard Nordtveit'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 8809, 'name': 'Oscar Wendt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 8238, 'name': 'Mahmoud Dahoud'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 11285, 'name': 'Ibrahima Traoré'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 8810, 'name': 'Raffael Caetano de Araújo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Borussia Mönchengladbach,185,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c138d4f2-7b52-4048-adb9-840fc8a5b2b8,3,,,3890462,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,['3de590f6-20b2-4e63-bb79-0c2ec18a955e'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3de590f6-20b2-4e63-bb79-0c2ec18a955e,4,,,3890462,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,['c138d4f2-7b52-4048-adb9-840fc8a5b2b8'],0,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,62625cee-8ea2-4405-9971-4ee927d062e0,2123,,,3890462,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Augsburg,172,['949529dc-1d04-4c70-a636-9b0898bd6388'],0,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,949529dc-1d04-4c70-a636-9b0898bd6388,2124,,,3890462,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Augsburg,172,['62625cee-8ea2-4405-9971-4ee927d062e0'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.47373,,,,,,,,,,,6ba8a2e1-1cfc-412b-a6c1-83aff615538e,5,,"[60.0, 40.0]",3890462,0,True,,,-1.2277724,,Right Foot,,,,"[61.0, 37.2]",,Ground Pass,,2.9732137,,,,,Alfreð Finnbogason,5514.0,,,,,Kick Off,1,From Kick Off,Raúl Marcelo Bobadilla,8807.0,Right Wing,2,Augsburg,172,['151a5e5a-482e-4554-8690-8d518077f3a6'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.242,Pass,
,,,,,,,,,,,,,,,,,,0.961415,,,,,,,,,,,eae7c802-fb7d-4c08-9de1-a8fad8f1e921,7,,"[61.9, 37.2]",3890462,0,True,,,-3.1006799,,Left Foot,,,,"[44.8, 36.5]",,Ground Pass,,17.11432,,,,,Halil Altıntop,40462.0,,,,,,1,From Kick Off,Alfreð Finnbogason,5514.0,Center Forward,2,Augsburg,172,['31db9bb2-9b71-4913-94d3-697c104a7507'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.813,Pass,
,,,,,,,,,,,,,,,,,,1.576561,,,,,,,,,,,9a59f643-6e4f-42e8-9c78-408278e34c69,10,,"[44.6, 38.4]",3890462,0,,,,1.71316,,Right Foot,,,,"[40.3, 68.4]",,Ground Pass,,30.3066,,,,,Paul Verhaegh,8237.0,,,,,,1,From Kick Off,Halil Altıntop,40462.0,Center Attacking Midfield,2,Augsburg,172,"['1bdc8588-fc11-48a0-a770-5758bba022e9', 'f0f6c020-0367-4233-91a0-cd2c6aabf058']",2,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:02.576,Pass,True
,,,,,,,,,,,,,,,,,,2.325307,,,,,,,,,,,f470de1c-e836-49ca-a2ec-3788a5c50bbb,13,,"[39.2, 65.2]",3890462,0,,,,-2.4995885,,Right Foot,,,,"[7.1, 41.2]",,Ground Pass,,40.080044,,,,,Marwin Hitz,8314.0,,,,,,1,From Kick Off,Paul Verhaegh,8237.0,Right Back,2,Augsburg,172,['e84294a9-9706-4581-a274-603e982ddfba'],5,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:05.010,Pass,
