50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,87a91098-fba7-4119-af17-0fc99962de6d,1,,,3788772,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Czech Republic,912,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 11541, 'name': 'Tomáš Vaclík'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16570, 'name': 'Vladimír Coufal'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 30328, 'name': 'Ondrej Celustka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 13197, 'name': 'Tomáš Kalas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4875, 'name': 'Jan Bořil'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 16469, 'name': 'Tomáš Holeš'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 9}, {'player': {'id': 4870, 'name': 'Tomáš Souček'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 16472, 'name': 'Lukáš Masopust'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 8579, 'name': 'Vladimír Darida'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 8095, 'name': 'Jakub Jankto'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 7044, 'name': 'Patrik Schick'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Czech Republic,912,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,59b8f2a0-fe99-4cab-b448-c79d4230a391,2,,,3788772,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Czech Republic,912,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3336, 'name': 'Harry Maguire'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3382, 'name': 'Luke Shaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4706, 'name': 'Kalvin Phillips'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 9638, 'name': 'Jack Grealish'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England,768,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ca36c8b0-3adf-43e3-872c-5f15d068afa2,3,,,3788772,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Czech Republic,912,['c344c67c-5d1a-4b40-be42-d165fd54639f'],0,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c344c67c-5d1a-4b40-be42-d165fd54639f,4,,,3788772,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Czech Republic,912,['ca36c8b0-3adf-43e3-872c-5f15d068afa2'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1c0917bf-44bd-4574-8668-383137d7c83f,1653,,,3788772,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,66,England,768,['ba14921e-ceb0-4316-829f-ee31e2628aec'],0,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ba14921e-ceb0-4316-829f-ee31e2628aec,1654,,,3788772,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,66,England,768,['1c0917bf-44bd-4574-8668-383137d7c83f'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.651356,,,,,,,,,,,,,c0f258ff-c250-49c9-8291-4eb8d82da2b9,5,,"[60.0, 40.0]",3788772,0,,,,,3.0697467,,Left Foot,,,"[33.6, 41.9]",,Ground Pass,26.468283,,,,Ondrej Celustka,30328.0,,,,,,Kick Off,1,From Kick Off,Patrik Schick,7044.0,Center Forward,2,Czech Republic,912,['8e923d0e-f194-41c7-8ba1-4ed1f61686ee'],0,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:00.338,Pass,
,,,,,,,,,,,,,,,,,3.447488,,,,,,,,,,,,,db4ea48a-889d-4875-9f06-18398323844b,8,,"[39.6, 40.7]",3788772,0,,,,,-0.4402026,,Right Foot,,,"[93.1, 15.5]",,High Pass,59.13789,,Incomplete,,Tomáš Souček,4870.0,,,,,,,1,From Kick Off,Ondrej Celustka,30328.0,Right Center Back,2,Czech Republic,912,"['025d838f-2b99-49b7-9782-a226116ce98b', 'bb4c5b98-c368-41fe-8129-82f1adadc3d0']",3,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:03.175,Pass,
,,,,,,,,,,,,,,,,,1.26184,,,,,,,,,,,,,ed2c95d2-07e3-47a3-b21e-b9fc11c98c35,15,,"[28.4, 62.8]",3788772,0,,,,,-3.0928507,,Left Foot,,,"[16.1, 62.2]",,Ground Pass,12.314626,,,,Kyle Walker,3205.0,,,,,,,1,Regular Play,Bukayo Saka,22084.0,Right Wing,3,England,768,"['80fb3e32-a334-4fd6-84e7-131b5f8e3bea', 'cc189c3c-5775-494b-9bf9-0e4896ce9db4']",9,,,,,,,,,,,,,,,,,England,768,00:00:09.324,Pass,True
,,,,,,,,,,,,,,,,,2.050607,,,,,,,,,,,,,07b2b482-723f-438a-a163-c3e5007046f7,19,,"[15.5, 61.4]",3788772,0,,,,,-0.35335144,,Right Foot,,,"[54.0, 47.2]",,High Pass,41.03523,,,,Raheem Sterling,3233.0,,,,,,,1,Regular Play,Kyle Walker,3205.0,Right Back,3,England,768,"['996ae071-6b02-47e0-a8ef-381d364991a7', 'c4deb0b2-4f9d-49de-a4cc-10e17e02a66f']",10,,,,,,,,,,,,,,,,,England,768,00:00:10.625,Pass,True
