50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ef90fb0a-3a77-45e4-8401-38008d75cec9,1,,,,3794690,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8069, 'name': 'Matthijs de Ligt'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 22}, {'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15582, 'name': 'Donyell Malen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Netherlands,941,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1295b2c8-04a9-43a6-8375-61a329ade402,2,,,,3794690,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 11541, 'name': 'Tomáš Vaclík'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16570, 'name': 'Vladimír Coufal'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 30328, 'name': 'Ondrej Celustka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 13197, 'name': 'Tomáš Kalas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 16469, 'name': 'Tomáš Holeš'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 9}, {'player': {'id': 16472, 'name': 'Lukáš Masopust'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 12}, {'player': {'id': 4870, 'name': 'Tomáš Souček'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 7801, 'name': 'Antonín Barák'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 23454, 'name': 'Petr Ševčík'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 13}, {'player': {'id': 7044, 'name': 'Patrik Schick'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Czech Republic,912,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3c76be23-65c1-446f-8d16-dad94128455d,3,,,,3794690,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['724e5860-0c88-4e55-8eb6-779f757ff186'],0,,,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,724e5860-0c88-4e55-8eb6-779f757ff186,4,,,,3794690,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['3c76be23-65c1-446f-8d16-dad94128455d'],0,,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2150a1f3-0177-4088-bdee-7f73fdaecdf5,1666,,,,3794690,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,82,Czech Republic,912,['e6537124-056a-4f49-a754-1aeaad926bad'],0,,,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e6537124-056a-4f49-a754-1aeaad926bad,1667,,,,3794690,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,82,Czech Republic,912,['2150a1f3-0177-4088-bdee-7f73fdaecdf5'],0,,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.659314,,,,,,,,,,,,,27791acd-90ac-4c8e-90c9-64c2e9a4b614,5,,,"[60.0, 40.0]",3794690,0,,,,-2.6375453,,Left Foot,,,"[37.7, 27.7]",,Ground Pass,,25.467234,,,,Tomáš Kalas,13197.0,,,,,Kick Off,1,From Kick Off,Patrik Schick,7044.0,Center Forward,2,Czech Republic,912,['d50525ae-9ca7-49a7-b3e0-d2777864c99e'],0,,,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:00.765,Pass,
,,,,,,,,,,,,,,,,,2.870405,,,,,,,,,,,,,b8d1f039-a84d-49cf-bd43-bb419ee899c9,8,,,"[38.5, 28.4]",3794690,0,,,,0.42856118,,Right Foot,,,"[93.0, 53.3]",,High Pass,,59.918777,,Incomplete,,Patrik Schick,7044.0,,,,,,1,From Kick Off,Tomáš Kalas,13197.0,Left Center Back,2,Czech Republic,912,"['5a2412cb-240f-4b2b-9f53-6c4748220059', '6cd2b2bf-2949-4ff0-a6a0-23444b1a02ac']",3,,,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:03.353,Pass,
,,,,,,,,,,,,,,,,,1.557076,,,,,,,,,,,,,8009d88e-2378-4ed9-82e8-6e652d026a18,11,,,"[68.1, 55.6]",3794690,0,,,True,-0.11460353,,,,,"[82.0, 54.0]",,High Pass,,13.991783,,Incomplete,,Patrik Schick,7044.0,,,,,Recovery,1,From Kick Off,Vladimír Coufal,16570.0,Right Back,2,Czech Republic,912,"['0962b336-3d6c-4150-9aed-17fb62e46f44', '6e88dadf-ed7c-4b13-8e31-827df28ef523', 'f65fa0a6-c38a-4057-a34b-464e6bf1461d']",8,,,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:08.271,Pass,True
,,,,,,,,,,,,,,,,,1.58908,,,,,,,,,,,,,6e88dadf-ed7c-4b13-8e31-827df28ef523,14,,,"[38.1, 26.1]",3794690,0,,,,-1.4065437,,Head,,,"[41.1, 8.0]",,Low Pass,,18.346935,,,,Patrick van Aanholt,3321.0,,,,,Recovery,1,Regular Play,Marten de Roon,6994.0,Right Defensive Midfield,3,Netherlands,941,"['8009d88e-2378-4ed9-82e8-6e652d026a18', 'aa1dc756-dcd6-4b3d-9b84-312e889d4ce8']",9,,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:09.828,Pass,
