bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9a810f94-a73b-46f8-87e9-fd36d46b4e11,1,,,3788775,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Slovakia,908,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3711, 'name': 'Martin Dúbravka'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9722, 'name': 'Peter Pekarík'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 30397, 'name': 'Ľubomír Šatka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6990, 'name': 'Milan Škriniar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 4421, 'name': 'Tomáš Hubočan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 20002, 'name': 'Jakub Hromada'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 7975, 'name': 'Lukáš Haraslín'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 16307, 'name': 'Róbert Mak'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 8967, 'name': 'Ondrej Duda'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Slovakia,908,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3d805ff4-8ff7-4704-b0bf-7554ff87a006,2,,,3788775,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Slovakia,908,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 11748, 'name': 'Unai Simón Mendibil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 31953, 'name': 'Eric García Martret'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Spain,772,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,641e76fb-ee97-412d-bc8d-f008af6c8fdb,3,,,3788775,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Slovakia,908,['77309d1d-4f0a-44ac-a9aa-de24fcba068f'],0,,,,,,,,,,,,,,,,,,Slovakia,908,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,77309d1d-4f0a-44ac-a9aa-de24fcba068f,4,,,3788775,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Slovakia,908,['641e76fb-ee97-412d-bc8d-f008af6c8fdb'],0,,,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,66134b6d-67e3-4ced-926f-270c2812ad6b,1664,,,3788775,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Spain,772,['f6715e92-9b89-4912-8cd7-3e57a0b166ce'],0,,,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f6715e92-9b89-4912-8cd7-3e57a0b166ce,1665,,,3788775,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Spain,772,['66134b6d-67e3-4ced-926f-270c2812ad6b'],0,,,,,,,,,,,,,,,,,,Slovakia,908,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.483618,,,,,,,,,,,,,,8f0ec442-234e-464d-abe1-917488389657,5,,"[60.0, 40.0]",3788775,0,,,,,-2.7735176,,Right Foot,,,,"[37.7, 31.4]",,Ground Pass,,23.900837,,,,,Milan Škriniar,6990.0,,,,,Kick Off,1,From Kick Off,Marek Hamšík,7025.0,Center Attacking Midfield,2,Slovakia,908,['78de4262-c3f2-49b5-b216-af2342e244e2'],0,,,,,,,,,,,,,,,,,,Slovakia,908,00:00:00.773,Pass,
,,,,,,,,,,,,,,,3.267117,,,,,,,,,,,,,,dbd9a56c-0d2a-488a-937b-aa06ec9eb376,8,,"[39.8, 28.0]",3788775,0,,,,,0.70384866,,Right Foot,,,,"[84.8, 66.2]",,High Pass,,59.02745,,,Incomplete,,Ondrej Duda,8967.0,,,,,,1,From Kick Off,Milan Škriniar,6990.0,Left Center Back,2,Slovakia,908,"['2f757a02-7447-45e2-9c09-7fde2988ceac', 'dc6d4da3-c3e5-4f75-8e55-3f0e00a48fb6']",4,,,,,,,,,,,,,,,,,,Slovakia,908,00:00:04.172,Pass,
,,,,,,,,,,,,,,,1.081415,,,,,,,,,,,,,,12a5af2a-7fe1-4e4a-9004-85bc7eb54c75,12,,"[62.9, 59.8]",3788775,0,,,,,-0.54802394,,Head,,,,"[70.6, 55.1]",,High Pass,,9.021087,,,Incomplete,,Marek Hamšík,7025.0,,,,,Recovery,1,From Kick Off,Ľubomír Šatka,30397.0,Right Center Back,2,Slovakia,908,"['13afb8d5-7d59-459d-89e4-8e148add3acc', '14edf9e7-698f-436e-b96e-ec789cf26268']",10,,,,,,,,,,,,,,,,,,Slovakia,908,00:00:10.159,Pass,
,,,,,,,,,,,,,,,1.440946,,,,,,,,,,,,,,14edf9e7-698f-436e-b96e-ec789cf26268,14,,"[49.5, 25.0]",3788775,0,,,,,1.1744953,,Right Foot,,,,"[55.4, 39.1]",,Low Pass,,15.284633,,,,,Pablo Sarabia García,6720.0,,,,,Interception,1,Regular Play,Jorge Resurrección Merodio,5199.0,Right Center Midfield,3,Spain,772,"['12a5af2a-7fe1-4e4a-9004-85bc7eb54c75', '2a8fa78d-623a-478c-87b8-b7aeda057080']",11,,,,,,,,,,,,,,,,,,Spain,772,00:00:11.241,Pass,
,,,,,,,,,,,,,,,0.697638,,,,,,,,,,,,,,e7f93723-657e-4fc1-a078-40371ad5ef5b,17,,"[55.4, 39.1]",3788775,0,,,,,-1.7942729,,Right Foot,,,,"[53.9, 32.5]",,Ground Pass,,6.7683086,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Pablo Sarabia García,6720.0,Right Wing,3,Spain,772,['9022d772-8b95-4a8c-b2e3-1e6777fb11f2'],13,,,,,,,,,,,,,,,,,,Spain,772,00:00:13.738,Pass,
,,,,,,,,,,,,,,,2.5351,,,,,,,,,,,,,,76793d5b-5aa6-458b-838b-20c90ac5643f,19,,"[53.9, 32.5]",3788775,0,,,,,1.4878844,,Left Foot,,,,"[56.9, 68.6]",,Ground Pass,,36.224438,,,,,César Azpilicueta Tanco,3957.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Spain,772,['842d94bc-fd2a-46ab-a28c-7b15d4ce481f'],14,,,,,,,,,,,,,,,,,,Spain,772,00:00:14.436,Pass,
,,,,,,,,,,,,,,,1.213172,,,,,,,,,,,,,,c49a7d9d-3972-4972-9673-ca1be58b881f,22,,"[64.0, 62.1]",3788775,0,,,,,-2.1269627,,Right Foot,,,,"[54.8, 47.3]",,Ground Pass,,17.426416,,,,,Eric García Martret,31953.0,,,,,,1,Regular Play,César Azpilicueta Tanco,3957.0,Right Back,3,Spain,772,['5d68295a-ab98-4575-b1ea-9ce0127bfccc'],22,,,,,,,,,,,,,,,,,,Spain,772,00:00:22.110,Pass,
,,,,,,,,,,,,,,,1.432583,,,,,,,,,,,,,,ee07f46e-146a-4904-9472-e2b251047075,25,,"[56.5, 46.2]",3788775,0,,,,,1.1829748,,Right Foot,,,,"[66.1, 69.7]",,Ground Pass,,25.385231,,,,,César Azpilicueta Tanco,3957.0,,,,,,1,Regular Play,Eric García Martret,31953.0,Right Center Back,3,Spain,772,['64026e9a-ff89-497b-8362-449f9df2835a'],25,,,,,,,,,,,,,,,,,,Spain,772,00:00:25.379,Pass,
