50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.80831,,,,,,,,,,,,,59560fc0-fe35-45a9-9ba6-e594f74a1a90,19,,,"[45.2, 6.9]",3788750,0,,,,2.6112185,,Right Foot,,,,"[29.0, 16.4]",Ground Pass,,18.780043,,,,Pau Francisco Torres,6892.0,,,,,Recovery,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Spain,772,['00928e08-938c-4cb7-9b89-ee1e9c9a8b7a'],18,,,,,,,,,,,,,,,,,Spain,772,00:00:18.490,Pass,
,,,,,,,,,,,,,,,,,,,1.700283,,,,,,,,,,,,,937043b5-aa14-492d-ba9a-19c135a5e16d,22,,,"[29.6, 19.9]",3788750,0,,,,1.6943252,,Left Foot,,,,"[25.9, 49.7]",Ground Pass,,30.02882,,,,Aymeric Laporte,4353.0,,,,,,1,Regular Play,Pau Francisco Torres,6892.0,Left Center Back,3,Spain,772,['c0d30078-4915-4f50-b9ba-5aafbee721c9'],21,,,,,,,,,,,,,,,,,Spain,772,00:00:21.194,Pass,
,,,,,,,,,,,,,,,,,,,1.576443,,,,,,,,,,,,,15a5e25f-7d7e-440d-bfa6-e391d3fbfce7,25,,,"[38.0, 53.2]",3788750,0,,,,1.1185334,,Left Foot,,,,"[48.3, 74.4]",Ground Pass,,23.569683,,,,Marcos Llorente Moreno,6840.0,,,,,,1,Regular Play,Aymeric Laporte,4353.0,Right Center Back,3,Spain,772,['e3042538-c95f-4dfd-abd5-3c174c140320'],26,,,,,,,,,,,,,,,,,Spain,772,00:00:26.926,Pass,
,,,,,,,,,,,,,,,,,,,2.226081,,,,,,,,,,,,,b684becc-e6eb-4c68-8b77-eef3b429208d,28,,,"[51.8, 69.7]",3788750,0,,,,-1.9149716,,Right Foot,,,,"[38.0, 31.2]",Ground Pass,,40.898533,,,,Pau Francisco Torres,6892.0,,,,,,1,Regular Play,Marcos Llorente Moreno,6840.0,Right Back,3,Spain,772,['b373fad2-eed0-4c0c-9a05-5d1bd26589ca'],31,,,,,,,,,,,,,,,,,Spain,772,00:00:31.025,Pass,
,,,,,,,,,,,,,,,,,,,1.579212,,,,,,,,,,,,,eddb1c0a-a68e-4025-b82d-ec549d4efd9b,31,,,"[38.0, 29.0]",3788750,0,,,,-1.1123122,,Left Foot,,,,"[49.5, 5.7]",Ground Pass,,25.983456,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Pau Francisco Torres,6892.0,Left Center Back,3,Spain,772,['641c37f9-8be4-4238-be90-da1a43fb3353'],34,,,,,,,,,,,,,,,,,Spain,772,00:00:34.507,Pass,
,,,,,,,,,,,,,,,,,,,1.285598,,,,,,,,,,,,,8326aa1c-277c-452e-b445-296b34fbe925,34,,,"[52.2, 4.3]",3788750,0,,,,-0.084215924,,Left Foot,,,,"[67.6, 3.0]",Ground Pass,,15.454773,,,,Daniel Olmo Carvajal,16532.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Spain,772,['cab4f861-2e12-4547-a4cf-d3a5de5be36c'],37,,,,,,,,,,,,,,,,,Spain,772,00:00:37.458,Pass,
,,,,,,,,,,,,,,,,,,,0.902885,,,,,,,,,,,,,4b31dcbd-a27e-4a74-9d3d-43fc683c987b,37,,,"[67.6, 3.0]",3788750,0,,,,2.488746,,Left Foot,,,,"[62.5, 6.9]",Ground Pass,,6.4202805,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Daniel Olmo Carvajal,16532.0,Left Wing,3,Spain,772,['d79175c3-f565-40ba-b6aa-48ee4334ea2f'],39,,,,,,,,,,,,,,,,,Spain,772,00:00:39.974,Pass,
,,,,,,,,,,,,,,,,,,,1.478733,,,,,,,,,,,,,68afb70f-8686-481f-ae0e-6007f5b92dd1,40,,,"[62.3, 8.6]",3788750,0,,,,2.1473637,,Left Foot,,,,"[50.4, 26.9]",Ground Pass,,21.82888,,,,Pau Francisco Torres,6892.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Spain,772,['f55d201f-4569-4869-8232-a6c7dac1c344'],41,,,,,,,,,,,,,,,,,Spain,772,00:00:41.689,Pass,
,,,,,,,,,,,,,,,,,,,2.278839,,,,,,,,,,,,,504ffee3-733c-4385-9c24-02b320f1a00b,43,,,"[52.0, 33.1]",3788750,0,,,,1.4174359,,Left Foot,,,,"[56.9, 64.8]",Ground Pass,,32.07647,,,,Jorge Resurrección Merodio,5199.0,,,,,,1,Regular Play,Pau Francisco Torres,6892.0,Left Center Back,3,Spain,772,['cff0cfa7-964b-4363-b6a6-c7c26b098292'],44,,,,,,,,,,,,,,,,,Spain,772,00:00:44.647,Pass,
,,,,,,,,,,,,,,,,,,,1.084625,,,,,,,,,,,,,c033b36c-89ad-4163-a52a-22e2215a9233,46,,,"[64.1, 67.4]",3788750,0,,,,0.6576068,,Right Foot,,,,"[74.2, 75.2]",Ground Pass,,12.76127,,,,Ferrán Torres García,6748.0,,,,,,1,Regular Play,Jorge Resurrección Merodio,5199.0,Right Center Midfield,3,Spain,772,['b51386e7-0e13-47d7-b9a4-0973cd1f7ef7'],48,,,,,,,,,,,,,,,,,Spain,772,00:00:48.506,Pass,
