ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,a7f2e3e8-1f46-4242-820b-a8e7dc6ae961,1,,,3788768,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Finland,1835,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26939, 'name': 'Joona Toivio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 24455, 'name': 'Paulus Arajuuri'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 38196, 'name': ""Daniel O''Shaughnessy""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15416, 'name': 'Jukka Raitala'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 22}, {'player': {'id': 16550, 'name': 'Jere Juhani Uronen'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 24648, 'name': 'Tim Sparv'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 24321, 'name': 'Robin Lod'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 13215, 'name': 'Glen Kamara'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 9476, 'name': 'Teemu Pukki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 9725, 'name': 'Joel Pohjanpalo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Finland,1835,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,7cedbda6-6263-4c8c-aa8c-44017dfb9388,2,,,3788768,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Finland,1835,,0,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 13116, 'name': 'Jason Denayer'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 5639, 'name': 'Anga Dedryck Boyata'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 16559, 'name': 'Leandro Trossard'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 24}, {'player': {'id': 4831, 'name': 'Nacer Chadli'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 22}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 5642, 'name': 'Axel Witsel'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 23650, 'name': 'Jeremy Doku'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Belgium,782,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,7d15519c-c367-478c-b327-77a6db6b18bf,3,,,3788768,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Finland,1835,['c834e344-1167-4ba2-84bc-1dcb157f51b7'],0,,,,,,,,,,,,,,,,Finland,1835,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,c834e344-1167-4ba2-84bc-1dcb157f51b7,4,,,3788768,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Finland,1835,['7d15519c-c367-478c-b327-77a6db6b18bf'],0,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,1359bf97-0aa6-4295-a40e-6834b60b9490,2107,,,3788768,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,74,Finland,1835,['100aa357-1394-4622-adae-2cf1ae413a81'],0,,,,,,,,,,,,,,,,Finland,1835,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,100aa357-1394-4622-adae-2cf1ae413a81,2108,,,3788768,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,74,Finland,1835,['1359bf97-0aa6-4295-a40e-6834b60b9490'],0,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.118037,,,,,,,,,,480c6a3c-8b48-4737-9722-c8f5a055d277,5,,"[61.0, 40.1]",3788768,0,,,,,2.9669204,,Right Foot,,,"[52.5, 41.6]",,Ground Pass,,8.631338,,,,,Axel Witsel,5642.0,,,,,Kick Off,1,From Kick Off,Romelu Lukaku Menama,3289.0,Center Forward,2,Belgium,782,['e27fbdf0-5c69-4949-b52a-d3091d961105'],0,,,,,,,,,,,,,,,,Belgium,782,00:00:00.678,Pass,
,,,,,,,,,,,,,,,2.094629,,,,,,,,,,54781595-7f36-4b5d-9916-a41d9cb25cf4,8,,"[52.3, 44.4]",3788768,0,,,,,2.0360887,,Right Foot,,,"[40.1, 68.7]",,Ground Pass,,27.190624,,,,,Jason Denayer,13116.0,,,,,,1,From Kick Off,Axel Witsel,5642.0,Left Defensive Midfield,2,Belgium,782,['2927ad56-ec35-4ae8-91f7-cae45c5f19f4'],2,,,,,,,,,,,,,,,,Belgium,782,00:00:02.394,Pass,
,,,,,,,,,,,,,,,1.114381,,,,,,,,,,2ac88db0-c781-4e8b-a21e-52e4f668870f,11,,"[40.1, 68.7]",3788768,0,,,,,-1.8140051,,Right Foot,,,"[36.8, 55.4]",,Ground Pass,,13.703284,,,,,Anga Dedryck Boyata,5639.0,,,,,,1,From Kick Off,Jason Denayer,13116.0,Right Center Back,2,Belgium,782,['5748da24-b5bf-4edf-99c4-6907f55bd68a'],6,,,,,,,,,,,,,,,,Belgium,782,00:00:06.475,Pass,
,,,,,,,,,,,,,,,1.494841,,,,,,,,,,d70d2d31-98c6-43f8-9c07-ec7ae11cd8d5,14,,"[36.7, 54.8]",3788768,0,,,,,-1.261811,,Right Foot,,,"[48.0, 19.4]",,Ground Pass,,37.15979,,,,,Kevin De Bruyne,3089.0,,,,,,1,From Kick Off,Anga Dedryck Boyata,5639.0,Center Back,2,Belgium,782,['f5839da8-e7fb-4dea-9937-38afbdd4f851'],8,,,,,,,,,,,,,,,,Belgium,782,00:00:08.634,Pass,
