50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0b7f232e-eafd-40a5-a8d0-f4263fe678d0,1,,,3788756,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8069, 'name': 'Matthijs de Ligt'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 22}, {'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 7829, 'name': 'Wout Weghorst'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Netherlands,941,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9a15156a-f881-4337-84e7-d696cb2d0b88,2,,,3788756,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 21532, 'name': 'Daniel Bachmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3969, 'name': 'Aleksandar Dragović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 8}, {'player': {'id': 8307, 'name': 'Martin Hinteregger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8779, 'name': 'Stefan Lainer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 21}, {'player': {'id': 8777, 'name': 'Andreas Ulmer'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 2}, {'player': {'id': 8769, 'name': 'Xaver Schlager'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8506, 'name': 'Konrad Laimer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 8518, 'name': 'Marcel Sabitzer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 24977, 'name': 'Christoph Baumgartner'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Austria,915,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,99e990ac-fe46-416c-816f-09993691e213,3,,,3788756,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['e544e777-34cf-41e5-9721-b86ba94ef1f4'],0,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e544e777-34cf-41e5-9721-b86ba94ef1f4,4,,,3788756,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['99e990ac-fe46-416c-816f-09993691e213'],0,,,,,,,,,,,,,,,,Austria,915,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e92d2090-ad2c-4f50-a7d5-eaf0dd20748b,1902,,,3788756,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Netherlands,941,['e3fd5559-a73f-4fa7-81bd-6ef87309b698'],0,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e3fd5559-a73f-4fa7-81bd-6ef87309b698,1903,,,3788756,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Netherlands,941,['e92d2090-ad2c-4f50-a7d5-eaf0dd20748b'],0,,,,,,,,,,,,,,,,Austria,915,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.757541,,,,,,,,,,,,,5cf1441c-ad1b-4a25-ad7a-22e1a78d3bf9,5,,"[61.0, 40.1]",3788756,0,,,,,-2.9551058,,Left Foot,,,"[34.5, 35.1]",,Ground Pass,,26.967573,,,,David Olatukunbo Alaba,8220.0,,,,,Kick Off,1,From Kick Off,Michael Gregoritsch,8309.0,Left Center Forward,2,Austria,915,['ba5c57f3-48f9-467e-9af0-930fa203784a'],0,,,,,,,,,,,,,,,,Austria,915,00:00:00.952,Pass,
,,,,,,,,,,,,,,,,,,1.984418,,,,,,,,,,,,,252d0938-97cb-45aa-9898-120e60d3c68e,8,,"[36.1, 35.4]",3788756,0,,,,,-0.7769477,,Left Foot,,,"[54.0, 17.8]",,Ground Pass,,25.103188,,,,Marcel Sabitzer,8518.0,,,,,,1,From Kick Off,David Olatukunbo Alaba,8220.0,Center Back,2,Austria,915,['408abdd8-7946-49d9-90c7-5cf9ab2a46d3'],3,,,,,,,,,,,,,,,,Austria,915,00:00:03.084,Pass,
,,,,,,,,,,,,,,,,,,0.971994,,,,,,,,,,,,,9d1ed386-f351-407a-9961-315a40b54550,11,,"[54.0, 17.8]",3788756,0,,,,,3.1415927,,Right Foot,,,"[43.2, 17.8]",,Ground Pass,,10.8,,,,Martin Hinteregger,8307.0,,,,,,1,From Kick Off,Marcel Sabitzer,8518.0,Left Center Midfield,2,Austria,915,['98903f50-139f-4d62-961b-2d65bbc8757f'],5,,,,,,,,,,,,,,,,Austria,915,00:00:05.108,Pass,
,,,,,,,,,,,,,,,,,,1.599325,,,,,,,,,,,,,de214e10-4ac0-4827-9f1f-e531fbb9fa9a,14,,"[43.2, 17.8]",3788756,0,,,,,2.2915366,,Left Foot,,,"[30.2, 32.6]",,Ground Pass,,19.69873,,,,David Olatukunbo Alaba,8220.0,,,,,,1,From Kick Off,Martin Hinteregger,8307.0,Left Center Back,2,Austria,915,['4bdf42ad-9382-4da8-8dbc-ff9b7e7ed6d3'],6,,,,,,,,,,,,,,,,Austria,915,00:00:06.264,Pass,
