bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.275289,,,,,,,,,,,,,53178af0-ae63-4ae1-a076-06d34fc10ef8,5,,,"[60.0, 40.0]",3794686,0,,,,,-2.5325897,,Right Foot,,,"[40.5, 26.4]",,Ground Pass,23.774145,,,,Aymeric Laporte,4353.0,,,,,Kick Off,1,From Kick Off,Pedro González López,30486.0,Left Center Midfield,2,Spain,772,['df3eeb37-35ed-47b3-a4ac-d6ffc27bffc0'],0,,,,,,,,,,,,,,,,,,,Spain,772,00:00:00.409,Pass,
,,,,,,,,,,,,,,,,,,4.938691,,,,,,,,,,,,,df54f8e6-cf59-4cb0-a020-10cdf58d6788,8,,,"[41.4, 26.7]",3794686,0,,,,,0.7797697,,Left Foot,,,"[95.0, 79.7]",,High Pass,75.37878,,Out,,Ferrán Torres García,6748.0,,True,,,,1,From Kick Off,Aymeric Laporte,4353.0,Left Center Back,2,Spain,772,['c0fb66dc-f8a5-4531-bb1b-f61b9a2b61f5'],3,,,,,,,,,,,,,,,,,,,Spain,772,00:00:03.163,Pass,
,,,,,,,,,,,,,,,,,,1.288681,,,,,,,,,,,,,b4294231-edaf-4998-8cb0-63ba5ff52572,10,,,"[25.5, 0.1]",3794686,0,,,,,0.28551266,,,,,"[45.6, 6.0]",,Low Pass,20.94803,,,,Bruno Petković,7693.0,,,,,Throw-in,1,From Throw In,Joško Gvardiol,33018.0,Left Back,3,Croatia,785,['fda342a5-d04d-4352-95f2-609c347bfda6'],23,,,,,,,,,,,,,,,,,,,Croatia,785,00:00:23.881,Pass,
,,,,,,,,,,,,,,,,,,1.721902,,,,,,,,,,,,,f3da5f08-5133-480b-9299-8c252eaf8433,15,,,"[47.2, 6.4]",3794686,0,,,,,0.27690884,,Right Foot,,,"[56.7, 9.1]",,Low Pass,9.876234,,Incomplete,,Marcelo Brozović,5469.0,,,,,,1,From Throw In,Bruno Petković,7693.0,Center Forward,3,Croatia,785,"['443c657e-4eda-44b6-9716-8865f74c8215', 'bd4818b3-9b5c-443f-a437-7cc0f1cb5cc1', 'ec71c44a-e1a4-4d2e-8ffd-4805825c5689', 'f7cbd593-6e7c-4704-b157-fe92e26173b8']",25,,,,,,,,,,,,,,,,,,,Croatia,785,00:00:25.603,Pass,True
,,,,,,,,,,,,,,,,,,1.303223,,,,,,,,,,,,,443c657e-4eda-44b6-9716-8865f74c8215,18,,,"[63.4, 71.0]",3794686,0,,,,,-0.3074949,,Right Foot,,,"[78.2, 66.3]",,High Pass,15.528361,,Incomplete,,Pedro González López,30486.0,,,,,Interception,1,From Throw In,Eric García Martret,31953.0,Right Center Back,3,Croatia,785,"['5a9f1459-f257-4180-933f-2d27b3b9e50e', '70aaf5f4-f61b-47b8-9d7c-e71906f73941', 'f3da5f08-5133-480b-9299-8c252eaf8433']",27,,,,,,,,,,,,,,,,,,,Spain,772,00:00:27.325,Pass,
,,,,,,,,,,,,,,,,,,2.280916,,,,,,,,,,,,,70aaf5f4-f61b-47b8-9d7c-e71906f73941,20,,,"[41.9, 13.8]",3794686,0,,,,,0.31154683,,Right Foot,,,"[53.7, 17.6]",,High Pass,12.396773,,Incomplete,,Ante Rebić,5465.0,,,,,Recovery,1,From Throw In,Marcelo Brozović,5469.0,Center Defensive Midfield,3,Croatia,785,"['14380ea7-6928-4760-8e07-05496612648c', '443c657e-4eda-44b6-9716-8865f74c8215', '87bbec0b-518a-422b-be06-1b271d63681d']",28,,,,,,,,,,,,,,,,,,,Croatia,785,00:00:28.628,Pass,
,,,,,,,,,,,,,,,,,,1.548128,,,,,,,,,,,,,87bbec0b-518a-422b-be06-1b271d63681d,23,,,"[66.4, 62.5]",3794686,0,,,,True,1.8060287,,,,,"[63.5, 74.6]",,Low Pass,12.442669,,,,César Azpilicueta Tanco,3957.0,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Spain,772,"['70aaf5f4-f61b-47b8-9d7c-e71906f73941', 'b47e7f2a-03c8-4ddb-bafe-61f43b4064d9', 'c33a14a5-79e7-481d-b787-d362a66e983d']",30,,,,,,,,,,,,,,,,,,,Spain,772,00:00:30.909,Pass,True
,,,,,,,,,,,,,,,,,,3.069654,,,,,,,,,,,,,09fc80c9-715b-4c68-99ea-f3b9ae29fa92,26,,,"[63.5, 74.2]",3794686,0,,,,,-2.3065116,,Right Foot,,,"[46.3, 55.2]",,Low Pass,25.62889,,,,Eric García Martret,31953.0,,,,,,1,Regular Play,César Azpilicueta Tanco,3957.0,Right Back,4,Spain,772,['6dda032b-e9e1-40ce-8562-d99d4c67bfa8'],32,,,,,,,,,,,,,,,,,,,Spain,772,00:00:32.493,Pass,
,,,,,,,,,,,,,,,,,,2.021311,,,,,,,,,,,,,cfd2365e-851a-4705-8e62-0fa2f29714e8,28,,,"[45.5, 54.2]",3794686,0,,,,,-1.784857,,Left Foot,,,"[42.0, 38.1]",,Ground Pass,16.476044,,,,Aymeric Laporte,4353.0,,,,,,1,Regular Play,Eric García Martret,31953.0,Right Center Back,4,Spain,772,['c9a0c047-6747-40ca-9d59-b6f6050e29c1'],35,,,,,,,,,,,,,,,,,,,Spain,772,00:00:35.562,Pass,
,,,,,,,,,,,,,,,,,,1.66055,,,,,,,,,,,,,8a82c8fc-3177-47d2-b41e-6454c3ffb6f5,31,,,"[44.5, 37.5]",3794686,0,,,,,-1.2883742,,Left Foot,,,"[51.0, 15.1]",,Ground Pass,23.324022,,,,José Luis Gayà Peña,6596.0,,,,,,1,Regular Play,Aymeric Laporte,4353.0,Left Center Back,4,Spain,772,['f7c10be0-8b81-413a-a357-51a2ca74907e'],39,,,,,,,,,,,,,,,,,,,Spain,772,00:00:39.938,Pass,
,,,,,,,,,,,,,,,,,,1.715506,,,,,,,,,,,,,edac2f35-71d1-4fb0-876a-1ce83d73cb03,34,,,"[51.8, 15.5]",3794686,0,,,,,1.6469201,,Left Foot,,,"[49.1, 50.9]",,Ground Pass,35.502815,,,,Eric García Martret,31953.0,,,,,,1,Regular Play,José Luis Gayà Peña,6596.0,Left Back,4,Spain,772,['6b68cc4a-24a6-43e1-93d4-d058f951a3b1'],43,,,,,,,,,,,,,,,,,,,Spain,772,00:00:43.183,Pass,
,,,,,,,,,,,,,,,,,,1.378344,,,,,,,,,,,,,62b6b320-5fb1-4be9-954e-cef51bdf86fc,37,,,"[63.5, 50.7]",3794686,0,,,,,-1.6169175,,Right Foot,,,"[62.6, 31.2]",,Ground Pass,19.520758,,,,Aymeric Laporte,4353.0,,,,,,1,Regular Play,Eric García Martret,31953.0,Right Center Back,4,Spain,772,['d1c6f5de-631b-477b-87c9-afe0e17c2290'],49,,,,,,,,,,,,,,,,,,,Spain,772,00:00:49.720,Pass,
,,,,,,,,,,,,,,,,,,1.620032,,,,,,,,,,,,,f5c7e5c2-6589-4f48-a0fa-30c01676715b,40,,,"[62.6, 31.2]",3794686,0,,,,,1.3586526,,Left Foot,,,"[66.8, 50.7]",,Ground Pass,19.94718,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Aymeric Laporte,4353.0,Left Center Back,4,Spain,772,['6c91c84a-02db-413e-ab55-4a087dc0f9d0'],51,,,,,,,,,,,,,,,,,,,Spain,772,00:00:51.866,Pass,
