50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5b6ffcc1-3b8f-4b0a-97d0-e2815b2cacce,1,,,,3788774,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,,0,,,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 6}, {'player': {'id': 6985, 'name': 'Robin Gosens'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8966, 'name': 'Kai Havertz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 8400, 'name': 'Serge Gnabry'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Germany,770,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8d102cf0-833e-4199-ba2c-5b3ca9c6a8c1,2,,,,3788774,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,,0,,,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 8524, 'name': 'Péter Gulácsi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31887, 'name': 'Endre Botka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 8509, 'name': 'Willi Orban'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 46376, 'name': 'Attila Szalai'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 16741, 'name': 'Loïc Négo'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 7}, {'player': {'id': 11268, 'name': 'Attila Fiola'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 5}, {'player': {'id': 7162, 'name': 'Ádám Nagy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 16502, 'name': 'László Kleinheisler'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 42822, 'name': 'András Schäfer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 19316, 'name': 'Roland Sallai'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 8407, 'name': 'Ádám Szalai'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Hungary,916,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3fe85691-79a9-4223-be80-d9689a807381,3,,,,3788774,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,['4aba43e4-8a28-4a97-a604-3079418f4c0a'],0,,,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4aba43e4-8a28-4a97-a604-3079418f4c0a,4,,,,3788774,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,['3fe85691-79a9-4223-be80-d9689a807381'],0,,,,,,,,,,,,,,,,,,,,Hungary,916,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,481bea80-cb77-4ca5-b55e-b5453c234dd2,2007,,,,3788774,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,94,Hungary,916,['6f58b402-55a0-4c8a-9bc9-2e0d03c01d83'],0,,,,,,,,,,,,,,,,,,,,Hungary,916,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6f58b402-55a0-4c8a-9bc9-2e0d03c01d83,2008,,,,3788774,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,94,Hungary,916,['481bea80-cb77-4ca5-b55e-b5453c234dd2'],0,,,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.010312,,,,,,,,,,,,,40ea0de1-da25-45cd-aae0-174586d4f848,5,,,"[60.0, 40.0]",3788774,0,,,,,2.8144946,,Right Foot,,,,"[48.8, 43.8]",,Ground Pass,,11.827087,,,İlkay Gündoğan,10287.0,,,,,Kick Off,1,From Kick Off,Serge Gnabry,8400.0,Center Forward,2,Germany,770,['2038cfeb-55c4-4660-8606-2345e7cd39fb'],0,,,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.595,Pass,
,,,,,,,,,,,,,,,,,0.699088,,,,,,,,,,,,,425ab522-d884-4258-9248-cccbeba2028d,8,,,"[48.8, 44.0]",3788774,0,,,,,-1.418147,,Left Foot,,,,"[51.0, 29.7]",,Ground Pass,,14.468241,,,Toni Kroos,5574.0,,,,,,1,From Kick Off,İlkay Gündoğan,10287.0,Right Defensive Midfield,2,Germany,770,['22768950-3555-4098-8614-3169d16b5ddf'],1,,,,,,,,,,,,,,,,,,,,Germany,770,00:00:01.645,Pass,
,,,,,,,,,,,,,,,,,1.019391,,,,,,,,,,,,,e5c55713-a452-4102-8a09-d2f108117371,11,,,"[51.2, 30.7]",3788774,0,,,,,1.7309047,,Left Foot,,,,"[48.6, 46.8]",,Ground Pass,,16.308586,,,İlkay Gündoğan,10287.0,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Defensive Midfield,2,Germany,770,['9cb41b30-4730-432e-81dc-db1d0dad7867'],2,,,,,,,,,,,,,,,,,,,,Germany,770,00:00:02.384,Pass,
,,,,,,,,,,,,,,,,,1.63139,,,,,,,,,,,,,5ea3696b-dc23-4c4b-ae34-5d595981e2fd,14,,,"[48.6, 46.8]",3788774,0,,,,,-1.7711487,,Right Foot,,,,"[42.0, 14.3]",,Ground Pass,,33.163383,,,Antonio Rüdiger,3167.0,,,,,,1,From Kick Off,İlkay Gündoğan,10287.0,Right Defensive Midfield,2,Germany,770,['2b96f40f-08e3-4386-8eee-1cc6815610ba'],3,,,,,,,,,,,,,,,,,,,,Germany,770,00:00:03.444,Pass,
