50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,354121dc-f36a-4807-aed6-5ed389644307,1,,,3788760,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16531, 'name': 'Dominik Livaković'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 33018, 'name': 'Joško Gvardiol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5456, 'name': 'Mateo Kovačić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 4}, {'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 8946, 'name': 'Josip Brekalo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Croatia,785,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d8acd2da-d8d5-4ece-a46f-a36b61cc5464,2,,,3788760,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 11541, 'name': 'Tomáš Vaclík'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16570, 'name': 'Vladimír Coufal'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 30328, 'name': 'Ondrej Celustka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 13197, 'name': 'Tomáš Kalas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4875, 'name': 'Jan Bořil'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 16469, 'name': 'Tomáš Holeš'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 4870, 'name': 'Tomáš Souček'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 16472, 'name': 'Lukáš Masopust'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 8579, 'name': 'Vladimír Darida'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 8095, 'name': 'Jakub Jankto'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 7044, 'name': 'Patrik Schick'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Czech Republic,912,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,06f7bc04-6a1e-40f2-9c75-75bc07f5514a,3,,,3788760,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,['6f1077d6-0935-4285-92d2-98926c743025'],0,,,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6f1077d6-0935-4285-92d2-98926c743025,4,,,3788760,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,['06f7bc04-6a1e-40f2-9c75-75bc07f5514a'],0,,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,44633c5a-b2ed-4cbc-aec8-67de245dfef6,1567,,,3788760,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,Croatia,785,['8d41ed57-29b7-47e5-bec7-eb248ce1537d'],0,,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8d41ed57-29b7-47e5-bec7-eb248ce1537d,1568,,,3788760,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,Croatia,785,['44633c5a-b2ed-4cbc-aec8-67de245dfef6'],0,,,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.826468,,,,,,,,,,,,,,7d432cd3-d3a6-4b70-9773-e56e8e854461,5,,"[60.0, 40.0]",3788760,0,,,,,3.0648208,,Left Foot,,,"[36.6, 41.8]",,Ground Pass,,23.46913,,,,Ondrej Celustka,30328.0,,,,,Kick Off,1,From Kick Off,Patrik Schick,7044.0,Center Forward,2,Czech Republic,912,['bd9e68f7-72f9-4052-817d-f284b779a076'],1,,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:01.452,Pass,
,,,,,,,,,,,,,,3.15779,,,,,,,,,,,,,,4c518aa0-3926-4718-9fae-de2f885077a8,8,,"[36.2, 42.3]",3788760,0,,,,,-0.5550294,,Right Foot,,,"[79.1, 15.7]",,High Pass,,50.47742,,Incomplete,,Jan Bořil,4875.0,,,,,,1,From Kick Off,Ondrej Celustka,30328.0,Right Center Back,2,Czech Republic,912,"['77af1df0-6954-43c0-8c33-b2fa2cb43f11', 'd3163417-60be-45d0-a601-c929a4a92ba3']",4,,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:04.141,Pass,
,,,,,,,,,,,,,,2.846209,,,,,,,,,,,,,,dc2509fa-dea1-4c0f-88ec-d6bdc051e0f0,12,,"[48.1, 34.4]",3788760,0,,,,,2.4314291,,Other,,,"[37.4, 43.6]",,Low Pass,,14.111343,,,,Vladimír Coufal,16570.0,,,,,Recovery,1,From Kick Off,Ondrej Celustka,30328.0,Right Center Back,2,Czech Republic,912,['9b302086-2f69-4b38-a12b-3e0c1dcf19da'],9,,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:09.859,Pass,
,,,,,,,,,,,,,,2.448327,,,,,,,,,,,,,,58b421a2-3bfd-405f-ac04-37fc6a814e51,15,,"[34.8, 43.9]",3788760,0,,,,,3.1344242,,Right Foot,,,"[6.9, 44.1]",,Ground Pass,,27.900717,,,,Tomáš Vaclík,11541.0,,,,,,1,From Kick Off,Vladimír Coufal,16570.0,Right Back,2,Czech Republic,912,['deb9f60d-0666-4686-af39-01132008a756'],12,,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:12.745,Pass,
