50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,72fff3c3-7cc0-4f1e-ab33-f313786f565f,1,,,,3788752,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hungary,916,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 8524, 'name': 'Péter Gulácsi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31887, 'name': 'Endre Botka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 8509, 'name': 'Willi Orban'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 46376, 'name': 'Attila Szalai'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 10794, 'name': 'Gergő Lovrencsics'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 14}, {'player': {'id': 11268, 'name': 'Attila Fiola'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 5}, {'player': {'id': 7162, 'name': 'Ádám Nagy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 16502, 'name': 'László Kleinheisler'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 42822, 'name': 'András Schäfer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 19316, 'name': 'Roland Sallai'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 8407, 'name': 'Ádám Szalai'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Hungary,916,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,62f88c05-de9e-4750-acc5-7378f3671965,2,,,,3788752,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hungary,916,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5205, 'name': 'Rui Pedro dos Santos Patrício'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5206, 'name': 'Rúben Santos Gato Alves Dias'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 13621, 'name': 'Danilo Luís Hélio Pereira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 5214, 'name': 'William Silva de Carvalho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 9929, 'name': 'Diogo José Teixeira da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Portugal,780,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,86f8b672-d9ce-4131-a6f2-319da6aab945,3,,,,3788752,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hungary,916,['49f4542c-ddde-47bc-90e0-08f10a22695a'],0,,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,49f4542c-ddde-47bc-90e0-08f10a22695a,4,,,,3788752,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hungary,916,['86f8b672-d9ce-4131-a6f2-319da6aab945'],0,,,,,,,,,,,,,,,,,Hungary,916,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c564a214-157c-46b2-bcbf-178f45fdf7ea,1841,,,,3788752,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Portugal,780,['94113eae-b941-4c50-96c0-3ba05bb9346b'],0,,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,94113eae-b941-4c50-96c0-3ba05bb9346b,1842,,,,3788752,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Portugal,780,['c564a214-157c-46b2-bcbf-178f45fdf7ea'],0,,,,,,,,,,,,,,,,,Hungary,916,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.763726,,,,,,,,,,,,,,fcb00fc4-85a2-4977-b172-d225aa1bac7a,5,,,"[60.0, 40.0]",3788752,0,,,,-2.733543,,Right Foot,,,"[37.1, 30.1]",,Ground Pass,,24.948347,,,,,Attila Szalai,46376.0,,,,,Kick Off,1,From Kick Off,László Kleinheisler,16502.0,Right Center Midfield,2,Hungary,916,['4b548e57-3934-4944-8ac6-f4e5b4ca507e'],0,,,,,,,,,,,,,,,,,Hungary,916,00:00:00.787,Pass,
,,,,,,,,,,,,,,,,,,,2.577564,,,,,,,,,,,,,,b7ffec56-802c-4fb6-ab56-879c8cdd3b59,8,,,"[35.7, 28.6]",3788752,0,,,,0.7926096,,Left Foot,,,"[77.0, 70.5]",,High Pass,,58.832813,,,,,Gergő Lovrencsics,10794.0,,True,,,,1,From Kick Off,Attila Szalai,46376.0,Left Center Back,2,Hungary,916,['633c0f47-187b-4f31-bd3a-b546e1bf5dfe'],3,,,,,,,,,,,,,,,,,Hungary,916,00:00:03.901,Pass,
,,,,,,,,,,,,,,,,,,,2.200971,,,,,,,,,,,,,,4576f088-a3d9-4188-8b72-c242b54f4442,11,,,"[77.0, 70.5]",3788752,0,,,True,0.3440212,,,,,"[102.4, 79.6]",,High Pass,,26.980919,,,Out,,Roland Sallai,19316.0,,,,,,1,From Kick Off,Gergő Lovrencsics,10794.0,Right Wing Back,2,Hungary,916,"['5f5335fd-46a0-4ed1-99d3-b24ca1ae9e6e', 'd6832e56-7f74-4832-86b2-1eb1a2914c63']",6,,,,,,,,,,,,,,,,,Hungary,916,00:00:06.478,Pass,True
,,,,,,,,,,,,,,,,,,,0.899696,,,,,,,,,,,,,,bba9c6cf-19bf-45d3-8ffe-55fc739b2d14,13,,,"[26.3, 0.1]",3788752,0,,,,0.90276027,,,,,"[36.4, 12.9]",,Low Pass,,16.304907,,,,,William Silva de Carvalho,5214.0,,,,,Throw-in,1,From Throw In,Raphaël Adelino José Guerreiro,5209.0,Left Back,3,Portugal,780,['a30dd57f-b637-45fa-bf9a-5c622c24cec7'],18,,,,,,,,,,,,,,,,,Portugal,780,00:00:18.795,Pass,
