ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a25a3816-0d2c-4a7d-a798-f9dfe463d0c1,1,,,3788743,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,,0,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5639, 'name': 'Anga Dedryck Boyata'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6989, 'name': 'Timothy Castagne'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 21}, {'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 16}, {'player': {'id': 6331, 'name': 'Leander Dendoncker'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 2954, 'name': 'Youri Tielemans'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5630, 'name': 'Dries Mertens'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Belgium,782,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b25187c2-c902-4e74-be5b-c0014280ac23,2,,,3788743,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 38119, 'name': 'Anton Shunin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5170, 'name': 'Mário Figueira Fernandes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 34588, 'name': 'Andrey Semenov'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 16583, 'name': 'Georgiy Dzhikiya'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5193, 'name': 'Yuri Zhirkov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 18735, 'name': 'Dmitriy Barinov'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 20845, 'name': 'Magomed Ozdoev'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 5171, 'name': 'Roman Zobnin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5177, 'name': 'Aleksandr Golovin'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 5179, 'name': 'Daler Kuzyaev'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 5195, 'name': 'Artem Dzyuba'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Russia,796,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b9379701-85fe-4c7d-aa7b-e89935a03032,3,,,3788743,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,['0b60ee9d-f43e-44ac-8972-3dcfbececf4b'],0,,,,,,,,,,,,,,,,Russia,796,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0b60ee9d-f43e-44ac-8972-3dcfbececf4b,4,,,3788743,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,['b9379701-85fe-4c7d-aa7b-e89935a03032'],0,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c6f6fc47-93f0-4ef0-ab91-29a65da04b55,1987,,,3788743,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,Belgium,782,['b90b3700-5980-4cdd-adbf-16b49a8d110c'],0,,,,,,,,,,,,,,,,Russia,796,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b90b3700-5980-4cdd-adbf-16b49a8d110c,1988,,,3788743,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,Belgium,782,['c6f6fc47-93f0-4ef0-ab91-29a65da04b55'],0,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.242659,,,,,,,,,,,0e52436d-b417-4c8b-804d-aef74aacbed4,5,,"[61.0, 40.1]",3788743,0,,,,,-2.796037,,Right Foot,,,"[38.5, 32.0]",,Ground Pass,,23.913595,,,,Georgiy Dzhikiya,16583.0,,,,,Kick Off,1,From Kick Off,Aleksandr Golovin,5177.0,Center Attacking Midfield,2,Russia,796,['cfd4ea59-fc42-4cf2-a415-c1b37ea9cf16'],0,,,,,,,,,,,,,,,,Russia,796,00:00:00.518,Pass,
,,,,,,,,,,,,,,,3.511762,,,,,,,,,,,792dffab-c66f-4054-b8cb-a3eba24570b0,8,,"[38.6, 32.4]",3788743,0,,,,,0.66162103,,Left Foot,,,"[86.5, 69.7]",,High Pass,,60.709965,,Incomplete,,Artem Dzyuba,5195.0,,,,,,1,From Kick Off,Georgiy Dzhikiya,16583.0,Left Center Back,2,Russia,796,"['3ecdea4b-b648-4f7f-bcd9-b2bc19ba078b', '6cc55fc9-c840-4dbb-9193-4f5e9af484f9']",4,,,,,,,,,,,,,,,,Russia,796,00:00:04.303,Pass,
,,,,,,,,,,,,,,,2.336908,,,,,,,,,,,a416e55b-84f8-4510-94d0-c8eab5ffb604,12,,"[89.0, 80.0]",3788743,0,,,,,-0.11391151,,,,,"[112.6, 77.3]",,High Pass,,23.753946,,,,Artem Dzyuba,5195.0,,,,,Throw-in,1,From Throw In,Mário Figueira Fernandes,5170.0,Right Back,3,Russia,796,['17d1e6e8-6ed9-4dd2-953a-d976312f8b84'],21,,,,,,,,,,,,,,,,Russia,796,00:00:21.299,Pass,
,,,,,,,,,,,,,,,0.986178,,,,,,,,,,,a29c34e2-5100-4ade-8a6f-156093e0e746,17,,"[113.3, 77.1]",3788743,0,,,,,-1.8301281,,Right Foot,,,"[112.0, 72.2]",,High Pass,,5.0695167,,,,Roman Zobnin,5171.0,,,,,,1,From Throw In,Artem Dzyuba,5195.0,Center Forward,3,Russia,796,['9e2dab21-199b-4eae-b710-4b5ebb5757b6'],24,,,,,,,,,,,,,,,,Russia,796,00:00:24.365,Pass,
,,,,,,,,,,,,,,,0.847767,,,,,,,,,,,ec3f5909-5ba8-46f3-9543-1358a0c46394,20,,"[117.5, 67.1]",3788743,0,,,,,-1.8451782,,Right Foot,,True,"[113.7, 53.6]",,Low Pass,,14.024621,,Incomplete,,Daler Kuzyaev,5179.0,,,,,,1,From Throw In,Roman Zobnin,5171.0,Right Wing,3,Russia,796,"['61dd9146-6bdf-4464-8f55-23563e0a4574', '8e35978d-6d36-4286-901c-d131c3c2e4da']",26,,,,,,,,,,,,,,,,Russia,796,00:00:26.703,Pass,
