player_id,player_name,team,total_minutes_played,total_passes,total_completed_passes,total_progressive_passes,total_penalty_area_passes,total_long_passes,total_assists,total_key_passes,total_shots,total_shots_on_target,total_goals,total_xg,total_dribbles,total_successful_dribbles,total_duels,total_won_duels,total_tackles,total_successful_tackles,total_interceptions,total_ball_recoveries,total_clearances,total_blocks,total_fouls_committed,total_fouls_won,avg_pass_distance,avg_xg_per_shot,total_games
23329.0,Abdelhamid El Kaoutari,Palermo,650,271,223,115,6,46,0,2,1,1,1,0.19812727,4,2,27,2,20,2,10,47,23,18,3,5,20.227412482601807,0.028303895714285713,7
23349.0,Paolo Sammarco,Frosinone,2385,914,681,368,80,157,1,19,22,10,4,2.3766764425,17,14,104,18,58,18,36,129,67,57,36,37,20.02908457649912,0.05918266669345238,28
23470.0,Luca Paganini,Frosinone,1886,501,336,147,66,61,2,17,26,5,2,1.969788413,39,21,134,10,43,10,32,105,33,65,38,60,18.096504564642267,0.04165126998076923,26
23488.0,Mario Suárez Mata,Fiorentina,475,465,429,141,4,62,0,1,7,4,1,0.616231646,6,3,9,3,7,3,3,29,4,7,8,9,18.348765629080937,0.032557722222222224,9
23846.0,Uroš Đurđević,Palermo,472,86,65,11,8,4,1,3,9,5,2,1.553650228,8,4,28,2,7,2,1,15,3,11,13,6,12.822514110207408,0.10574100966666666,12
23987.0,Rey Manaj,Inter Milan,35,6,5,0,0,0,0,0,1,0,0,0.03942251,0,0,1,0,0,0,0,0,0,0,6,2,18.320956422613072,0.019711255,2
24061.0,Aljaž Struna,Palermo,1870,926,694,414,53,148,0,8,7,2,1,0.731786747,9,4,72,12,46,12,15,77,52,55,45,8,19.973296724146543,0.0321740405,22
24235.0,Federico Dionisi,Frosinone,2492,613,393,148,97,64,3,25,86,26,9,5.98825597,86,38,156,16,48,16,17,163,4,35,62,89,16.046367444345474,0.08266149847069891,31
24683.0,Diego Ángel Capel Trinidad,Genoa,729,270,215,46,38,38,0,8,13,3,0,1.102928424,12,8,29,3,9,3,6,33,0,5,6,46,18.682850774250177,0.043366508745614034,19
24722.0,Emmanuel Agyemang-Badu,Udinese,2732,932,712,305,67,138,1,20,41,12,4,4.502747493999999,46,25,159,11,41,11,22,183,42,58,30,90,18.532833621697048,0.062231131014141405,33
25116.0,Edenílson Andrade dos Santos,Udinese,2263,1209,871,406,140,179,0,24,12,3,0,0.80415409,73,33,78,8,44,8,45,148,36,63,29,26,18.466947521470686,0.02420374873563218,29
25303.0,Gilberto Moraes Junior,"Fiorentina, Hellas Verona",475,275,207,77,31,32,0,4,7,3,0,0.3057178624999999,19,12,20,6,14,6,1,39,9,13,15,9,16.541643093286474,0.021929836799999988,10
25345.0,Anderson Hernanes de Carvalho Andrade,"Juventus, Inter Milan",937,668,589,176,29,114,1,10,33,14,1,1.0034538069999996,22,11,37,6,20,6,15,64,13,15,27,12,20.415880914909145,0.025336111133333315,15
25430.0,Felipe Melo de Carvalho,Inter Milan,1806,1104,952,365,33,258,1,8,23,5,1,1.6667870434999998,10,7,81,9,60,9,32,102,54,39,42,35,22.63922864175786,0.03135070692028984,23
25505.0,José Rodolfo Pires Ribeiro,Sampdoria,1436,637,489,155,73,76,1,15,11,2,0,0.454834645,45,26,44,1,24,1,30,75,31,37,16,28,16.998515488324138,0.01765321788235294,17
25931.0,Gonzalo Javier Rodríguez,Fiorentina,3227,2231,1931,861,33,621,0,7,11,5,4,1.1451988257,25,14,119,9,51,9,40,191,166,63,36,33,25.18567657428368,0.03271996644857143,35
25954.0,Enzo Maresca,Palermo,1011,671,546,314,37,139,0,9,11,3,1,0.752429086,13,6,40,10,27,10,7,78,16,28,13,28,21.375519412070723,0.03812573492857143,14
26192.0,Matías Ariel Fernández Fernández,Fiorentina,1097,686,592,130,69,71,3,20,24,4,1,0.7769733059999998,20,13,28,5,20,5,10,55,2,22,20,38,16.443747232225157,0.018839538266666657,20
