bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bb51b3df-9fa5-4015-b41a-b592c7e591d1,3620,,"[18.0, 35.0]",18237,91,,,,,,,,,,,,,,,,,,,,,,,3,Regular Play,Jérôme Boateng,5578.0,Left Center Back,209,Chelsea,33,['e3b00b9a-caca-4ca2-b3d7-15bf02f581b5'],7,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:07.382,Block,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d315b690-f069-4c87-9f1e-f2d8de788f33,3699,,"[19.0, 51.0]",18237,92,,,,,,,,,,,,,,,,,,,,,,,3,From Throw In,Frank Lampard,20330.0,Left Defensive Midfield,210,Bayern Munich,169,['cd891e20-523e-476f-9eb2-feeccdc814d3'],33,,,,,,,,,,,,,,,,,,Chelsea,33,00:02:33.942,Block,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,aee6e08a-cc36-474e-b7d8-b5fbb7296896,3756,,"[8.0, 11.0]",18237,96,,,,,,,,,,,,,,,,,,,,,,,3,From Free Kick,Florent Malouda,20290.0,Left Wing,216,Bayern Munich,169,['7b682845-2020-42c7-8742-8b380a250c2d'],50,,,,,,,,,,,,,,,,,,Chelsea,33,00:06:50.780,Block,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b16fd384-f362-4b11-8ea4-4aa84d118919,3760,,"[6.0, 33.0]",18237,96,,,,,,,,,,,,,,,,,,,,,,,3,From Free Kick,David Luiz Moreira Marinho,3956.0,Left Center Back,216,Bayern Munich,169,['3f05aefb-ca4c-472d-b13f-60a6e906c498'],53,,,,,,,,,,,,,,,,,,Chelsea,33,00:06:53.489,Block,
,,,True,,,,,,,,,,0.0,,,,,,,,,,,,,,,8d957a7b-3814-4a2a-901a-587b184c6ab5,3782,,"[43.0, 72.0]",18237,97,,,,,,,,,,,,,,,,,,,,,,,3,From Corner,Didier Yves Drogba Tébily,20352.0,Center Forward,217,Bayern Munich,169,['4d05579c-58e6-4c7f-83ec-0c23fe4fe989'],30,,,,,,,,,,,,,,,,,,Chelsea,33,00:07:30.518,Block,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0cb98cb6-2181-47e9-82d7-06d9b5f01835,3975,,"[20.0, 59.0]",18237,102,,,,,,,,,,,,,,,,,,,,,,,3,From Goal Kick,John Michael Nchekwube Obinna,5475.0,Right Defensive Midfield,221,Bayern Munich,169,['ad7d3b31-805c-4353-b778-a919a0c71769'],4,,,,,,,,,,,,,,,,,,Chelsea,33,00:12:04.698,Block,
,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,,,8e5166f2-fa6c-423a-a021-991f518e2afe,4113,,"[76.0, 27.0]",18237,105,,,,,,,,,,,,,,,,,,,,,,,3,Regular Play,Bastian Schweinsteiger,18414.0,Left Defensive Midfield,230,Chelsea,33,['dd95a6a0-deaf-460e-99fb-b523d5695502'],28,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:15:28.537,Block,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,03b9aae9-d6fd-45bc-8bb8-73a0ba4034ea,4206,,"[24.0, 30.0]",18237,106,,,,,,,,,,,,,,,,,,,,,,,4,Regular Play,Frank Lampard,20330.0,Left Defensive Midfield,234,Bayern Munich,169,['a8379176-502f-4693-8d9e-036790328c9d'],9,,,,,,,,,,,,,,,,,,Chelsea,33,00:01:09.227,Block,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d5f4982c-089c-49f1-8c8b-25b98d38c6b5,4238,,"[4.0, 74.0]",18237,106,,,,,,,,,,,,,,,,,,,,,,,4,Regular Play,José Bosingwa da Silva,20018.0,Right Back,236,Bayern Munich,169,['8e5fee67-102e-496c-98e2-1faafcd681df'],41,,,,,,,,,,,,,,,,,,Chelsea,33,00:01:41.232,Block,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,43a4f0b9-260e-42be-82d9-2659ef7c428c,4252,,"[11.0, 36.0]",18237,107,,,,,,,,,,,,,,,,,,,,,,,4,From Corner,José Bosingwa da Silva,20018.0,Right Back,237,Bayern Munich,169,['81b06e10-2875-4bd0-a471-8a64a5c71f36'],16,,,,,,,,,,,,,,,,,,Chelsea,33,00:02:16.090,Block,
