ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1f7b3d2c-ce6a-4de8-a0e9-452b23c4821a,1,,,,3750201,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7359b186-f046-45ae-862a-aab5fceea09e,2,,,,3750201,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 15036, 'name': 'Edwin van der Sar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 20171, 'name': 'Rio Ferdinand'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20172, 'name': 'Nemanja Vidić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4751, 'name': 'Michael Carrick'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 20173, 'name': 'Ji-Sung Park'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 38411, 'name': 'Anderson Luis de Abreu Oliveira'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20175, 'name': 'Ryan Giggs'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1372c103-4305-4c04-80f6-1ac9bf477af3,3,,,,3750201,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['05223333-499a-417b-9fa0-b00af71b00b9'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,05223333-499a-417b-9fa0-b00af71b00b9,4,,,,3750201,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['1372c103-4305-4c04-80f6-1ac9bf477af3'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fe632a79-b123-4dae-993d-835509d503a5,1657,,,,3750201,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Manchester United,39,['6aaef959-53ce-4772-ab37-72500cdd1198'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6aaef959-53ce-4772-ab37-72500cdd1198,1658,,,,3750201,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Manchester United,39,['fe632a79-b123-4dae-993d-835509d503a5'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.169491,,,,,,,,,,,,6dd66800-5339-44c3-b3dd-c6d4a4500eb1,5,,,"[61.0, 40.1]",3750201,0,,,,1.8086323,,Right Foot,,"[60.2, 43.4]",,Ground Pass,,3.3955853,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,['9f9b6191-3d4e-4622-ad3c-16def545de74'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.515,Pass,
,,,,,,,,,,,,,,,1.111525,,,,,,,,,,,,519a021c-3966-4856-9659-a290c4279926,8,,,"[61.3, 41.1]",3750201,0,,,,-3.118341,,Right Foot,,"[48.4, 40.8]",,Ground Pass,,12.903488,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['ad4c7ad9-1e2a-4a33-9461-410247ac7f30'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.724,Pass,
,,,,,,,,,,,,,,,1.566512,,,,,,,,,,,,705fbd42-47f8-4bd8-9ba1-2ef95eda4ca8,11,,,"[47.1, 40.8]",3750201,0,,,,2.680786,,Right Foot,,"[33.0, 47.8]",,Ground Pass,,15.741982,,,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['58358499-0172-47f1-8a8d-82591ba0385d'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.051,Pass,
,,,,,,,,,,,,,,,1.806347,,,,,,,,,,,,bce0d7a3-987e-45d4-b3ee-0de597ec3bdf,14,,,"[33.0, 47.8]",3750201,0,,,,-1.8850282,,Right Foot,,"[26.5, 27.8]",,Ground Pass,,21.029741,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Gnégnéri Yaya Touré,3087.0,Right Back,2,Barcelona,217,['c5678685-16a3-410e-b2b6-bf2892b7ecee'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.657,Pass,
,,,,,,,,,,,,,,,1.397799,,,,,,,,,,,,9c54c35e-f31b-4c68-a47a-e78adf3db904,17,,,"[26.5, 27.8]",3750201,0,,,,2.7583084,,Right Foot,,"[7.9, 35.3]",,Ground Pass,,20.055174,,,,,Víctor Valdés Arribas,20176.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Left Center Back,2,Barcelona,217,['1210df5e-aac7-40fe-9239-fe841f4cc569'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.504,Pass,
,,,,,,,,,,,,,,,1.932253,,,,,,,,,,,,773b6979-7020-438c-8553-9fd5525bf7a7,20,,,"[7.9, 35.3]",3750201,0,,,,-1.1439492,,Right Foot,,"[23.5, 1.0]",,Ground Pass,,37.680897,,,Out,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Víctor Valdés Arribas,20176.0,Goalkeeper,2,Barcelona,217,['7c9f7a74-a4a5-4f8f-8fb0-7150847efe8c'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.982,Pass,
,,,,,,,,,,,,,,,1.749523,,,,,,,,,,,,b94e806e-84a2-4db6-b9a7-56d2f69c7264,23,,,"[97.4, 80.0]",3750201,0,,,,-0.7081528,,,,"[114.8, 65.1]",,Low Pass,,22.90786,,,,,Ryan Giggs,20175.0,,,,,Throw-in,1,From Throw In,John O''Shea,16890.0,Right Back,3,Manchester United,39,['99a05113-2e00-4f07-a708-c33d6d94f97b'],18,,,,,,,,,,,,,,,,,Manchester United,39,00:00:18.416,Pass,
,,,,,,,,,,,,,,,2.515819,,,,,,,,,,,,400f5ea9-e3af-4ce2-b13a-03a200ace966,26,,,"[115.4, 65.4]",3750201,0,,,,-2.6445384,,Left Foot,,"[100.1, 57.1]",,Low Pass,,17.40632,,,Incomplete,,,,,,,,,1,From Throw In,Ryan Giggs,20175.0,Left Midfield,3,Manchester United,39,"['6bd55fea-38d9-437f-b7c0-35989e4a84cb', '99bc5b98-cb1d-4847-8ae3-7c8706183c91']",20,,,,,,,,,,,,,,,,,Manchester United,39,00:00:20.166,Pass,True
,,,,,,,,,,,,,,,4.105172,,,,,,,,,,,,6bd55fea-38d9-437f-b7c0-35989e4a84cb,27,,,"[20.0, 23.0]",3750201,0,,,,-0.25250047,,Right Foot,,"[76.2, 8.5]",,High Pass,,58.040417,,,Incomplete,,,,,,,,Recovery,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Manchester United,39,"['400f5ea9-e3af-4ce2-b13a-03a200ace966', '4490092c-0180-4ec1-a76f-623e5c30a7c9']",22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.681,Pass,
