ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0b3e694c-4aa9-445c-ad37-ea4d7efe55a2,1,,,,3775577,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 34360, 'name': 'Alexandra MacIver'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 20}, {'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 30}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 4646, 'name': 'Claire Emslie'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,94e6beb3-564c-443e-94af-00c2b4dc5961,2,,,,3775577,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b9536488-9c23-4f1e-9122-4083befad701,3,,,,3775577,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['81c7f8f9-7a1d-4795-8962-baf7f7ebbd12'],0,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,81c7f8f9-7a1d-4795-8962-baf7f7ebbd12,4,,,,3775577,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['b9536488-9c23-4f1e-9122-4083befad701'],0,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,910d9a32-6ddb-4bbb-8577-6e694f755747,2043,,,,3775577,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,80,Everton LFC,967,['0d3e5668-1184-4dd1-a4a6-a5d6621bb418'],0,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0d3e5668-1184-4dd1-a4a6-a5d6621bb418,2044,,,,3775577,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,80,Everton LFC,967,['910d9a32-6ddb-4bbb-8577-6e694f755747'],0,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.799367,,,,,,,,,,,,,53b69ab3-f5a9-47d4-8a93-b15d720375b8,5,,,"[61.0, 40.1]",3775577,0,,,,1.8597717,,Right Foot,,,"[59.9, 43.8]",,Ground Pass,,3.8600519,,,,Caitlin Jade Foord,11338.0,,,,,Kick Off,1,From Kick Off,Vivianne Miedema,15623.0,Right Center Midfield,2,Arsenal WFC,968,['64bb40c0-ef25-4b83-8e28-f94fa578eb5d'],0,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.186,Pass,
,,,,,,,,,,,,,,,,1.59545,,,,,,,,,,,,,40b65267-8f5f-4c5a-87bd-515d08f644ee,8,,,"[59.9, 44.3]",3775577,0,,,,-2.6048272,,Right Foot,,,"[47.8, 37.1]",,Ground Pass,,14.080128,,,,Kim Little,15616.0,,,,,,1,From Kick Off,Caitlin Jade Foord,11338.0,Center Forward,2,Arsenal WFC,968,['688f8907-89f2-4112-9c95-99208884641c'],0,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.993,Pass,
,,,,,,,,,,,,,,,,1.809023,,,,,,,,,,,,,cda1299e-c1bd-4d94-8fad-c20412a3b9df,11,,,"[47.7, 34.8]",3775577,0,,,,-2.782158,,Right Foot,,,"[31.2, 28.6]",,Ground Pass,,17.6264,,,,Lia Wälti,10405.0,,,,,,1,From Kick Off,Kim Little,15616.0,Center Defensive Midfield,2,Arsenal WFC,968,['b8c4ded5-3931-4260-9418-db8b63477037'],3,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:03.397,Pass,
,,,,,,,,,,,,,,,,1.349338,,,,,,,,,,,,,89039fff-c0d2-44cb-b145-2683c58d7eda,14,,,"[31.3, 27.6]",3775577,0,,,,2.070143,,Left Foot,,,"[24.7, 39.7]",,Ground Pass,,13.782961,,,,Manuela Zinsberger,10237.0,,,,,,1,From Kick Off,Lia Wälti,10405.0,Left Center Back,2,Arsenal WFC,968,['311e1482-de95-41db-b3be-f9b0cea655d5'],6,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:06.499,Pass,
