50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b6b7c637-bd94-4fe9-9ec0-2a37e302f7fc,1,,,,2275132,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 17275, 'name': 'Hannah Jayne Blundell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 4638, 'name': 'Drew Spence'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 17273, 'name': 'Adelina Engman'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 15550, 'name': 'Bethany England'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,08503ba7-ab5a-46a5-8b8d-da5ca35b573e,2,,,,2275132,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 31552, 'name': 'Hannah Godfrey'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 4858, 'name': 'Jenna Schillaci'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 11}, {'player': {'id': 15572, 'name': 'Siri Worm'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 15721, 'name': 'Gemma Suzanne Davison'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 4852, 'name': 'Coral-Jade Haines'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 15564, 'name': 'Lucy Quinn'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 31551, 'name': 'Kit Graham'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Tottenham Hotspur Women,749,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3b2f7dda-50da-410e-854b-757cc3e6c889,3,,,,2275132,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['7fe50c0c-03e7-4554-a58d-4798bbbfd003'],0,,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7fe50c0c-03e7-4554-a58d-4798bbbfd003,4,,,,2275132,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['3b2f7dda-50da-410e-854b-757cc3e6c889'],0,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,346f7737-d4de-4e71-8017-ba4b43e48120,1685,,,,2275132,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Tottenham Hotspur Women,749,['af610a7a-a109-4edf-b2e0-15482eab4ffd'],0,,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,af610a7a-a109-4edf-b2e0-15482eab4ffd,1686,,,,2275132,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Tottenham Hotspur Women,749,['346f7737-d4de-4e71-8017-ba4b43e48120'],0,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.879316,,,,,,,,,,,,,,f363cbec-c883-4ee5-8f2c-268873321464,5,,,"[61.0, 40.1]",2275132,0,,,,,2.8501358,,Left Foot,,,"[53.0, 42.5]",Ground Pass,,8.352245,,,Sophie Louise Ingle,15549.0,,,,,,Kick Off,1,From Kick Off,Bethany England,15550.0,Center Forward,2,Chelsea FCW,971,['7eae53ae-38d5-4d29-9606-7f184e0832f9'],0,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.189,Pass,
,,,,,,,,,,,,,,,,1.363901,,,,,,,,,,,,,,8929922b-72bf-4e0b-9883-8169fa125189,8,,,"[49.2, 46.2]",2275132,0,,,,,2.5658343,,Left Foot,,,"[37.8, 53.6]",Ground Pass,,13.591173,,,Millie Bright,4642.0,,,,,,,1,From Kick Off,Sophie Louise Ingle,15549.0,Center Defensive Midfield,2,Chelsea FCW,971,['39d14934-64cf-45a7-8734-d196be78b20a'],1,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:01.876,Pass,
,,,,,,,,,,,,,,,,2.247563,,,,,,,,,,,,,,6d7f487c-2b75-43cb-a77f-0fef58246c6d,11,,,"[43.2, 56.4]",2275132,0,,,,,0.299198,,Right Foot,,,"[83.4, 68.8]",High Pass,,42.068993,Incomplete,,Adelina Engman,17273.0,,,,,,,1,From Kick Off,Millie Bright,4642.0,Right Center Back,2,Chelsea FCW,971,"['78cde1e6-8b0b-4ad1-9d90-73357af5bff8', 'eec14b28-9847-426a-9b19-b54ec4fcb934']",4,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:04.761,Pass,
,,,,,,,,,,,,,,,,0.844824,,,,,,,,,,,,,,cb6b9676-ee67-4951-9063-42a7d92838c0,14,,,"[47.3, 80.0]",2275132,0,,,,,-1.7818897,,,,,"[44.9, 68.8]",Low Pass,,11.454257,,,Sophie Louise Ingle,15549.0,,,,,,Throw-in,1,From Throw In,Maren Nævdal Mjelde,10395.0,Right Back,3,Chelsea FCW,971,['f5653933-390e-47b5-9636-0e5187135d9a'],20,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:20.350,Pass,
