50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.266542,,,,,,,,,,,,,,,6815a110-d338-4865-a74a-f37e30a34c9c,17,,,"[76.9, 74.9]",3775570,0,,,,,-0.13927926,,Head,,,,"[87.6, 73.4]",,High Pass,,10.804628,,,,Simone Magill,15559.0,,,,,,1,From Throw In,Ingrid Moe Wold,10382.0,Right Back,3,Everton LFC,967,['4ccb07a9-d4fc-4bfb-88a9-a3a9a296348d'],22,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:22.380,Pass,
,,,,,,,,,,,,,,,,0.097426,,,,,,,,,,,,,,,8550089c-fe4c-448b-a42e-5b8eb560838e,24,,,"[6.2, 1.9]",3775570,0,,,,,-0.35563588,,Right Foot,,,,"[9.7, 0.6]",,Low Pass,,3.733631,,,Out,,,,,,,,1,From Throw In,Emma Wilhelmina Koivisto,32403.0,Left Back,3,Everton LFC,967,,30,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:30.269,Pass,
,,,,,,,,,,,,,,,,0.869147,,,,,,,,,,,,,,,cedd885e-82b0-49fe-9db2-fd17169f829a,25,,,"[114.1, 80.0]",3775570,0,,,,,-1.237552,,,,,,"[116.8, 72.2]",,Low Pass,,8.25409,,,,Simone Magill,15559.0,,,,,Throw-in,1,From Throw In,Ingrid Moe Wold,10382.0,Right Back,4,Everton LFC,967,['32b9b555-0c50-4496-901f-4e7f3f1d824e'],42,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:42.738,Pass,
,,,,,,,,,,,,,,,,1.375084,,,,,,,,,,,,,,,f777292e-08e7-473d-a790-06fdd143e894,28,,,"[115.1, 73.2]",3775570,0,,,,,2.158799,,Right Foot,,,,"[112.9, 76.5]",,Ground Pass,,3.9661064,,,,Ingrid Moe Wold,10382.0,,,,,,1,From Throw In,Simone Magill,15559.0,Center Forward,4,Everton LFC,967,['f2fd147e-964c-45dd-af6d-a2f126c57fef'],43,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:43.710,Pass,
,,,,,,,,,,,,,,,,0.79841,,,,,,,,,,,,,,,800415e9-ad6c-48c0-9d82-774929b669b1,30,,,"[113.7, 76.6]",3775570,0,,,,,-1.5402714,,Right Foot,,,,"[114.1, 63.5]",,Ground Pass,,13.106106,,,Incomplete,Simone Magill,15559.0,,,,,,1,From Throw In,Ingrid Moe Wold,10382.0,Right Back,4,Everton LFC,967,"['53ee9d4a-1a35-4fad-94fd-0be9c55cc268', 'efb7a4a5-eea4-4fc2-b24d-d08958cc2429']",45,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:45.085,Pass,
,,,,,,,,,,,,,,,,2.05418,,,,,,,,,,,,,,,97d88fd4-ede2-40e4-8ee2-e56ecc65b466,35,,,"[12.3, 17.5]",3775570,0,,,,,0.317829,,Left Foot,,,,"[50.6, 30.1]",,High Pass,,40.31935,,,Incomplete,,,,,,,,1,From Throw In,Megan Connolly,23413.0,Left Defensive Midfield,4,Everton LFC,967,"['a4e472d3-77ab-4c5b-bb7b-4645c4caed4c', 'd61614ee-e3c9-484d-8d5e-21ee63519e6d']",46,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:46.936,Pass,True
,,,,,,,,,,,,,,,,0.274755,,,,,,,,,,,,,,,69d5176f-fcd5-4987-9b87-92d3ee1d016e,39,,,"[68.5, 50.3]",3775570,0,,,,,-1.2610934,,Right Foot,,,,"[69.3, 47.8]",,Low Pass,,2.624881,,,Incomplete,Megan Finnigan,18254.0,,,,,,1,From Throw In,Rikke Læntver Sevecke,15789.0,Left Center Back,4,Everton LFC,967,"['afeebafd-4a6c-41c3-805d-b9fa7b363718', 'c42a92f8-e792-4e4b-8978-7c33eeec49b4', 'd0116929-58a3-4f9f-b509-78d65b42c879']",50,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:50.222,Pass,True
,,,,,,,,,,,,,,,,1.554138,,,,,,,,,,,,,,,7058a676-25a7-4343-9928-a158da67e0d8,45,,,"[60.8, 29.1]",3775570,0,,,,,-2.9398303,,Right Foot,,,,"[52.0, 27.3]",,Ground Pass,,8.982204,,,Incomplete,Poppy Pattinson,17274.0,,,,,,1,From Throw In,Rikke Læntver Sevecke,15789.0,Left Center Back,4,Everton LFC,967,"['81c61ff6-f91e-45c2-95bf-c1789cf78bf0', 'd41926df-a8cc-418b-b4b5-8ae83947746d', 'ecab8354-3476-4a1a-bd80-21d77d8b84d6']",54,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:54.241,Pass,True
,,,,,,,,,,,,,,,,1.375723,,,,,,,,,,,,,,,b0eea2fc-5606-41f2-b7fe-91bf9f72c162,50,,,"[88.9, 76.5]",3775570,0,,,,,-1.0126728,,Right Foot,,,,"[100.7, 57.6]",,Ground Pass,,22.281158,,,Incomplete,Aileen Whelan,16374.0,,,,,,1,From Throw In,Ellie Brazil,16393.0,Right Midfield,4,Everton LFC,967,"['07e838ab-4aae-4fc6-87d8-02bf9cc9543f', '15de497e-1110-4cb1-b3d8-d5850b68a70e', '64244b17-ce49-4906-aecb-cbb219d8d04f']",58,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:58.987,Pass,True
,,,,,,,,,,,,,,,,2.089696,,,,,,,,,,,,,,,040d9f43-97f6-4a50-bae1-92cc19db9aca,55,,,"[14.8, 20.7]",3775570,1,,,,,-0.99227214,,Left Foot,,,,"[24.4, 6.0]",,Ground Pass,,17.55705,,,,Poppy Pattinson,17274.0,,,,,,1,From Throw In,Rikke Læntver Sevecke,15789.0,Left Center Back,4,Everton LFC,967,"['4aebf3d6-b7ef-456f-91a8-4b895c32b8c8', '9cac3e13-5174-47a4-a6ad-5bc4b36e5cb4']",1,,,,,,,,,,,,,,,,,Everton LFC,967,00:01:01.088,Pass,True
