ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3810a79b-6a22-432a-b1b4-f8364a2b3287,1,,,3775597,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 49697, 'name': 'Carlotte Wubben-Moy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,51de5a01-a921-41d5-abd8-3d7060f27616,2,,,3775597,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 32618, 'name': 'Martha Harris'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 37}, {'player': {'id': 31531, 'name': 'Lauren James'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Manchester United,1475,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,80f806fe-7b41-4952-bc0d-0b51c60a7d46,3,,,3775597,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['ce086937-e0d9-40f9-b5ae-1d3e95d36514'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ce086937-e0d9-40f9-b5ae-1d3e95d36514,4,,,3775597,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['80f806fe-7b41-4952-bc0d-0b51c60a7d46'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e65414d5-732d-4511-aa77-7ab7d825f98d,1627,,,3775597,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Manchester United,1475,['29791bec-94ad-408f-b866-535e341e073b'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,29791bec-94ad-408f-b866-535e341e073b,1628,,,3775597,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Manchester United,1475,['e65414d5-732d-4511-aa77-7ab7d825f98d'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.579903,,,,,,,,,,,,,d636cd6b-48a7-425d-ac60-a036a7c0b06a,5,,"[61.0, 40.1]",3775597,0,,,,,3.0051901,,Right Foot,,,,"[55.9, 40.8]",,Ground Pass,,5.147815,,,,Katie Zelem,31540.0,,,,,Kick Off,1,From Kick Off,Lucy Staniforth,15562.0,Center Attacking Midfield,2,Manchester United,1475,['c9750c5a-5c32-4268-bf3f-d2a5d6ca951e'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.329,Pass,
,,,,,,,,,,,,,,,,,2.26562,,,,,,,,,,,,,c0370b70-4b76-4ab2-ba11-673ce9441ca4,8,,"[53.5, 40.8]",3775597,0,,,,,2.1217217,,Right Foot,,,,"[34.7, 71.4]",,Ground Pass,,35.913784,,,,Martha Harris,32618.0,,,,,,1,From Kick Off,Katie Zelem,31540.0,Right Defensive Midfield,2,Manchester United,1475,['d10f811b-02ec-4913-827e-4a369261a340'],1,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:01.620,Pass,
,,,,,,,,,,,,,,,,,0.963948,,,,,,,,,,,,,bbf0eff6-cbf6-401a-99d8-6e100ec7f6d0,11,,"[48.4, 73.1]",3775597,0,,,,,0.3495212,,Right Foot,,,,"[59.1, 77.0]",,Ground Pass,,11.388591,,,,Ella Toone,31534.0,,,,,,1,From Kick Off,Martha Harris,32618.0,Right Back,2,Manchester United,1475,['72a7fe49-2d92-48e3-a7c8-21e70c95eecd'],4,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:04.767,Pass,
,,,,,,,,,,,,,,,,,1.624541,,,,,,,,,,,,,4cddfe72-020d-4106-9655-a726c39ff137,15,,"[58.2, 77.4]",3775597,0,,,,,-2.8238342,,Right Foot,,,,"[28.1, 67.5]",,Ground Pass,,31.686275,,,,Amy Turner,31533.0,,,,,,1,From Kick Off,Ella Toone,31534.0,Right Wing,2,Manchester United,1475,"['27b61663-aa1d-4359-b486-8bd11d78dac0', '9dad28da-fed6-4988-bdc3-41adb92d1acb']",6,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:06.834,Pass,True
