50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8bf2e469-dc29-457c-ac64-fc3f7b0cef90,1,,,,3775547,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 41812, 'name': 'Ruby Mace'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 32169, 'name': 'Jamie-Lee Napier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 25}, {'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 33090, 'name': 'Emily Murphy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 35}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,30dd58c0-4eae-4dc5-9ba5-5e0171e08125,2,,,,3775547,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10252, 'name': 'Alex Greenwood'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 4649, 'name': 'Esme Beth Morgan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9077925c-8691-44ca-a648-2070dbc13084,3,,,,3775547,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['45b94781-2fee-4574-8955-ff240b01fd7e'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,45b94781-2fee-4574-8955-ff240b01fd7e,4,,,,3775547,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['9077925c-8691-44ca-a648-2070dbc13084'],0,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6bbb9bc3-f43d-451d-be8a-f8f9deb5005c,1484,,,,3775547,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,79,Manchester City WFC,746,['4a91cebf-485f-4ef7-aa53-b35d7d171c07'],0,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4a91cebf-485f-4ef7-aa53-b35d7d171c07,1485,,,,3775547,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,79,Manchester City WFC,746,['6bbb9bc3-f43d-451d-be8a-f8f9deb5005c'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.130165,,,,,,,,,,,31a3143a-e427-4536-86f5-ea3be140274d,5,,,"[60.0, 40.0]",3775547,0,,,,-2.469014,,Right Foot,,,,"[48.7, 31.0]",,Ground Pass,,14.446107,,,Ruesha Littlejohn,35406.0,,,,,,Kick Off,1,From Kick Off,Emily Murphy,33090.0,Center Forward,2,Birmingham City WFC,969,['cf9b9245-9b2f-4bee-bacc-8281f2fdd094'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.924,Pass,
,,,,,,,,,,,,,,,,,,,0.092803,,,,,,,,,,,1e96a779-8c27-4500-87fc-e1c63d58c330,9,,,"[48.7, 32.0]",3775547,0,,,,1.1186424,,Right Foot,,,,"[50.4, 35.5]",,Ground Pass,,3.8910153,,Incomplete,,,,,,,,,1,From Kick Off,Ruesha Littlejohn,35406.0,Left Defensive Midfield,2,Birmingham City WFC,969,['c44cef51-0f66-4d13-ad63-3a296f6ddda3'],3,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:03.121,Pass,
,,,,,,,,,,,,,,,,,,,2.238647,,,,,,,,,,,ec4bd4e1-9acb-400e-8a24-e2437c3a9c3e,11,,,"[35.8, 46.2]",3775547,0,,,,-1.4732805,,Right Foot,,,,"[37.6, 27.8]",,Low Pass,,18.487833,,,Ruby Mace,41812.0,,,,,,Recovery,1,From Kick Off,Georgia Brougham,15574.0,Right Center Back,2,Birmingham City WFC,969,['dec1e4e0-dacd-4e90-b415-8f546dc06183'],4,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:04.814,Pass,
,,,,,,,,,,,,,,,,,,,1.816724,,,,,,,,,,,c9d70cff-6315-4db4-979b-c0939340da64,14,,,"[37.6, 27.8]",3775547,0,,,,-1.6771892,,Right Foot,,,,"[35.4, 7.2]",,Low Pass,,20.717142,,,Jamie-Lee Napier,32169.0,,,,,,,1,From Kick Off,Ruby Mace,41812.0,Center Back,2,Birmingham City WFC,969,['39f680a9-9529-4e5d-8639-91abad6bb29d'],7,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:07.318,Pass,
,,,,,,,,,,,,,,,,,,,1.357385,,,,,,,,,,,8e832929-8ef9-489f-9d44-fcb452abdd42,18,,,"[35.4, 5.1]",3775547,0,,,,2.1910458,,Left Foot,,,,"[25.4, 19.1]",,Ground Pass,,17.20465,,,Ruby Mace,41812.0,,,,,,,1,From Kick Off,Jamie-Lee Napier,32169.0,Left Center Back,2,Birmingham City WFC,969,"['920b85a2-aa7e-4799-afeb-94e087e4756c', 'caa1f131-8a1c-4929-bc56-e4ba924bb08e']",9,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:09.146,Pass,True
,,,,,,,,,,,,,,,,,,,2.392589,,,,,,,,,,,62278118-398c-492a-9e76-8a65d2fd6860,21,,,"[25.4, 19.1]",3775547,0,,,,2.5846097,,Right Foot,,,,"[8.7, 29.5]",,Ground Pass,,19.673586,,,Hannah Hampton,22032.0,,,,,,,1,From Kick Off,Ruby Mace,41812.0,Center Back,2,Birmingham City WFC,969,['c59ac4f5-640b-4aab-8f52-0ca67d11a842'],10,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:10.624,Pass,
,,,,,,,,,,,,,,,,,,,2.900509,,,,,,,,,,,c4ddea98-8329-40e9-a993-f7dbbaa376bf,24,,,"[7.0, 32.0]",3775547,0,,,,0.08556058,,Left Foot,,,,"[58.3, 36.4]",,High Pass,,51.48835,,Incomplete,,,,,,,,,1,From Kick Off,Hannah Hampton,22032.0,Goalkeeper,2,Birmingham City WFC,969,['1b9ff691-22de-47f9-97e9-965314817f62'],13,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:13.193,Pass,
,,,,,,,,,,,,,,,,,,,1.96962,,,,,,,,,,,1b9ff691-22de-47f9-97e9-965314817f62,25,,,"[61.8, 43.7]",3775547,0,,,,-0.7306227,,Right Foot,,,,"[82.0, 25.6]",,High Pass,,27.12287,,,Lauren Hemp,15555.0,,,,,,Recovery,1,Regular Play,Stephanie Houghton,10185.0,Right Center Back,3,Manchester City WFC,746,"['c4ddea98-8329-40e9-a993-f7dbbaa376bf', 'eeee7fb7-4381-48e8-9c0a-5caaf889508a']",16,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:16.094,Pass,
,,,,,,,,,,,,,,,,,,,1.946788,,,,,,,,,,,14bb67c6-b60d-420a-aaab-2c25edcbf515,29,,,"[76.4, 23.5]",3775547,0,,,,-2.3104746,,Left Foot,,,,"[61.8, 7.5]",,Ground Pass,,21.6601,,,Esme Beth Morgan,4649.0,,,,,,,1,Regular Play,Lauren Hemp,15555.0,Left Wing,3,Manchester City WFC,746,"['9c4e9bb0-97ef-4a74-bc2a-ebae3876996f', 'ec263d55-05a0-453f-b5f6-bdee21e5c49f']",20,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:20.086,Pass,True
,,,,,,,,,,,,,,,,,,,2.439208,,,,,,,,,,,020ca9e7-081e-4660-8c3c-dc7dd7f69a6a,32,,,"[62.3, 7.7]",3775547,0,,,,1.7732254,,Right Foot,,,,"[52.9, 53.5]",,Low Pass,,46.75468,,,Stephanie Houghton,10185.0,,,True,,,,1,Regular Play,Esme Beth Morgan,4649.0,Left Back,3,Manchester City WFC,746,['a6ff3b2f-e649-490a-9e0e-a5c68189c024'],22,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:22.986,Pass,
,,,,,,,,,,,,,,,,,,,0.804734,,,,,,,,,,,0cbcab45-44d0-4dd1-be04-24f2338a40ef,35,,,"[63.3, 55.6]",3775547,0,,,,-0.9303209,,Right Foot,,,,"[71.2, 45.0]",,Ground Pass,,13.22006,,,Samantha June Mewis,5087.0,,,,,,,1,Regular Play,Stephanie Houghton,10185.0,Right Center Back,3,Manchester City WFC,746,['d9c83269-e47d-4b69-ac2c-4de580147de8'],29,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:29.920,Pass,
