50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ff0c5c76-44de-4a49-abdd-cc0f1710075e,1,,,19752,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool WFC,966,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 44}, {'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 19779, 'name': 'Rhiannon Roberts'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 15613, 'name': 'Rinsola Babajide'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Liverpool WFC,966,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bb2eb965-2811-47ec-ada2-3900f27fbe84,2,,,19752,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool WFC,966,,0,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4649, 'name': 'Esme Beth Morgan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 10099, 'name': 'Tessa Wullaert'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 4646, 'name': 'Claire Emslie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 4654, 'name': 'Nikita Parris'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,175fb574-8230-4993-963f-044631200783,3,,,19752,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool WFC,966,['d47979eb-ac00-49c7-a780-1187da5f777d'],0,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d47979eb-ac00-49c7-a780-1187da5f777d,4,,,19752,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool WFC,966,['175fb574-8230-4993-963f-044631200783'],0,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ddb89cd7-298b-4c1f-8e3f-9027bbac4ddf,1973,,,19752,45,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Manchester City WFC,746,['229b0960-73b8-4589-972b-fdab5b0fd0e8'],0,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,229b0960-73b8-4589-972b-fdab5b0fd0e8,1974,,,19752,45,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Manchester City WFC,746,['ddb89cd7-298b-4c1f-8e3f-9027bbac4ddf'],0,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.000,Half Start,
,,,,,,,,,,,,,1.266564,,,,,,,,,,,,,,,4b24aae4-3d66-4ae8-8c35-f42f962a8e3e,5,,"[60.0, 40.0]",19752,0,,,-2.9996955,,,Right Foot,,,,"[46.0, 38.0]",,Ground Pass,14.142136,,Rhiannon Roberts,19779.0,,,,,Kick Off,1,From Kick Off,Christie Murray,15628.0,Right Center Midfield,2,Liverpool WFC,966,['00c1851f-1074-446f-b2ee-5400d6200d9c'],0,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.524,Pass,
,,,,,,,,,,,,,5.919986,,,,,,,,,,,,,,,424813b5-7331-4ff8-8ad1-28a9ce057b66,9,,"[49.0, 33.0]",19752,0,,,0.7338973,,,Right Foot,,,,"[100.0, 79.0]",,High Pass,68.68042,Out,,,,True,,,,1,From Kick Off,Rhiannon Roberts,19779.0,Center Defensive Midfield,2,Liverpool WFC,966,['d9724569-17e0-4c23-ac5a-a68340880359'],2,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:02.268,Pass,True
,,,,,,,,,,,,,1.945686,,,,,,,,,,,,,,,6818c6d8-832d-41d1-b537-4cd935c2ccf6,10,,"[23.0, 1.0]",19752,0,,,2.4592762,,,,,,,"[7.0, 14.0]",,Low Pass,20.615528,,Jennifer Patricia Beattie,17524.0,,,,,Throw-in,1,From Throw In,Esme Beth Morgan,4649.0,Left Back,3,Manchester City WFC,746,['123d41c6-7816-4b43-9409-46db6832fc0d'],11,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:11.457,Pass,
,,,,,,,,,,,,,1.530516,,,,,,,,,,,,,,,459193ee-a2da-4dd3-bb64-3006bb273d82,13,,"[6.0, 15.0]",19752,0,,,1.5308176,,,Right Foot,,,,"[7.0, 40.0]",,Ground Pass,25.019993,,Ellie Roebuck,4637.0,,,,,,1,From Throw In,Jennifer Patricia Beattie,17524.0,Left Center Back,3,Manchester City WFC,746,['f0cce53a-74f4-4d15-abb9-47ff0763ae64'],14,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:14.855,Pass,
