50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,33342ea8-c525-4537-9d45-1f01fe2aff82,1,,,,3775630,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 41812, 'name': 'Ruby Mace'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 2}, {'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 47520, 'name': 'Mollie Green'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 46717, 'name': 'Chloe Mccarron'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 34375, 'name': 'Emma Rose Kelly'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 33090, 'name': 'Emily Murphy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 35}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a9208523-e366-43c3-afcb-2e8fe8e55abf,2,,,,3775630,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 49697, 'name': 'Carlotte Wubben-Moy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3c061fec-5d1c-471b-845c-ee3166b44384,3,,,,3775630,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['5282c9c8-a950-492a-a508-c2e7379b0859'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5282c9c8-a950-492a-a508-c2e7379b0859,4,,,,3775630,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['3c061fec-5d1c-471b-845c-ee3166b44384'],0,,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e54f1c77-5d5c-4cdc-a01f-f1e1cfc14233,1730,,,,3775630,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,Birmingham City WFC,969,['adca8b32-3ee2-470a-b1a0-b0fc1ca67cb2'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,adca8b32-3ee2-470a-b1a0-b0fc1ca67cb2,1731,,,,3775630,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,Birmingham City WFC,969,['e54f1c77-5d5c-4cdc-a01f-f1e1cfc14233'],0,,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.671166,,,,,,,,,,,,c0ed5c9e-bebd-409c-abc2-f2f2bae90039,5,,,"[61.0, 40.1]",3775630,0,,,,1.6614562,,Right Foot,,,,"[60.8, 42.3]",,Ground Pass,,2.209072,,,,Caitlin Jade Foord,11338.0,,,,,Kick Off,1,From Kick Off,Vivianne Miedema,15623.0,Center Attacking Midfield,2,Arsenal WFC,968,['843f8360-c70f-49b3-b857-1678156efd87'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.484,Pass,
,,,,,,,,,,,,,,,,,,,1.068957,,,,,,,,,,,,6806d891-66ab-4c2f-9ea1-04b8bed4b276,8,,,"[60.0, 42.5]",3775630,0,,,,-3.0150006,,Right Foot,,,,"[49.0, 41.1]",,Ground Pass,,11.088733,,,,Lia Wälti,10405.0,,,,,,1,From Kick Off,Caitlin Jade Foord,11338.0,Center Forward,2,Arsenal WFC,968,['d605dd69-3a97-482f-a3ac-7576ce89fa60'],1,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:01.315,Pass,
,,,,,,,,,,,,,,,,,,,2.445368,,,,,,,,,,,,c7517882-1763-43bd-a431-41522aef660b,11,,,"[43.5, 38.9]",3775630,0,,,,-1.5604874,,Right Foot,,,,"[43.7, 19.5]",,Ground Pass,,19.401031,,,,Katie McCabe,15620.0,,,,,,1,From Kick Off,Lia Wälti,10405.0,Left Center Midfield,2,Arsenal WFC,968,['09ec700e-4b8d-4c02-a0e1-cb90ef26f1d8'],3,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:03.320,Pass,
,,,,,,,,,,,,,,,,,,,0.947877,,,,,,,,,,,,6368eee3-2d08-44fd-9e5d-39781a98be3a,14,,,"[39.7, 12.4]",3775630,0,,True,,-1.6805233,,Left Foot,,,,"[38.4, 0.6]",,High Pass,,11.871394,,Injury Clearance,,,,,,,,,1,From Kick Off,Katie McCabe,15620.0,Left Back,2,Arsenal WFC,968,,11,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:11.447,Pass,
