ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,cff6a8aa-62aa-4eec-825a-c6b7f9018f7e,1,,,,2275106,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 10099, 'name': 'Tessa Wullaert'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 25}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,80939ca1-f46b-4b2d-acc9-2f5529fceaea,2,,,,2275106,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15578, 'name': 'Faye Bryson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 35407, 'name': 'Ga-Eul Jeon'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 21059, 'name': 'Katie Robinson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4f5d0a73-3638-41b7-88fe-7c612d5dc119,3,,,,2275106,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['688dea76-c71f-4512-8886-92004ca96d23'],0,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,688dea76-c71f-4512-8886-92004ca96d23,4,,,,2275106,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['4f5d0a73-3638-41b7-88fe-7c612d5dc119'],0,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,36cea1aa-d3e5-49f7-b03b-4653d842682b,1971,,,,2275106,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Manchester City WFC,746,['bf5b755a-0d2c-409c-9798-41f7f28696de'],0,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bf5b755a-0d2c-409c-9798-41f7f28696de,1972,,,,2275106,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Manchester City WFC,746,['36cea1aa-d3e5-49f7-b03b-4653d842682b'],0,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,3.559999,,,,,,,,,,,e6dd4bda-7016-4cbe-90a5-5a6c83382d1e,5,,,"[61.0, 40.1]",2275106,0,True,,,-2.0282328,,Right Foot,,,,"[45.1, 7.8]",,Ground Pass,,36.00139,,,,Poppy Pattinson,17274.0,,,,,,Kick Off,1,From Kick Off,Yana Daniëls,10093.0,Right Wing,2,Bristol City WFC,973,['091f3351-2634-4ae8-b2cf-d4a86c139c41'],0,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.395,Pass,
,,,,,,,,,,,,,,,2.883119,,,,,,,,,,,1051d886-21bd-4f1f-9a6c-6620d1e126fc,7,,,"[44.7, 8.0]",2275106,0,,,,2.8649728,,Left Foot,,,,"[21.1, 14.7]",,Ground Pass,,24.53263,,,,Gemma Evans,16381.0,,,,,,,1,From Kick Off,Poppy Pattinson,17274.0,Left Back,2,Bristol City WFC,973,['cc432f92-b2ad-47e3-8dff-648895d8662e'],4,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:04.036,Pass,
,,,,,,,,,,,,,,,1.978761,,,,,,,,,,,b7deea4b-6fb8-461d-8160-6b6fc8f400f8,10,,,"[21.3, 14.9]",2275106,0,,,,2.0623252,,Left Foot,,,,"[10.7, 34.7]",,Ground Pass,,22.45885,,,,Sophie Baggaley,16376.0,,,,,,,1,From Kick Off,Gemma Evans,16381.0,Left Center Back,2,Bristol City WFC,973,['617d951b-335b-467e-9e71-453dc4613f31'],6,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:06.959,Pass,
,,,,,,,,,,,,,,,2.269657,,,,,,,,,,,4d05f89f-3eda-457a-841a-9c09633b66c0,14,,,"[10.5, 36.7]",2275106,0,,,,1.2391093,,Right Foot,,,,"[21.9, 69.8]",,Ground Pass,,35.00814,,,,Faye Bryson,15578.0,,,,,,,1,From Kick Off,Sophie Baggaley,16376.0,Goalkeeper,2,Bristol City WFC,973,"['a6933f5c-9f5f-410f-a70a-f3d8b9d45b53', 'c4b1d337-31fa-4ce9-ad84-b212bf8d09bb']",10,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:10.641,Pass,True
