50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_penalty,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,b556d060-192d-4442-b5c8-42d8c15a9cc1,1,,,,2275104,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 10235, 'name': 'Viktoria Schnaderbeck'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 17}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 23}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,7feef739-bcf2-4910-b8bf-499725f644a1,2,,,,2275104,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 31527, 'name': 'Ebony Salmon'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 24922, 'name': 'Florence Allen'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 12}, {'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 16}, {'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 25}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2f0f7a1b-77ce-44cf-90de-49fe82029288,3,,,,2275104,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['ff398e87-4d9c-4648-b919-5f14393733f9'],0,,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,ff398e87-4d9c-4648-b919-5f14393733f9,4,,,,2275104,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['2f0f7a1b-77ce-44cf-90de-49fe82029288'],0,,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,ddfbc35e-97b3-43f8-8357-3e5327773941,1748,,,,2275104,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Bristol City WFC,973,['6a50acf3-6a5d-48ea-a661-68943c857feb'],0,,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,6a50acf3-6a5d-48ea-a661-68943c857feb,1749,,,,2275104,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Bristol City WFC,973,['ddfbc35e-97b3-43f8-8357-3e5327773941'],0,,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.326655,,,,,,,,,,c485d0e9-0189-46ed-ae02-154d2e628ed2,5,,,"[61.0, 40.1]",2275104,0,,,,-3.0035865,,Right Foot,,,"[43.0, 37.6]",,Ground Pass,,18.172781,,,,Olivia Chance,24925.0,,,,,,Kick Off,1,From Kick Off,Ebony Salmon,31527.0,Right Midfield,2,Bristol City WFC,973,['1e9c6d4e-880f-46b6-9d40-ec983a2dff8e'],0,,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.245,Pass,
,,,,,,,,,,,,,,,,1.726585,,,,,,,,,,de0020ac-5292-42b8-963a-b3c80e06b959,8,,,"[43.7, 35.9]",2275104,0,,,,-1.539678,,Left Foot,,,"[44.5, 10.2]",,Ground Pass,,25.712448,,,,Florence Allen,24922.0,,,,,,,1,From Kick Off,Olivia Chance,24925.0,Left Center Forward,2,Bristol City WFC,973,['b9bfa638-a5d8-44bf-b0af-b52ed793f1f3'],2,,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:02.367,Pass,
,,,,,,,,,,,,,,,,1.530246,,,,,,,,,,c5a8b4ec-1ab0-48bd-bd3f-9713442a7deb,11,,,"[46.9, 10.6]",2275104,0,,,,-0.34622777,,Right Foot,,,"[62.7, 4.9]",,Ground Pass,,16.796726,,,,Charlie Wellings,15563.0,,,,,,,1,From Kick Off,Florence Allen,24922.0,Left Midfield,2,Bristol City WFC,973,['9e9e55da-a900-4f8c-8066-f71608100f73'],5,,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:05.275,Pass,
,,,,,,,,,,,,,,,,0.878535,,,,,,,,,,44276c83-3be2-4718-b220-d2025c609d36,15,,,"[69.8, 4.9]",2275104,0,,,,1.0629598,,Right Foot,,,"[76.2, 16.4]",,Ground Pass,,13.160927,,,,Ebony Salmon,31527.0,,,,,,,1,From Kick Off,Charlie Wellings,15563.0,Left Center Midfield,2,Bristol City WFC,973,"['1e3adac7-2bcb-4a02-9a51-581e2b8e6b14', '34bdd179-34fd-4cc3-9a31-1ddaa4f92061']",8,,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:08.184,Pass,True
