50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,05541ddd-3dfc-4786-8589-2c33a9c69504,1,,,,3775654,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 41812, 'name': 'Ruby Mace'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 2}, {'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 12}, {'player': {'id': 32169, 'name': 'Jamie-Lee Napier'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,60591e13-ce2e-4016-9f96-6f5d76872413,2,,,,3775654,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 36799, 'name': 'Kiera Skeels'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 24239, 'name': 'Jemma Elizabeth Purfield'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 46737, 'name': 'Ella Jade Mastrantonio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 31564, 'name': 'Molly Pike'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 31527, 'name': 'Ebony Salmon'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 23412, 'name': 'Abigail Harrison'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,08d63663-7698-48b5-9c39-618e472798da,3,,,,3775654,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['da03c80b-e96f-4239-b117-e9603d6368dc'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,da03c80b-e96f-4239-b117-e9603d6368dc,4,,,,3775654,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['08d63663-7698-48b5-9c39-618e472798da'],0,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f0875542-6b56-40fd-90a8-ab138f726554,1604,,,,3775654,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,107,Bristol City WFC,973,['296997b9-ac8e-4914-8398-ee5f27ce49fc'],0,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,296997b9-ac8e-4914-8398-ee5f27ce49fc,1605,,,,3775654,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,107,Bristol City WFC,973,['f0875542-6b56-40fd-90a8-ab138f726554'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.811122,,,,,,,,,,,,1c8edbe1-51d6-4e13-b5e0-7dc96d774e97,5,,,"[61.0, 40.1]",3775654,0,,,,,2.8696542,,Right Foot,,,"[50.6, 43.0]",,Ground Pass,,10.796759,,,Lucy Whipp,31566.0,,,,,,Kick Off,1,From Kick Off,Ruesha Littlejohn,35406.0,Center Attacking Midfield,2,Birmingham City WFC,969,['6a2ea2da-3d23-45e1-b921-29b4788a429a'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.221,Pass,
,,,,,,,,,,,,,,,,4.588138,,,,,,,,,,,,7f62be5f-3df0-4420-8694-b97678bffad1,8,,,"[54.5, 42.4]",3775654,0,,,,,-0.6440785,,Right Foot,,,"[109.9, 0.8]",,High Pass,,69.280014,Out,,Jamie-Lee Napier,32169.0,,,True,,,,1,From Kick Off,Lucy Whipp,31566.0,Right Defensive Midfield,2,Birmingham City WFC,969,['0eed19fe-b846-43db-8265-1f0ea6a32e43'],2,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:02.364,Pass,
,,,,,,,,,,,,,,,,1.517918,,,,,,,,,,,,44c44631-78bc-4b27-9d12-74220fe4ac4f,10,,,"[8.5, 80.0]",3775654,0,,,,,-0.11926598,,,,,"[32.7, 77.1]",,High Pass,,24.37314,,,Abigail Harrison,23412.0,,,,,,Throw-in,1,From Throw In,Yana Daniëls,10093.0,Right Back,3,Bristol City WFC,973,['a44ee391-c820-4023-9f13-ae57fe9919a5'],22,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:22.978,Pass,
,,,,,,,,,,,,,,,,1.615641,,,,,,,,,,,,2edb86fd-20c3-4142-98c8-7133bce3c11b,21,,,"[57.5, 7.3]",3775654,0,,,,,2.0215967,,Right Foot,,,"[48.4, 26.1]",,Ground Pass,,20.886599,,,Georgia Brougham,15574.0,,,,,,,1,Regular Play,Ruby Mace,41812.0,Left Center Back,4,Birmingham City WFC,969,['41cbb988-b70a-4af6-95b6-af53a0f031a7'],30,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:30.451,Pass,
