50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,5.547108,,,,,,,,,,,,d05e89f1-d4a3-484b-bf45-4ec8c31991a4,734,,"[70.1, 6.6]",2275107,14,,,,0.8332571,,Left Foot,,,,"[102.9, 42.7]",Low Pass,,48.775505,Incomplete,,Pauline Bremer,20725.0,,,,,,1,Regular Play,Tessa Wullaert,10099.0,Left Midfield,33,Manchester City WFC,746,"['17779c15-7907-4296-93b3-260d68a3627e', '93a8d424-2450-4fe7-b8ac-a284cb469c5e', 'ed8ad484-ea63-4f1d-8375-a87c1e8a0856']",56,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:14:56.118,Pass,True
,,,,,,,,,,,,,,,,1.079905,,,,,,,,,,,,a0769947-254c-4858-97a5-ccaf4823e096,738,,"[15.1, 38.2]",2275107,15,,,,-0.35954767,,Keeper Arm,,,,"[29.2, 32.9]",Ground Pass,,15.0632,,,Jade Moore,10190.0,,,,,,1,Regular Play,Grace Moloney,15719.0,Goalkeeper,34,Reading WFC,974,['3791e5be-a968-432d-9ae9-b759a31e4239'],2,,,,,,,,,,,,,,,,,,Reading WFC,974,00:15:02.404,Pass,
,,,,,,,,,,,,,,,,1.522667,,,,,,,,,,,,26856463-6b1d-4dc3-9680-b86bb7249ca5,741,,"[34.8, 29.5]",2275107,15,,,,-1.2319046,,Right Foot,,,,"[44.0, 3.4]",Ground Pass,,27.673994,,,Mayumi Pacheco,15724.0,,,,,,1,Regular Play,Jade Moore,10190.0,Right Center Midfield,34,Reading WFC,974,['d19529a7-d705-4815-8153-febad63f18fd'],4,,,,,,,,,,,,,,,,,,Reading WFC,974,00:15:04.868,Pass,
,,,,,,,,,,,,,,,,2.031851,,,,,,,,,,,,c92ae8f8-af73-4a94-88cc-95b464bb4e77,745,,"[44.6, 2.7]",2275107,15,,,,2.9066513,,Left Foot,,,,"[25.8, 7.2]",Ground Pass,,19.331062,,,Kristine Leine,31628.0,,,,,,1,Regular Play,Mayumi Pacheco,15724.0,Left Back,34,Reading WFC,974,"['2c9d298f-fef6-4409-84de-7f854bb9d159', '6c49a029-3e14-418c-82fd-95611fd3b899']",7,,,,,,,,,,,,,,,,,,Reading WFC,974,00:15:07.567,Pass,True
,,,,,,,,,,,,,,,,2.52438,,,,,,,,,,,,05ed43c6-3af9-44ff-be87-5cfb42221c4c,748,,"[20.9, 11.1]",2275107,15,,,,2.0789297,,Right Foot,,,,"[7.2, 35.7]",Ground Pass,,28.157593,,,Grace Moloney,15719.0,,,,,,1,Regular Play,Kristine Leine,31628.0,Left Center Back,34,Reading WFC,974,['2cebf0e0-9042-4fe3-a4fa-e7a5f3798d1b'],10,,,,,,,,,,,,,,,,,,Reading WFC,974,00:15:10.423,Pass,
,,,,,,,,,,,,,,,,2.521456,,,,,,,,,,,,18e5c5fa-9307-44e6-b376-bb7ef5a532a3,751,,"[11.9, 41.2]",2275107,15,,,,-0.7349635,,Right Foot,,,,"[50.4, 6.4]",High Pass,,51.896915,,,Mayumi Pacheco,15724.0,,,,,,1,Regular Play,Grace Moloney,15719.0,Goalkeeper,34,Reading WFC,974,['a0877d2c-e400-4967-bde5-26ca770b2300'],19,,,,,,,,,,,,,,,,,,Reading WFC,974,00:15:19.473,Pass,
,,,,,,,,,,,,,,,,0.82754,,,,,,,,,,,,8d0de2f9-bcd7-43e9-a5ca-d5dea2156a9e,753,,"[50.0, 6.8]",2275107,15,,,,-0.24017102,,Head,,,,"[59.8, 4.4]",Low Pass,,10.089599,,,Amalie Vevle Eikeland,26570.0,,,,,,1,Regular Play,Mayumi Pacheco,15724.0,Left Back,34,Reading WFC,974,['0f78c43f-a4a6-4c86-82b8-5a53c88ecae6'],21,,,,,,,,,,,,,,,,,,Reading WFC,974,00:15:21.994,Pass,
,,,,,,,,,,,,,,,,0.915244,,,,,,,,,,,,bdced8e6-0927-4ec4-a42b-e933b97a9de4,757,,"[55.2, 68.0]",2275107,15,,,,-0.54257935,,Right Foot,,,,"[62.0, 63.9]",Low Pass,,7.940403,,,Keira Walsh,4658.0,,,,,Recovery,1,Regular Play,Stephanie Houghton,10185.0,Right Center Back,35,Manchester City WFC,746,['13d9d469-06cd-4ee8-85ca-05ccf9a5d192'],24,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:15:24.643,Pass,
,,,,,,,,,,,,,,,,0.927421,,,,,,,,,,,,1f8197b5-6c8d-4941-a0f9-d7050c15fb96,761,,"[62.9, 64.3]",2275107,15,,,,0.26571643,,Right Foot,,,,"[78.7, 68.6]",Low Pass,,16.374676,,,Janine Elizabeth Beckie,4992.0,,,,,,1,Regular Play,Keira Walsh,4658.0,Center Defensive Midfield,35,Manchester City WFC,746,"['93adcf13-75ec-4762-bcef-5e8d018c6778', 'd396c5d0-19f2-4bef-8f57-1a1fe2dcdffa']",26,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:15:26.442,Pass,True
,,,,,,,,,,,,,,,,1.335135,,,,,,,,,,,,7929d198-a73e-422c-9b19-ba446c536f60,765,,"[78.3, 72.9]",2275107,15,,,,0.13574539,,Right Foot,,,,"[98.8, 75.7]",Ground Pass,,20.690336,,,Aoife Mannion,19503.0,,,,,,1,Regular Play,Janine Elizabeth Beckie,4992.0,Right Midfield,35,Manchester City WFC,746,['70fab7a7-22b0-45ca-b738-c6b740aefc68'],30,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:15:30.769,Pass,
,,,,,,,,,,,,,,,,2.630726,,,,,,,,,,,,45b69e54-9af2-4bac-9542-8672d49f92b7,768,,"[116.8, 62.4]",2275107,15,,,,-1.6877465,,Right Foot,True,,,"[112.5, 25.8]",High Pass,,36.85173,,,Tessa Wullaert,10099.0,,,,,,1,Regular Play,Aoife Mannion,19503.0,Right Back,35,Manchester City WFC,746,['5d1c189d-00bd-400d-996b-32370d37a077'],35,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:15:35.263,Pass,
,,,,,,,,,,,,,,,,0.537086,,,,,,,,,,,,94173cb8-b8c3-4090-98d7-10bede6750aa,771,,"[111.6, 22.6]",2275107,15,,,,1.5707964,,Right Foot,,,,"[111.6, 28.6]",High Pass,,6.0,Incomplete,,,,,,,,,1,Regular Play,Tessa Wullaert,10099.0,Left Midfield,35,Manchester City WFC,746,['e5a04247-f38e-4a05-bb1d-b74107d470ee'],40,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:15:40.687,Pass,
,,,,,,,,,,,,,,,,1.071101,,,,,,,,,,,,65a8c2ce-ced6-488c-bd7e-5fb19bf6d847,775,,"[26.0, 51.1]",2275107,15,,,,-1.3101939,,Left Foot,,,,"[32.8, 25.6]",Ground Pass,,26.391096,,,Amalie Vevle Eikeland,26570.0,,,,,,1,Regular Play,Fara Williams,10251.0,Center Attacking Midfield,35,Manchester City WFC,746,['1e2ac0b5-95ce-4f27-a960-a2a283fb8906'],45,,,,,,,,,,,,,,,,,,Reading WFC,974,00:15:45.237,Pass,
,,,,,,,,,,,,,,,,1.152001,,,,,,,,,,,,168a055b-377e-47d2-b148-85b62316ada4,778,,"[35.4, 28.2]",2275107,15,,,,0.5123895,,Right Foot,,,,"[48.2, 35.4]",Ground Pass,,14.686048,Incomplete,,Brooke Chaplen,15723.0,,,,,,1,Regular Play,Amalie Vevle Eikeland,26570.0,Left Wing,35,Manchester City WFC,746,"['1090ea2a-17c9-4e63-8009-e95352502226', '830aa58b-01d1-4840-b149-4cbe190407cf']",47,,,,,,,,,,,,,,,,,,Reading WFC,974,00:15:47.596,Pass,
,,,,,,,,,,,,,,,,3.101826,,,,,,,,,,,,dbe78850-d81c-48e0-b716-4022101fbb5d,784,,"[85.8, 56.0]",2275107,15,,,,0.59796906,,Left Foot,,,,"[106.5, 70.1]",Ground Pass,,25.045958,,,Janine Elizabeth Beckie,4992.0,,,,,,1,Regular Play,Caroline Weir,10188.0,Left Center Midfield,35,Manchester City WFC,746,['866ebde0-514d-44c4-9d06-e46d51c5cfb8'],53,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:15:53.591,Pass,
,,,,,,,,,,,,,,,,1.232312,,,,,,,,,,,,bd0bb298-fdd9-44b4-9543-9d9672873e6b,787,,"[118.3, 73.5]",2275107,15,,,,3.0759935,,Left Foot,,,,"[104.6, 74.4]",Ground Pass,,13.72953,,,Caroline Weir,10188.0,,,,,,1,Regular Play,Janine Elizabeth Beckie,4992.0,Right Midfield,35,Manchester City WFC,746,['f73f78d2-4916-4c3c-841f-9afdea95d409'],58,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:15:58.317,Pass,
,,,,,,,,,,,,,,,,1.16283,,,,,,,,,,,,999d9bbb-2582-485d-b167-9d3c0dd5e5f6,791,,"[102.0, 75.2]",2275107,16,,,,3.0907888,,Left Foot,,,,"[84.3, 76.1]",Ground Pass,,17.722866,,,Aoife Mannion,19503.0,,,,,,1,Regular Play,Caroline Weir,10188.0,Left Center Midfield,35,Manchester City WFC,746,['aa4a6443-17a1-40c2-b3af-c2ff31676129'],1,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:16:01.124,Pass,
,,,,,,,,,,,,,,,,1.365648,,,,,,,,,,,,f653a26d-41ee-4bcc-b807-e0cb702349f2,794,,"[84.3, 76.1]",2275107,16,,,,-2.3587918,,Right Foot,,,,"[65.0, 56.9]",Ground Pass,,27.223703,,,Stephanie Houghton,10185.0,,,,,,1,Regular Play,Aoife Mannion,19503.0,Right Back,35,Manchester City WFC,746,['5fe4955f-bb98-456a-932b-c542b41bb8f2'],3,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:16:03.255,Pass,
,,,,,,,,,,,,,,,,0.873446,,,,,,,,,,,,bcd50b33-8076-490d-867d-f27bd66b5064,797,,"[68.0, 56.4]",2275107,16,,,,-1.6694335,,Right Foot,,,,"[66.1, 37.2]",Ground Pass,,19.293781,,,Gemma Bonner,15554.0,,,,,,1,Regular Play,Stephanie Houghton,10185.0,Right Center Back,35,Manchester City WFC,746,['55d12872-35dd-42f0-b74c-250679cac971'],6,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:16:06.099,Pass,
,,,,,,,,,,,,,,,,1.826263,,,,,,,,,,,,bbefdf68-8925-4209-b5fd-77588e4207db,800,,"[75.7, 24.6]",2275107,16,,,,-0.75946736,,Right Foot,,,,"[93.5, 7.7]",Ground Pass,,24.544857,,,Demi Stokes,4651.0,,,,,,1,Regular Play,Gemma Bonner,15554.0,Left Center Back,35,Manchester City WFC,746,['f81cfc85-6f3a-45ea-8edc-1783baa2322a'],9,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:16:09.244,Pass,
,,,,,,,,,,,,,,,,1.293531,,,,,,,,,,,,6820e0f8-b924-45cc-a3a6-f9977cc7379e,803,,"[93.5, 6.4]",2275107,16,,,,2.898076,,Left Foot,,,,"[77.4, 10.4]",Ground Pass,,16.589455,,,Gemma Bonner,15554.0,,,,,,1,Regular Play,Demi Stokes,4651.0,Left Back,35,Manchester City WFC,746,['404ffc42-bbde-483b-a0a4-ba5d14efc0ce'],12,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:16:12.253,Pass,
,,,,,,,,,,,,,,,,0.553483,,,,,,,,,,,,24b76fbe-b0c9-4693-8adc-6848c7af0155,806,,"[76.6, 10.6]",2275107,16,,,,1.3997567,,Right Foot,,,,"[78.5, 21.6]",Ground Pass,,11.162885,,,Keira Walsh,4658.0,,,,,,1,Regular Play,Gemma Bonner,15554.0,Left Center Back,35,Manchester City WFC,746,['dca57f6d-c9fd-4e10-960b-d21fe8af1638'],15,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:16:15.188,Pass,
,,,,,,,,,,,,,,,,1.205379,,,,,,,,,,,,ff7acde9-7709-45c6-8c42-ee3d2d6f673a,809,,"[78.5, 21.6]",2275107,16,,,,-1.6848036,,Right Foot,,,,"[77.0, 8.5]",Ground Pass,,13.185598,,,Gemma Bonner,15554.0,,,,,,1,Regular Play,Keira Walsh,4658.0,Center Defensive Midfield,35,Manchester City WFC,746,['971a9533-1f68-4a52-9d1d-7f8a4a1c2602'],15,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:16:15.832,Pass,
,,,,,,,,,,,,,,,,2.406942,,,,,,,,,,,,e7fee240-0ee8-4b5c-868a-cb6bbeac7c02,812,,"[78.1, 10.6]",2275107,16,,,,0.43511936,,Right Foot,,,,"[110.8, 25.8]",High Pass,,36.06009,,,Demi Stokes,4651.0,,,,,,1,Regular Play,Gemma Bonner,15554.0,Left Center Back,35,Manchester City WFC,746,['fd58e153-45b3-44b2-ae26-f3a84309ba87'],19,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:16:19.268,Pass,
,,,,,,,,,,,,,,,,2.271345,,,,,,,,,,,,17a5b295-4f9f-43e6-b620-6db0855c5d1e,815,,"[116.6, 26.3]",2275107,16,,,,1.344728,,Left Foot,True,,,"[118.9, 36.3]",High Pass,,10.261091,Incomplete,,,,,,,,,1,Regular Play,Demi Stokes,4651.0,Left Back,35,Manchester City WFC,746,['7158d712-4602-4af6-97e3-4bd860cbbef0'],22,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:16:22.132,Pass,
,,,,,,,,,,,,,,,,1.720591,,,,,,,,,,,,cb9871f1-6780-49eb-a3f4-b3d2a6407353,818,,"[14.9, 43.1]",2275107,16,,,,-1.5240468,,Keeper Arm,,,,"[15.7, 26.0]",Ground Pass,,17.118704,,,Kristine Leine,31628.0,,,,,,1,Regular Play,Grace Moloney,15719.0,Goalkeeper,36,Reading WFC,974,['a6b1c070-deb1-45dd-956b-0e1c8b60b449'],40,,,,,,,,,,,,,,,,,,Reading WFC,974,00:16:40.319,Pass,
,,,,,,,,,,,,,,,,2.291295,,,,,,,,,,,,861e8ddd-102d-4ad7-bb67-69804295fec3,822,,"[14.9, 23.2]",2275107,16,,,,1.6771892,,Left Foot,,,,"[12.7, 43.8]",Ground Pass,,20.717142,,,Grace Moloney,15719.0,,,,,,1,Regular Play,Kristine Leine,31628.0,Left Center Back,36,Reading WFC,974,"['098ab8a3-e576-4fea-93d5-ddf4ec43e6b4', '212dd5f1-e10e-4d55-9938-d890e034e19c']",43,,,,,,,,,,,,,,,,,,Reading WFC,974,00:16:43.104,Pass,True
,,,,,,,,,,,,,,,,2.499684,,,,,,,,,,,,542aa548-0ec3-46e6-b9db-c42d3eb1b4f3,825,,"[14.0, 51.3]",2275107,16,,,,-0.5518855,,Right Foot,,,,"[62.4, 21.5]",High Pass,,56.838367,Incomplete,,Amalie Vevle Eikeland,26570.0,,,,,,1,Regular Play,Grace Moloney,15719.0,Goalkeeper,36,Reading WFC,974,"['a3fa1188-956a-4de4-b5ea-536f8d4ce11e', 'd21bca66-95a7-443f-9607-3086e440ccae']",49,,,,,,,,,,,,,,,,,,Reading WFC,974,00:16:49.961,Pass,
,,,,,,,,,,,,,,,,1.51616,,,,,,,,,,,,63f34815-8e63-4c41-b096-a9369eec2d4d,828,,"[28.4, 19.4]",2275107,16,,,,-0.57169086,,Left Foot,,,,"[42.7, 10.2]",Ground Pass,,17.003822,,,Mayumi Pacheco,15724.0,,,,,Recovery,1,Regular Play,Kristine Leine,31628.0,Left Center Back,36,Reading WFC,974,['687e845b-cb21-491e-a1f6-52cba2ad62d0'],54,,,,,,,,,,,,,,,,,,Reading WFC,974,00:16:54.916,Pass,
