ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8577b1aa-fd03-41f8-95e4-b7c3734a8997,1,,,,2275157,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 32618, 'name': 'Martha Harris'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 31531, 'name': 'Lauren James'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Manchester United,1475,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1fec207e-f095-4b82-9200-eab543c50bda,2,,,,2275157,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 31628, 'name': 'Kristine Leine'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 15720, 'name': 'Sophie Howard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 19780, 'name': 'Rachel Rowe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 10190, 'name': 'Jade Moore'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 26570, 'name': 'Amalie Vevle Eikeland'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 10387, 'name': 'Lisa-Marie Utland'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a23244bf-351a-4cd7-82bc-cea6ca3c91db,3,,,,2275157,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,['fefeb8d2-ebce-4418-bc40-dc4adee252c4'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,fefeb8d2-ebce-4418-bc40-dc4adee252c4,4,,,,2275157,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,['a23244bf-351a-4cd7-82bc-cea6ca3c91db'],0,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d3004b62-4d87-4453-84d1-2dbf2a9d2d00,1315,,,,2275157,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,93,Manchester United,1475,['b62e1ca7-85a5-4dde-ab3a-a215a12f885a'],0,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b62e1ca7-85a5-4dde-ab3a-a215a12f885a,1316,,,,2275157,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,93,Manchester United,1475,['d3004b62-4d87-4453-84d1-2dbf2a9d2d00'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.368958,,,,,,,,,,,6681aa66-f90a-46eb-98f8-4421293f1254,5,,,"[60.0, 40.0]",2275157,0,,,,-3.041924,,Right Foot,,,"[51.0, 39.1]",,Ground Pass,,9.0448885,,,Katie Zelem,31540.0,,,,,,Kick Off,1,From Kick Off,Lauren James,31531.0,Center Forward,2,Manchester United,1475,['69d95093-083e-48a4-b9e3-8a1902097823'],1,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:01.282,Pass,
,,,,,,,,,,,,,,,,,1.894727,,,,,,,,,,,2f508d85-366e-4613-a433-d91d50186848,8,,,"[51.8, 39.1]",2275157,0,,,,-1.6075691,,Right Foot,,,"[50.7, 9.2]",,Ground Pass,,29.920227,,,Martha Harris,32618.0,,,,,,,1,From Kick Off,Katie Zelem,31540.0,Left Center Midfield,2,Manchester United,1475,['d271c193-edf0-4fed-9ab3-a02d4d060cdb'],2,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:02.958,Pass,
,,,,,,,,,,,,,,,,,1.30828,,,,,,,,,,,a3ffe9ad-8d4a-429b-9638-86eac3ef7bac,11,,,"[50.7, 9.2]",2275157,0,,,,-0.37580606,,Right Foot,,,"[65.4, 3.4]",,Ground Pass,,15.802848,,,Leah Galton,31539.0,,,,,,,1,From Kick Off,Martha Harris,32618.0,Left Back,2,Manchester United,1475,['c705b691-642b-4303-94b6-12bd6b29d89a'],5,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:05.698,Pass,
,,,,,,,,,,,,,,,,,1.04974,,,,,,,,,,,2014319e-20c2-41f7-beb3-51e7d678b29a,17,,,"[63.5, 8.4]",2275157,0,,,,0.08550529,,Right Foot,,,"[88.0, 10.5]",,Ground Pass,,24.589836,,,Leah Galton,31539.0,,,,,,Free Kick,1,From Free Kick,Millie Turner,31536.0,Left Center Back,3,Manchester United,1475,['a6492bc9-0505-4abd-9d8d-1cfee681df16'],21,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:21.901,Pass,
