ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,0.0,,,,,,,,,,,,,56bcb8db-43ea-46a6-ae83-99c7c781ee80,1,,,19794,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 19421, 'name': 'Carly Mitchell Telford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 17275, 'name': 'Hannah Jayne Blundell'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 20061, 'name': 'Deanna Cooper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 4659, 'name': 'Ramona Bachmann'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 15550, 'name': 'Bethany England'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 15}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,,,1eb9fe26-39ca-4b93-a625-8cde980f619c,2,,,19794,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 23412, 'name': 'Abigail Harrison'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10095, 'name': 'Julie Biesmans'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 16388, 'name': 'Ella Rutherford'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 16390, 'name': 'Juliette Kemppi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,,,73ea1ffb-0d97-4099-8dc0-f40131aa57b9,3,,,19794,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['3bbc420f-9127-4250-b010-a5c969e12a80'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,,,3bbc420f-9127-4250-b010-a5c969e12a80,4,,,19794,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['73ea1ffb-0d97-4099-8dc0-f40131aa57b9'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,,,c08e8bd8-519d-4ce9-b96d-90a338f01618,1940,,,19794,45,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,88,Chelsea FCW,971,['5f200bb9-3451-4365-bef1-54368c095011'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,,,5f200bb9-3451-4365-bef1-54368c095011,1941,,,19794,45,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,88,Chelsea FCW,971,['c08e8bd8-519d-4ce9-b96d-90a338f01618'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,0.679054,,,,,,,,,,,,,c429df39-98ac-4c0f-b9ac-85fa45c7baad,5,,"[60.0, 40.0]",19794,0,,,3.050933,,,Right Foot,,,"[49.0, 41.0]",,Ground Pass,11.045361,,Frankie Brown,10171.0,,,,,Kick Off,1,From Kick Off,Juliette Kemppi,16390.0,Center Forward,2,Bristol City WFC,973,['9ea268e6-9047-4a3a-be1c-7952ff9ad9c0'],1,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:01.550,Pass,
,,,,,,,,,,,1.347126,,,,,,,,,,,,,ce0229cf-f76a-41c1-b98e-d6f13352ec8e,8,,"[47.0, 41.0]",19794,0,,,3.0584514,,,Right Foot,,,"[35.0, 42.0]",,Ground Pass,12.0415945,,Danique Kerkdijk,16383.0,,,,,,1,From Kick Off,Frankie Brown,10171.0,Center Defensive Midfield,2,Bristol City WFC,973,['3c4d51ec-91a3-425b-ab59-66f0bfab93f7'],4,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:04.076,Pass,
,,,,,,,,,,,1.475558,,,,,,,,,,,,,b524b953-7a9e-4a6f-9184-13c9d4623d12,11,,"[36.0, 40.0]",19794,0,,,-1.8925469,,,Right Foot,,,"[28.0, 16.0]",,Ground Pass,25.298222,,Gemma Evans,16381.0,,,,,,1,From Kick Off,Danique Kerkdijk,16383.0,Right Center Back,2,Bristol City WFC,973,['7cb5adb5-6fd9-4ca1-a406-d7e8a50d7553'],6,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:06.274,Pass,
,,,,,,,,,,,2.418936,,,,,,,,,,,,,cbd896e5-eec8-4a52-8725-2ff9cfed14ce,15,,"[26.0, 17.0]",19794,0,,,2.4329665,,,Right Foot,,,"[5.0, 35.0]",,Ground Pass,27.658634,,Sophie Baggaley,16376.0,,,,,,1,From Kick Off,Gemma Evans,16381.0,Left Center Back,2,Bristol City WFC,973,"['167b86d5-c57a-4d96-9b3f-767f5df1a3ef', '64eb5fed-1e31-46fc-b824-03580dd8f39a']",9,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:09.143,Pass,True
