50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9972d3c5-7301-4be0-af58-b8cacd74d644,1,,,3775542,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 34360, 'name': 'Alexandra MacIver'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 20}, {'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 10274, 'name': 'Nicoline Sørensen'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 14}, {'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 31713, 'name': 'Maéva Clemaron'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,92830915-0aa0-4151-bf70-ed22135e7ea5,2,,,3775542,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 46742, 'name': 'Benedicte Håland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 15578, 'name': 'Faye Bryson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 24922, 'name': 'Florence Allen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 36801, 'name': 'Aimee Palmer'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 25547, 'name': 'Chloe Logarzo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 46738, 'name': 'Emma Bissell'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 31527, 'name': 'Ebony Salmon'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1c199a0a-ab69-405b-b56d-7d9508fc6a7d,3,,,3775542,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['9f7b9745-4cf4-4a1d-a702-74ec9b9ff166'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9f7b9745-4cf4-4a1d-a702-74ec9b9ff166,4,,,3775542,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['1c199a0a-ab69-405b-b56d-7d9508fc6a7d'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,73ca6cf3-5a9d-4fc7-a03b-21d111caabdc,1769,,,3775542,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Everton LFC,967,['fff81a71-e8f2-4d32-8eec-f36d6e2367e9'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,fff81a71-e8f2-4d32-8eec-f36d6e2367e9,1770,,,3775542,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Everton LFC,967,['73ca6cf3-5a9d-4fc7-a03b-21d111caabdc'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.493055,,,,,,,,,,,b94e2e8b-a676-43c5-9af1-dda7ad7ccd1e,5,,"[61.0, 40.1]",3775542,0,,,,2.915575,,Right Foot,,,,"[42.3, 44.4]",,Ground Pass,,19.188017,,,,Aimee Palmer,36801.0,,,,,Kick Off,1,From Kick Off,Ebony Salmon,31527.0,Center Forward,2,Bristol City WFC,973,['99356c29-8dc5-4160-8ab3-0c9542cdda7d'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.692,Pass,
,,,,,,,,,,,,,,,,,,,2.635628,,,,,,,,,,,9b6b48d6-d2b2-42c5-a4c0-b36edcd6a80b,8,,"[43.9, 48.6]",3775542,0,,,,0.9723774,,Right Foot,,,,"[61.9, 75.0]",,High Pass,,31.952465,,,,Yana Daniëls,10093.0,,,,,,1,From Kick Off,Aimee Palmer,36801.0,Center Defensive Midfield,2,Bristol City WFC,973,['ac6329b5-9399-4cf3-b643-898a98729c37'],3,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:03.385,Pass,
,,,,,,,,,,,,,,,,,,,1.210532,,,,,,,,,,,53e94fc2-03d5-4f63-82fc-fc237b6d926a,12,,"[60.9, 77.4]",3775542,0,,,,-2.9777212,,Right Foot,,,,"[48.2, 75.3]",,Low Pass,,12.872451,,,,Faye Bryson,15578.0,,,,,,1,From Kick Off,Yana Daniëls,10093.0,Right Midfield,2,Bristol City WFC,973,"['4a871628-3122-450b-a293-b5569a6329e8', 'b1dbcc8c-03b9-436a-abfa-b76435eff6a3']",6,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:06.490,Pass,True
,,,,,,,,,,,,,,,,,,,1.371504,,,,,,,,,,,b4e83638-357b-4a50-b83e-bb94698d8b03,15,,"[44.9, 75.5]",3775542,0,,,,-2.9281127,,Right Foot,,,,"[30.6, 72.4]",,Ground Pass,,14.632156,,,,Laura Rafferty,16394.0,,,,,,1,From Kick Off,Faye Bryson,15578.0,Right Back,2,Bristol City WFC,973,['e302736d-78a0-4673-9ef5-b87115244354'],9,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:09.446,Pass,
