ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e3af8895-3598-4dc2-9229-d13d8d48ecf4,1,,,3775641,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 46538, 'name': 'Ella Franklin-Fraiture'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 46534, 'name': ""Elisha N''Dow""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 46536, 'name': 'Caroline Siems'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 15565, 'name': 'Marisa Ewers'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 46533, 'name': 'Ramona Petzelberger'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 46537, 'name': 'Jodie Hutton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Aston Villa,2647,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d0f4d7cc-ba16-45cd-ab10-3f0e728fad0a,2,,,3775641,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 21556, 'name': 'Connie Scofield'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 47520, 'name': 'Mollie Green'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 46717, 'name': 'Chloe Mccarron'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 34375, 'name': 'Emma Rose Kelly'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2bac44d8-79bc-4406-bad3-149c0714861c,3,,,3775641,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,['e6e482ba-81bd-4e38-8966-10fdfe6cb174'],0,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e6e482ba-81bd-4e38-8966-10fdfe6cb174,4,,,3775641,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,['2bac44d8-79bc-4406-bad3-149c0714861c'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b33f2b1b-b431-4dd6-a96d-af5258b5cb69,1562,,,3775641,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,114,Birmingham City WFC,969,['0af5e033-a158-4d17-9682-f56ad7c7098a'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0af5e033-a158-4d17-9682-f56ad7c7098a,1563,,,3775641,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,114,Birmingham City WFC,969,['b33f2b1b-b431-4dd6-a96d-af5258b5cb69'],0,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.059978,,,,,,,,,,,,dd91544c-e970-4ae2-a35e-62603803aaab,5,,"[61.0, 40.1]",3775641,0,,,,2.5558124,,Right Foot,,,"[50.6, 47.0]",Ground Pass,,12.480785,,,Christie Murray,15628.0,,,,,,Kick Off,1,From Kick Off,Claudia Walker,15580.0,Center Forward,2,Birmingham City WFC,969,['cbf453e1-988b-4246-b915-2be861fc31dc'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.889,Pass,
,,,,,,,,,,,,,,,,1.611421,,,,,,,,,,,,eff796a9-f862-480c-b412-09d6da0743ef,8,,"[49.6, 47.0]",3775641,0,,,,-2.4733033,,Right Foot,,,"[34.4, 35.0]",Ground Pass,,19.36595,,,Rachel Corsie,4984.0,,,,,,,1,From Kick Off,Christie Murray,15628.0,Center Defensive Midfield,2,Birmingham City WFC,969,['3bd0453d-fc00-449b-beb3-8ea6a4fa061c'],2,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:02.500,Pass,
,,,,,,,,,,,,,,,,1.397628,,,,,,,,,,,,1aa65614-020e-46d2-8a0c-70cc6b82ed00,11,,"[34.4, 36.5]",3775641,0,,,,1.8528441,,Left Foot,,,"[29.3, 54.1]",Ground Pass,,18.324028,,,Georgia Brougham,15574.0,,,,,,,1,From Kick Off,Rachel Corsie,4984.0,Left Center Back,2,Birmingham City WFC,969,['aaf4c872-bcfc-493d-9aac-f90d3a907b40'],4,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:04.927,Pass,
,,,,,,,,,,,,,,,,0.955142,,,,,,,,,,,,df63b8fc-6d6e-4aa2-800d-d6552915de28,14,,"[34.8, 55.7]",3775641,0,,,,-1.7588317,,Right Foot,,,"[30.1, 31.0]",Ground Pass,,25.14319,,,Rachel Corsie,4984.0,,,,,,,1,From Kick Off,Georgia Brougham,15574.0,Right Center Back,2,Birmingham City WFC,969,['7118d533-b21f-4b4c-b806-431e091db8c3'],8,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:08.821,Pass,
