bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,a7159366-7bc7-47c2-b929-6241639db5e3,1,,,19762,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 19419, 'name': 'Marie Hourihan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 16377, 'name': 'Sophie Perry-Campbell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 16399, 'name': 'Kate Natkiel'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 16379, 'name': 'Jodie Brett'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,42ea7ab1-1777-4ce1-b2f0-c06ea956a3cd,2,,,19762,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 15724, 'name': 'Mayumi Pacheco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 10190, 'name': 'Jade Moore'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,108422d6-d747-4480-b46f-81eca6fd58c0,3,,,19762,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['45bc826a-3b53-4eb0-939d-c3f8a0555ece'],0,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,45bc826a-3b53-4eb0-939d-c3f8a0555ece,4,,,19762,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['108422d6-d747-4480-b46f-81eca6fd58c0'],0,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,aaaeffa6-e0c8-4593-ac04-6521cda48439,1577,,,19762,45,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,113,Brighton & Hove Albion WFC,965,['bba972e3-df44-49cb-bb28-c6a3e347057a'],0,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,bba972e3-df44-49cb-bb28-c6a3e347057a,1578,,,19762,45,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,113,Brighton & Hove Albion WFC,965,['aaaeffa6-e0c8-4593-ac04-6521cda48439'],0,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,1.112164,,,,,,,,,,,8262cc5e-4492-4119-b05c-650d57d569b5,5,,"[60.0, 40.0]",19762,0,,,1.2490457,,,Right Foot,,,"[64.0, 52.0]",,Ground Pass,12.649111,,Lauren Bruton,15726.0,,,,,Kick Off,1,From Kick Off,Fara Williams,10251.0,Left Center Midfield,2,Reading WFC,974,['f3235012-7398-4183-8209-0fcfb2338b66'],0,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.983,Pass,
,,,,,,,,,,,,2.7138,,,,,,,,,,,70fb5548-aecf-4db8-b8f3-35bf85491f96,12,,"[45.0, 34.0]",19762,0,,,-0.61466295,,,Left Foot,,,"[62.0, 22.0]",,Ground Pass,20.808653,,Iniabasi Anefiok Umotong,16378.0,,,,,Recovery,1,Regular Play,Danielle Buet,20034.0,Center Midfield,3,Brighton & Hove Albion WFC,965,['de9a4834-ece6-4057-adae-7fac1f8c28fe'],4,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:04.087,Pass,
,,,,,,,,,,,,2.043648,,,,,,,,,,,6973ea45-14ac-4bc3-bd20-f08102d4ec2c,20,,"[88.0, 16.0]",19762,0,,,-0.551655,,,Right Foot,,,"[101.0, 8.0]",,Ground Pass,15.264338,Incomplete,Aileen Whelan,16374.0,,,,,,1,Regular Play,Iniabasi Anefiok Umotong,16378.0,Center Forward,3,Brighton & Hove Albion WFC,965,"['13804f60-dd8e-4da9-a200-f620f3849313', '374faaa4-3b44-4555-8523-40af8f8437ad']",10,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:10.427,Pass,
,,,,,,,,,,,,1.292429,,,,,,,,,,,8b47dc4e-1119-4a4f-8f59-296509cf3b63,23,,"[107.0, 1.0]",19762,0,,,1.0303768,,,,,,"[116.0, 16.0]",,Low Pass,17.492855,Incomplete,Iniabasi Anefiok Umotong,16378.0,,,,,Throw-in,1,From Throw In,Sophie Perry-Campbell,16377.0,Left Back,4,Brighton & Hove Albion WFC,965,"['2b7f1680-2315-414f-b806-e807dc3a3866', 'ce1d61b2-62ce-4e7c-8062-70ff78ff6c21']",33,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:33.296,Pass,
