bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,747cb0b8-43e9-4a71-8549-3a7b786f3369,1,,,,2275040,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31528, 'name': 'Matilde Lundorf Skovsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 23289, 'name': 'Emily Simpkins'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 31529, 'name': 'Léa Le Garrec'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,058abab7-5046-4443-ba06-10e9e0ca8c08,2,,,,2275040,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 31555, 'name': 'Courtney Brosnan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 31557, 'name': 'Katharina Baunach'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 23217, 'name': 'Tessel Middag'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 18146, 'name': 'Leanne Kiernan'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 31558, 'name': 'Martha Thomas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,59095b25-7eb7-47cb-9329-cc5ce8acdfd2,3,,,,2275040,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['23e65625-373a-426c-9c03-fa6fd36fa517'],0,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,23e65625-373a-426c-9c03-fa6fd36fa517,4,,,,2275040,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['59095b25-7eb7-47cb-9329-cc5ce8acdfd2'],0,,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,ba5b617d-9e4a-4976-9e69-b13094c6239a,1721,,,,2275040,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,West Ham United LFC,972,['e82333e6-ece0-4fee-b318-592889fce9a7'],0,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,e82333e6-ece0-4fee-b318-592889fce9a7,1722,,,,2275040,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,West Ham United LFC,972,['ba5b617d-9e4a-4976-9e69-b13094c6239a'],0,,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,2.614695,,,,,,,,,,,,,,,,,a669ffc7-0fd5-4d41-9c61-4220c6d5e599,5,,,"[61.0, 40.1]",2275040,0,,,,,-2.8764222,,Right Foot,,,,"[29.7, 31.6]",,Ground Pass,,32.433624,,,,Victoria Williams,16395.0,,,,,Kick Off,1,From Kick Off,Iniabasi Anefiok Umotong,16378.0,Center Forward,2,Brighton & Hove Albion WFC,965,['3e5bcf2f-236e-4d43-b00d-25f2335c9b52'],0,,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.320,Pass,
,,,,,,,,,,,,,,,,,,1.205411,,,,,,,,,,,,,,,,,d20e0a68-e0e2-4711-a77b-3fedf04dea84,8,,,"[34.5, 35.9]",2275040,0,,,,,1.786154,,Left Foot,,,,"[28.2, 64.7]",,Ground Pass,,29.48101,,,,Danique Kerkdijk,16383.0,,,,,,1,From Kick Off,Victoria Williams,16395.0,Left Center Back,2,Brighton & Hove Albion WFC,965,['3714b4a9-c360-4559-8a22-ac94cebb12f4'],4,,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:04.124,Pass,
,,,,,,,,,,,,,,,,,,0.867164,,,,,,,,,,,,,,,,,4857643a-f24e-41b4-9e02-c8860c4a76e9,12,,,"[30.8, 73.1]",2275040,0,,,,,0.3011585,,Right Foot,,,,"[44.0, 77.2]",,Ground Pass,,13.822083,,,,Matilde Lundorf Skovsen,31528.0,,,,,,1,From Kick Off,Danique Kerkdijk,16383.0,Right Center Back,2,Brighton & Hove Albion WFC,965,"['6761f72c-0d0c-4a6e-9cc6-fd39066040af', 'abe7685d-29aa-4990-ad48-5f6911e9171c']",8,,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:08.178,Pass,True
,,,,,,,,,,,,,,,,,,0.672806,,,,,,,,,,,,,,,,,4cb6582d-7dc5-4361-a931-bd7e84e1a800,16,,,"[51.1, 77.8]",2275040,0,,,,,-1.5083776,,Right Foot,,,,"[51.5, 71.4]",,Ground Pass,,6.412488,,,,Ellie Brazil,16393.0,,,,,,1,From Kick Off,Matilde Lundorf Skovsen,31528.0,Right Back,2,Brighton & Hove Albion WFC,965,"['0baddc2c-fff4-4ea3-9f2c-a3c43c998208', '17a4b461-bc44-4491-b481-f017013e2662']",9,,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:09.933,Pass,True
