50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[76.5, 27.6]",,,,,,,,,,,,3.733435,,,,,,,,,,,,89128c3b-3d95-4e52-8c6f-ba38a8b035c5,1527,,"[74.5, 43.3]",3775578,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Danielle Turner,15571.0,Left Back,98,Everton LFC,967,"['68cdd4f2-a7b9-4fb9-9d18-6f6c49de0817', '70f6e32c-d991-4927-a7a7-6d69face292e', '9f727e56-b294-4450-9be5-691a007986ee']",16,,,,,,,,,,,,,,,,,,Everton LFC,967,00:40:16.962,Carry,True
,,,,,,"[36.3, 55.5]",,,,,,,,,,,,2.671032,,,,,,,,,,,,7160c6a3-3499-46ff-82a2-024d707e4b47,1534,,"[33.9, 61.7]",3775578,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Emma Mukandi,18998.0,Right Back,99,Reading WFC,974,"['2bb9a932-8e7b-41b2-9b8d-4ea1c26162ee', '5a24ddf6-c95f-42c9-9ddd-3d18fd1b2397']",23,,,,,,,,,,,,,,,,,,Reading WFC,974,00:40:23.563,Carry,
,,,,,,"[39.8, 4.9]",,,,,,,,,,,,1.738969,,,,,,,,,,,,60e78f68-7926-41a2-8de8-15b62b90c59b,1541,,"[35.5, 5.2]",3775578,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Molly Bartrip,21021.0,Left Center Back,99,Reading WFC,974,"['9e11780c-b4eb-448d-86b6-0f34b54a4536', 'c32d333d-6803-4d19-96b7-3d240f71f899', 'dad1496c-fdbb-4872-a321-e08abceaa971']",33,,,,,,,,,,,,,,,,,,Reading WFC,974,00:40:33.485,Carry,True
,,,,,,"[49.7, 12.1]",,,,,,,,,,,,2.126169,,,,,,,,,,,,fc7f9caa-72a9-48a4-a124-b2450098583a,1545,,"[39.8, 4.9]",3775578,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Molly Bartrip,21021.0,Left Center Back,99,Reading WFC,974,"['2f998023-8f6f-4b68-9408-f85261abeca9', '835735f4-a13f-45fc-9e60-81bb01708d89', '9e11780c-b4eb-448d-86b6-0f34b54a4536', 'b4f182c3-7fd6-4e8e-90e6-7b4032f47352']",35,,,,,,,,,,,,,,,,,,Reading WFC,974,00:40:35.224,Carry,True
,,,,,,"[53.4, 34.3]",,,,,,,,,,,,0.867204,,,,,,,,,,,,804c8a3e-30df-49dd-a026-741f52f4ec99,1553,,"[50.0, 28.8]",3775578,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jessica Fishlock,5016.0,Right Center Midfield,99,Reading WFC,974,"['a5dd9e14-f953-48cb-8cfb-143be3984dbc', 'f9967c28-54db-4527-b1e2-89f1645af621']",40,,,,,,,,,,,,,,,,,,Reading WFC,974,00:40:40.288,Carry,
,,,,,,"[68.2, 48.3]",,,,,,,,,,,,1.879692,,,,,,,,,,,,69ce2638-8a07-445f-9ea6-7abc72e4874c,1556,,"[59.7, 42.6]",3775578,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rachel Rowe,19780.0,Right Midfield,99,Reading WFC,974,"['927af72a-fa05-49b5-9323-6eefe7586980', 'c2230827-99a5-4752-b150-35e5cf6f580a']",42,,,,,,,,,,,,,,,,,,Reading WFC,974,00:40:42.214,Carry,
,,,,,,"[89.9, 75.9]",,,,,,,,,,,,2.79327,,,,,,,,,,,,4f42dbb5-e733-4b34-bdd0-0599b5913800,1559,,"[89.8, 76.8]",3775578,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Emma Mukandi,18998.0,Right Back,99,Reading WFC,974,"['6a980ac5-f6dc-48fe-aab9-11c58b0d247a', '7d4fd277-ddcd-49c2-a78e-9c8a83b44dec', 'e4a18f7d-a1eb-4be2-a565-c6fe80642a08']",47,,,,,,,,,,,,,,,,,,Reading WFC,974,00:40:47.357,Carry,True
,,,,,,"[83.3, 75.9]",,,,,,,,,,,,2.073072,,,,,,,,,,,,edf50a6e-f6b5-4130-9158-6d5829726fa6,1563,,"[79.2, 75.3]",3775578,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rachel Rowe,19780.0,Right Midfield,99,Reading WFC,974,"['b0f37f1a-07c1-453c-b4f5-07a82fa9e5be', 'd68c1179-5395-4586-a73f-2d71f982438d']",50,,,,,,,,,,,,,,,,,,Reading WFC,974,00:40:50.895,Carry,
,,,,,,"[94.1, 58.6]",,,,,,,,,,,,1.921239,,,,,,,,,,,,98f6102a-4b49-458f-8cd2-fe4ed45dc538,1566,,"[90.8, 64.5]",3775578,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Emma Mukandi,18998.0,Right Back,99,Reading WFC,974,"['3076e119-9c44-4017-8299-d88073f0423d', 'fdf2d666-0a27-4783-8ac6-9123dbc4dc8a']",53,,,,,,,,,,,,,,,,,,Reading WFC,974,00:40:53.881,Carry,
,,,,,,"[12.4, 11.5]",,,,,,,,,,,,3.010174,,,,,,,,,,,,32421033-2230-49c3-9d58-52c14102f970,1571,,"[7.0, 18.0]",3775578,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Rikke Læntver Sevecke,15789.0,Left Center Back,100,Everton LFC,967,"['53a49805-fe73-4600-a965-eb53fd953080', 'e121c0bb-9609-40f3-9ca0-562e3af65fb2']",13,,,,,,,,,,,,,,,,,,Everton LFC,967,00:41:13.991,Carry,
,,,,,,"[45.9, 49.1]",,,,,,,,,,,,0.778086,,,,,,,,,,,,ffce8765-9655-468f-bb9b-47f7e4405f46,1575,,"[47.9, 50.4]",3775578,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Molly Bartrip,21021.0,Left Center Back,101,Reading WFC,974,"['47ed4445-e5b4-43ee-b0d4-61f3bfabe8cb', '64ba2f51-83bb-46b9-b836-881df625a585']",21,,,,,,,,,,,,,,,,,,Reading WFC,974,00:41:21.967,Carry,
,,,,,,"[13.7, 42.2]",,,,,,,,,,,,0.630358,,,,,,,,,,,,d5a37e30-2231-46c0-8420-751903f1fadc,1578,,"[12.9, 43.2]",3775578,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Grace Moloney,15719.0,Goalkeeper,101,Reading WFC,974,"['42f3ee11-2077-4fad-8244-4141cc76c743', '74b8b81a-d057-4ed9-86f5-6085a443077c']",26,,,,,,,,,,,,,,,,,,Reading WFC,974,00:41:26.941,Carry,
,,,,,,"[23.5, 33.0]",,,,,,,,,,,,0.868721,,,,,,,,,,,,fdf58cae-d78b-43b2-b748-dc65eff5925e,1581,,"[23.5, 33.0]",3775578,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Molly Bartrip,21021.0,Left Center Back,101,Reading WFC,974,"['210aac25-3a98-4bd9-85e5-18b372ca7097', 'b2bbd3e9-4bfc-42ad-b760-2f3d21be78e1']",29,,,,,,,,,,,,,,,,,,Reading WFC,974,00:41:29.175,Carry,
,,,,,,"[24.3, 56.0]",,,,,,,,,,,,0.777265,,,,,,,,,,,,3c124ac6-7755-4f6c-b831-a9406a7752e8,1584,,"[23.9, 55.7]",3775578,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Deanna Cooper,20061.0,Right Center Back,101,Reading WFC,974,"['0a4e5659-1b19-4c69-ad40-5b4c153bf969', '68413090-985d-436f-af85-07250872304e']",31,,,,,,,,,,,,,,,,,,Reading WFC,974,00:41:31.904,Carry,
,,,,,,"[9.4, 47.7]",,,,,,,,,,,,3.186824,,,,,,,,,,,,978e4e47-07cd-42a4-a3af-3542f809bac4,1587,,"[6.7, 42.8]",3775578,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Grace Moloney,15719.0,Goalkeeper,101,Reading WFC,974,"['242576d6-d1ef-4171-b18f-4856e7f6c5ef', '2caa2dff-b1e9-437e-9244-e4513c3103f3']",35,,,,,,,,,,,,,,,,,,Reading WFC,974,00:41:35.097,Carry,
,,,,,,"[13.2, 66.2]",,,,,,,,,,,,0.947185,,,,,,,,,,,,da161387-0d80-44fc-8331-26586df528be,1590,,"[12.6, 65.9]",3775578,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Deanna Cooper,20061.0,Right Center Back,101,Reading WFC,974,"['26c13fc4-699e-4c8f-a090-e485baabd46d', 'fef1ae14-6650-48bc-af25-e93d4f26373e']",39,,,,,,,,,,,,,,,,,,Reading WFC,974,00:41:39.589,Carry,
,,,,,,"[8.2, 36.3]",,,,,,,,,,,,6.037029,,,,,,,,,,,,6301b591-b58a-4ef5-9600-89f0c3f720f8,1599,,"[9.1, 38.4]",3775578,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Grace Moloney,15719.0,Goalkeeper,101,Reading WFC,974,"['09a48841-5bd1-4207-952a-a9d4af8ed290', 'ad482ade-82db-4f52-a955-3da299b572b3']",47,,,,,,,,,,,,,,,,,,Reading WFC,974,00:41:47.808,Carry,
,,,,,,"[12.9, 29.2]",,,,,,,,,,,,1.959512,,,,,,,,,,,,04de4141-0b23-4f5d-94c6-5127f54c6b9b,1602,,"[12.9, 29.2]",3775578,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jessica Fishlock,5016.0,Right Center Midfield,101,Reading WFC,974,"['1199c92e-c3f7-4442-8a0c-5081985237b5', 'afcbfe38-4e23-4804-8649-ea64ef76f867']",55,,,,,,,,,,,,,,,,,,Reading WFC,974,00:41:55.073,Carry,
,,,,,,"[73.7, 77.2]",,,,,,,,,,,,0.055073,,,,,,,,,,,,4772ac88-0e3d-45f7-87bd-3815ba496a9c,1612,,"[73.7, 77.5]",3775578,42,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Rachel Rowe,19780.0,Right Midfield,102,Reading WFC,974,"['05ea0821-1e8e-43a5-9667-101329f478a0', '29bde328-af75-47da-813c-5e906504b46a', '78750b11-b708-4eaa-b241-c9c71b7d84da']",33,,,,,,,,,,,,,,,,,,Reading WFC,974,00:42:33.548,Carry,True
