50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,15e154b2-1187-44e7-91ff-3d9f4e5ffec1,1,,,2275063,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 15550, 'name': 'Bethany England'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f7fbf2a4-d031-40c0-8fa7-5bdf57666bed,2,,,2275063,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cfa2a3c6-0989-4535-9349-6ca34355fc02,3,,,2275063,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['a6786ff3-6152-471a-927c-d530ee0c7556'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a6786ff3-6152-471a-927c-d530ee0c7556,4,,,2275063,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['cfa2a3c6-0989-4535-9349-6ca34355fc02'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e08b1846-d745-4df2-95f8-13abc201a83b,1978,,,2275063,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,89,Chelsea FCW,971,['6ce9d169-b111-4038-a413-ca8741e3d62d'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6ce9d169-b111-4038-a413-ca8741e3d62d,1979,,,2275063,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,89,Chelsea FCW,971,['e08b1846-d745-4df2-95f8-13abc201a83b'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,2.059344,,,,,,,,,,,,de93ee0b-13d3-42bb-9a98-67dac9fdfee2,5,,"[60.0, 40.0]",2275063,0,,,,-2.9156775,,Right Foot,,,"[35.2, 34.3]",,Ground Pass,,25.446611,,,,Magdalena Lilly Eriksson,4633.0,,,,,,Kick Off,1,From Kick Off,Francesca Kirby,4641.0,Center Attacking Midfield,2,Chelsea FCW,971,['cfab6dd3-d9d0-4837-90af-97d3b5d6481b'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.407,Pass,
,,,,,,,,,,,,,,,2.567814,,,,,,,,,,,,dd9a021f-481b-4b99-9ceb-379949652b5c,8,,"[35.9, 27.5]",2275063,0,,,,-0.5052508,,Left Foot,,,"[77.3, 4.6]",,High Pass,,47.311417,,,,Guro Reiten,10514.0,,,,,,,1,From Kick Off,Magdalena Lilly Eriksson,4633.0,Left Center Back,2,Chelsea FCW,971,['d3392893-a6e5-42b0-a83b-3176b683ee8b'],3,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:03.999,Pass,
,,,,,,,,,,,,,,,2.06639,,,,,,,,,,,,666c2939-f119-4f4a-9b41-475e1cb56e6f,10,,"[77.3, 4.6]",2275063,0,,,,-0.11065722,,Head,,,"[98.9, 2.2]",,High Pass,,21.732924,,,,Bethany England,15550.0,,,,,,,1,From Kick Off,Guro Reiten,10514.0,Left Midfield,2,Chelsea FCW,971,['76d58fb2-0317-4164-be64-be10b8f4f353'],8,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:08.872,Pass,
,,,,,,,,,,,,,,,2.088083,,,,,,,,,,,,e9f4473d-d109-4501-9cc0-6b2978ee3db7,16,,"[102.5, 0.1]",2275063,0,,,,1.1602901,,,,,"[110.9, 19.4]",,High Pass,,21.048754,,,,Francesca Kirby,4641.0,,,,,,Throw-in,1,From Throw In,Bethany England,15550.0,Center Forward,3,Chelsea FCW,971,['4e421d29-8a99-456c-a90d-5d08c65dd169'],14,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:14.813,Pass,
