ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5f75f25e-bba9-4ee4-b414-081f6b9726d2,1,,,2275092,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 31567, 'name': 'Adrienne Jordan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 37}, {'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 31565, 'name': 'Abbi Grant'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 31563, 'name': 'Rachel Williams'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,99d8a05d-6483-4431-803e-f1b5b2a7f6e6,2,,,2275092,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 20725, 'name': 'Pauline Bremer'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.3,,,,,,,,,,,True,243ac155-216d-4a87-954b-31c8b5ac0396,3,,,2275092,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['dd18d221-f01a-496b-8d26-4bb15607ec6d'],0,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.3,,,,,,,,,,,True,dd18d221-f01a-496b-8d26-4bb15607ec6d,4,,,2275092,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['243ac155-216d-4a87-954b-31c8b5ac0396'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,62a6b65e-17c5-4973-9c05-afc41b19706b,2138,,,2275092,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,97,Birmingham City WFC,969,['f0781280-dd42-4c26-9b4d-9081a245d32a'],0,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f0781280-dd42-4c26-9b4d-9081a245d32a,2139,,,2275092,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,97,Birmingham City WFC,969,['62a6b65e-17c5-4973-9c05-afc41b19706b'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.486558,,,,,,,,,,,,5c37d1d5-4981-4215-9e75-a459587169fa,5,,"[60.0, 40.0]",2275092,0,,,,,3.1188693,,Left Foot,,,"[46.8, 40.3]",,Ground Pass,,13.203408,,,Keira Walsh,4658.0,,,,,,Kick Off,1,From Kick Off,Pauline Bremer,20725.0,Right Center Forward,2,Manchester City WFC,746,['f781b81d-dcbf-43f8-81b3-62087dabd8ed'],0,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.040,Pass,
,,,,,,,,,,,,,,,0.861372,,,,,,,,,,,,9f741254-e548-4c9f-876c-892f3acb1fd4,8,,"[47.7, 39.8]",2275092,0,,,,,-2.1411796,,Right Foot,,,"[44.3, 34.5]",,Ground Pass,,6.2968245,,,Caroline Weir,10188.0,,,,,,,1,From Kick Off,Keira Walsh,4658.0,Right Defensive Midfield,2,Manchester City WFC,746,['2a4f9c4b-cc85-4cd3-958b-d3cbc4c37e5f'],0,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.922,Pass,
,,,,,,,,,,,,,,,1.324451,,,,,,,,,,,,f4cc8f39-0c7c-486c-a31b-474d9cfbd7ee,11,,"[44.3, 34.5]",2275092,0,,,,,-1.7028042,,Left Foot,,,"[41.1, 10.4]",,Ground Pass,,24.31152,,,Lauren Hemp,15555.0,,,,,,,1,From Kick Off,Caroline Weir,10188.0,Left Defensive Midfield,2,Manchester City WFC,746,['e085acd2-f5ff-4307-9ec3-43273325c7ab'],2,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:02.606,Pass,
,,,,,,,,,,,,,,,1.20726,,,,,,,,,,,,777a6ce5-1ec1-413d-8b61-157682129a92,14,,"[41.1, 10.4]",2275092,0,,,,,2.6121063,,Left Foot,,,"[23.5, 20.7]",,Ground Pass,,20.3924,,,Gemma Bonner,15554.0,,,,,,,1,From Kick Off,Lauren Hemp,15555.0,Left Midfield,2,Manchester City WFC,746,['de0430ec-620c-4d12-aec5-21510208aba4'],5,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:05.120,Pass,
