ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,d73830f7-f379-4079-aa2d-a9f0b6580e98,1,,,2275033,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 23412, 'name': 'Abigail Harrison'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1b779975-10d0-4017-aa7f-d075e858d09e,2,,,2275033,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 31552, 'name': 'Hannah Godfrey'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 31703, 'name': 'Anna Filbey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15572, 'name': 'Siri Worm'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15564, 'name': 'Lucy Quinn'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 31551, 'name': 'Kit Graham'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 31702, 'name': 'Rianna Dean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Tottenham Hotspur Women,749,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,853c618c-4e17-4bf7-af12-cf41aa45569c,3,,,2275033,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['5458c82a-71ec-40a6-a3b6-a1f7429e16bc'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,5458c82a-71ec-40a6-a3b6-a1f7429e16bc,4,,,2275033,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['853c618c-4e17-4bf7-af12-cf41aa45569c'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,06463234-1953-4556-8b48-5215881ac4ac,1615,,,2275033,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,117,Bristol City WFC,973,['e00c6da7-6f54-49af-8cf5-4292f0675b51'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,e00c6da7-6f54-49af-8cf5-4292f0675b51,1616,,,2275033,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,117,Bristol City WFC,973,['06463234-1953-4556-8b48-5215881ac4ac'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.392993,,,,,,,,,,,,,,,,a669ed89-5c05-43cc-ab39-b7145c8f9006,5,,"[61.0, 40.1]",2275033,0,,,,,2.6410854,,Right Foot,,,,"[42.9, 50.0]",,Ground Pass,,20.63056,,Rachel Furness,15706.0,,,,,,Kick Off,1,From Kick Off,Rianna Dean,31702.0,Center Forward,2,Tottenham Hotspur Women,749,['250d8ab1-e206-4b71-a150-7060eba58b7d'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.667,Pass,
,,,,,,,,,,,,,,1.656804,,,,,,,,,,,,,,,,92c0814e-5143-4e48-a7d1-65f1c4e4a6ed,8,,"[43.9, 48.7]",2275033,0,,,,,-2.3183117,,Right Foot,,,,"[27.4, 30.9]",,Ground Pass,,24.271175,,Anna Filbey,31703.0,,,,,,,1,From Kick Off,Rachel Furness,15706.0,Right Center Midfield,2,Tottenham Hotspur Women,749,['6eab9900-4d29-450c-b5d4-62a12c5e22c7'],2,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:02.679,Pass,
,,,,,,,,,,,,,,2.536307,,,,,,,,,,,,,,,,08482663-aa62-44cd-bf93-f2e6cf35a15d,11,,"[26.8, 28.8]",2275033,0,,,,,-0.12283524,,Left Foot,,,,"[83.5, 21.8]",,High Pass,,57.130466,,Rachel Furness,15706.0,,,,,,,1,From Kick Off,Anna Filbey,31703.0,Left Center Back,2,Tottenham Hotspur Women,749,['f845deea-e72d-4957-8fe4-f59ed9d1c0ad'],5,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:05.600,Pass,
,,,,,,,,,,,,,,1.858867,,,,,,,,,,,,,,,,7083e8e8-e7c2-4858-8f46-0b95a71a13eb,14,,"[83.7, 21.8]",2275033,0,,,,True,-0.9775673,,,,,,"[92.6, 8.6]",,Low Pass,,15.920113,,Kit Graham,31551.0,,,,,,,1,From Kick Off,Rachel Furness,15706.0,Right Center Midfield,2,Tottenham Hotspur Women,749,"['2254d3bd-ecbc-4f59-8fe4-70e9694403b8', '89d31731-a00a-4b73-ac5f-2f08d3772b57']",8,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:08.216,Pass,True
