ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,20d48446-4238-4c3c-b7f9-bfe95632e004,1,,,19756,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23547, 'name': 'Emma Brownlie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 20}, {'player': {'id': 15572, 'name': 'Siri Worm'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 14}, {'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15556, 'name': 'Chantelle Boye-Hlorkah'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d24720a8-750b-40f2-b1f5-fd3a53ff18e0,2,,,19756,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 19503, 'name': 'Aoife Mannion'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15567, 'name': 'Paige Williams'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 15564, 'name': 'Lucy Quinn'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5d58b841-f02f-447d-9815-3708108c8f4c,3,,,19756,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['461220c1-d373-4c72-a775-722edb0a8a71'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,461220c1-d373-4c72-a775-722edb0a8a71,4,,,19756,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['5d58b841-f02f-447d-9815-3708108c8f4c'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b4f72185-a78b-463d-80f2-54c05cdb0b70,1305,,,19756,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,111,Everton LFC,967,['e26287ec-ec59-4f1a-805b-4ab8db12acff'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e26287ec-ec59-4f1a-805b-4ab8db12acff,1306,,,19756,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,111,Everton LFC,967,['b4f72185-a78b-463d-80f2-54c05cdb0b70'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.816,,,,,,,,,,,,ed4a4150-7957-4683-82e9-093759cb26c0,5,,"[61.0, 41.0]",19756,0,,,,,3.0584514,,Right Foot,,,"[49.0, 42.0]",,Ground Pass,,12.0415945,,Hayley Ladd,19501.0,,,,,,Kick Off,1,From Kick Off,Ellen White,10180.0,Center Forward,2,Birmingham City WFC,969,['e6685bdc-e70c-4c6f-8cbc-d4faeb8bda69'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.225,Pass,
,,,,,,,,,,,,,,,,2.106969,,,,,,,,,,,,9969253c-3301-40d4-9f42-51ea542484bc,8,,"[47.0, 42.0]",19756,0,,,,,-1.6495802,,Right Foot,,,"[44.0, 4.0]",,Ground Pass,,38.118237,,Paige Williams,15567.0,,,,,,,1,From Kick Off,Hayley Ladd,19501.0,Left Defensive Midfield,2,Birmingham City WFC,969,['549e2710-219f-461d-ba8a-4eddb4ebe187'],2,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:02.441,Pass,
,,,,,,,,,,,,,,,,3.657378,,,,,,,,,,,,03af5708-5ed8-4d0d-8a89-115c9656e9d8,11,,"[51.0, 6.0]",19756,0,,,,,0.4266275,,Left Foot,,,"[95.0, 26.0]",,High Pass,,48.332184,Pass Offside,Ellen White,10180.0,,,,,,,1,From Kick Off,Paige Williams,15567.0,Left Back,2,Birmingham City WFC,969,['10b83326-7a8b-4a32-8ab1-b17a89c6075b'],6,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:06.457,Pass,
,,,,,,,,,,,,,,,,3.3727,,,,,,,,,,,,8a47dfcd-4b8f-482a-b961-f0cda3b5c864,13,,"[26.0, 56.0]",19756,0,,,,,-0.07448879,,Right Foot,,,"[93.0, 51.0]",,High Pass,,67.18631,Incomplete,Simone Magill,15559.0,,,,,,Free Kick,1,From Free Kick,Kirstie Levell,15576.0,Goalkeeper,3,Everton LFC,967,"['37cc9524-7569-4476-8786-80277080e5e1', '4a9119e7-6924-4bea-ad49-a872e1f53e01']",33,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:33.495,Pass,
