50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4af82263-e879-4dc5-9b43-8622155eaf87,1,,,2275088,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 31714, 'name': 'Georgia Wilson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 31527, 'name': 'Ebony Salmon'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7e5fea88-286c-4fb1-b9c9-56d63153e8da,2,,,2275088,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 33009, 'name': 'Lily Simkin'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 31567, 'name': 'Adrienne Jordan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 37}, {'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 31565, 'name': 'Abbi Grant'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 31563, 'name': 'Rachel Williams'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ca06f2ba-3678-4bd3-a25a-c7e0c109694f,3,,,2275088,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['640050cf-c892-4179-933a-811dd3a47752'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,640050cf-c892-4179-933a-811dd3a47752,4,,,2275088,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['ca06f2ba-3678-4bd3-a25a-c7e0c109694f'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b85e4eb0-792e-4160-b22b-7c2f4cfc7fb9,1481,,,2275088,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,119,Bristol City WFC,973,['b4c46261-fe22-4c1d-8bc7-aa7fc6c13b4f'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b4c46261-fe22-4c1d-8bc7-aa7fc6c13b4f,1482,,,2275088,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,119,Bristol City WFC,973,['b85e4eb0-792e-4160-b22b-7c2f4cfc7fb9'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.043924,,,,,,,,,,,,ea0f70bc-cd99-442a-9188-981575879bf6,5,,"[60.0, 40.0]",2275088,0,,,,,-2.8347664,,Right Foot,,,,"[49.9, 36.8]",,Ground Pass,,10.5948105,,,,Lucy Staniforth,15562.0,,,,,Kick Off,1,From Kick Off,Rachel Williams,31563.0,Center Forward,2,Birmingham City WFC,969,['75385f62-17b9-476c-89a0-d4b0427376b2'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.570,Pass,
,,,,,,,,,,,,,,,,2.189395,,,,,,,,,,,,f8b0a7c7-40b5-487f-857c-5137bad03cee,8,,"[49.1, 36.6]",2275088,0,,,,,-2.5854263,,Right Foot,,,,"[30.6, 25.1]",,Ground Pass,,21.78302,,,,Rebecca Holloway,31568.0,,,,,,1,From Kick Off,Lucy Staniforth,15562.0,Left Center Midfield,2,Birmingham City WFC,969,['e0e89ba3-2c80-4b9d-9661-4fbd20135301'],2,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:02.093,Pass,
,,,,,,,,,,,,,,,,1.059088,,,,,,,,,,,,7ae85d60-9e7a-4e4e-94ff-a295dd9223ae,12,,"[29.5, 19.9]",2275088,0,,,,,-0.9634911,,Left Foot,,,,"[41.8, 2.2]",,Ground Pass,,21.554117,,,,Adrienne Jordan,31567.0,,,,,,1,From Kick Off,Rebecca Holloway,31568.0,Left Center Back,2,Birmingham City WFC,969,"['2e6e12ba-f1be-4d56-ab8d-19c34ace84c2', 'c73b8e7e-eeaf-4636-90c4-db892376ce4d']",5,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:05.739,Pass,True
,,,,,,,,,,,,,,,,1.224831,,,,,,,,,,,,9c35d77f-fd1d-4e39-831e-d90aafed0ea6,15,,"[41.8, 2.2]",2275088,0,,,,,0.17189772,,Left Foot,,,,"[56.2, 4.7]",,Ground Pass,,14.615403,,,,Abbi Grant,31565.0,,,,,,1,From Kick Off,Adrienne Jordan,31567.0,Left Back,2,Birmingham City WFC,969,['69e4ea03-6579-4aea-804a-12283992b46f'],6,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:06.949,Pass,
