ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f82c2304-ca7e-4bee-9b7c-a4705d958ec4,1,,,,19802,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19774, 'name': 'Charlotte Buxton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 15717, 'name': 'Hannah Short'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15715, 'name': 'Ellie Mason'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 15710, 'name': 'Megan Alexander'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15713, 'name': 'Bonnie Horwood'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15707, 'name': 'Georgia Evans'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 10195, 'name': 'Rachel Mclauchlan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 15705, 'name': 'Emily Donovan'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 15718, 'name': 'Olivia Fergusson'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 15714, 'name': 'Anne-Marie Heatherson'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Yeovil Town LFC,970,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c459d2fd-fd6b-4669-80d6-6672b6cc4f03,2,,,,19802,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 23290, 'name': 'Sophie Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 19}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 19420, 'name': 'Fern Whelan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 16399, 'name': 'Kate Natkiel'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 16}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 15}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f911659b-e094-4abd-ae1e-c753cb3101be,3,,,,19802,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,['7c2b9d24-f845-4686-9046-d49ba6a57024'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7c2b9d24-f845-4686-9046-d49ba6a57024,4,,,,19802,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Yeovil Town LFC,970,['f911659b-e094-4abd-ae1e-c753cb3101be'],0,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,022e1c59-1c49-4493-8986-3edd79e0f736,1372,,,,19802,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,94,Brighton & Hove Albion WFC,965,['a2133920-e1ae-4bb0-a9c0-4334cc91a2e2'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a2133920-e1ae-4bb0-a9c0-4334cc91a2e2,1373,,,,19802,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,94,Brighton & Hove Albion WFC,965,['022e1c59-1c49-4493-8986-3edd79e0f736'],0,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.3475,,,,,,,,,,,95806e5f-a749-4a3a-81ab-08dd4421f197,5,,,"[60.0, 40.0]",19802,0,,,,-2.5213432,,Right Foot,,,"[53.0, 35.0]",,Ground Pass,,8.602325,,,,Bonnie Horwood,15713.0,,,,,,Kick Off,1,From Kick Off,Olivia Fergusson,15718.0,Right Center Forward,2,Yeovil Town LFC,970,['25dfa7f9-493a-4261-928c-b54b9e0a5903'],0,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.830,Pass,
,,,,,,,,,,,,,,,,,,2.2068,,,,,,,,,,,a35537dc-1639-4555-a04c-f5be6005af54,8,,,"[53.0, 34.0]",19802,0,,,,0.67114383,,Right Foot,,,"[87.0, 61.0]",,High Pass,,43.416588,,Incomplete,,Rachel Mclauchlan,10195.0,,,,,,,1,From Kick Off,Bonnie Horwood,15713.0,Right Defensive Midfield,2,Yeovil Town LFC,970,"['249f1f6e-ff1e-496b-b35b-4d5d37ede8b8', '40c7d8f0-cec9-46a7-b4a9-8cf82e3425aa']",2,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:02.203,Pass,
,,,,,,,,,,,,,,,,,,1.7572,,,,,,,,,,,40c7d8f0-cec9-46a7-b4a9-8cf82e3425aa,10,,,"[34.0, 20.0]",19802,0,,,,0.35877067,,Head,,,"[50.0, 26.0]",,Low Pass,,17.088007,,Incomplete,,Kayleigh Green,16400.0,,,,,,Recovery,1,From Kick Off,Aileen Whelan,16374.0,Left Midfield,2,Yeovil Town LFC,970,"['68e03419-1000-427b-a515-5883dcb4feaf', 'a35537dc-1639-4555-a04c-f5be6005af54', 'b9b63054-e96b-4e81-8e4c-51c1afdec2f2']",4,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:04.410,Pass,
,,,,,,,,,,,,,,,,,,1.592713,,,,,,,,,,,b9b63054-e96b-4e81-8e4c-51c1afdec2f2,12,,,"[71.0, 55.0]",19802,0,,,,-0.07677189,,Right Foot,,,"[84.0, 54.0]",,High Pass,,13.038404,,,,Olivia Fergusson,15718.0,,,,,,Recovery,1,From Kick Off,Georgia Evans,15707.0,Left Defensive Midfield,2,Yeovil Town LFC,970,"['40c7d8f0-cec9-46a7-b4a9-8cf82e3425aa', '7bf569e6-1627-4d96-ac86-cd538cdc9145']",6,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:06.167,Pass,
