50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6d22e9ee-6859-4502-b8d1-d2498f5e35f5,1,,,,2275052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31528, 'name': 'Matilde Lundorf Skovsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 31529, 'name': 'Léa Le Garrec'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0853720c-91b4-4cc2-b191-fb4744b499a3,2,,,,2275052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 4638, 'name': 'Drew Spence'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 15550, 'name': 'Bethany England'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fa39c3f1-4af3-40f9-a25f-b85db3cb0eb4,3,,,,2275052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['2616da30-661c-4229-b181-3f1080f90753'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2616da30-661c-4229-b181-3f1080f90753,4,,,,2275052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['fa39c3f1-4af3-40f9-a25f-b85db3cb0eb4'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,56a600b4-6b8a-4950-8be5-cfede7248f73,1594,,,,2275052,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Brighton & Hove Albion WFC,965,['119f36f2-1513-48de-a7d8-cc9c69d94479'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,119f36f2-1513-48de-a7d8-cc9c69d94479,1595,,,,2275052,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Brighton & Hove Albion WFC,965,['56a600b4-6b8a-4950-8be5-cfede7248f73'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.997503,,,,,,,,,,,,,6ab75729-0ccf-434d-beb1-ade28a0b6acd,5,,,"[60.0, 40.0]",2275052,0,,,,2.881195,,Left Foot,,,,"[29.6, 48.1]",,Ground Pass,,31.46061,,,Millie Bright,4642.0,,,,,,Kick Off,1,From Kick Off,Guro Reiten,10514.0,Left Midfield,2,Chelsea FCW,971,['0527cd6a-d622-452a-96b5-40d8ed987caa'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.587,Pass,
,,,,,,,,,,,,,,,,,1.484462,,,,,,,,,,,,,61cad815-ed42-40a4-ae1c-e08bf8c86faf,8,,,"[34.6, 51.5]",2275052,0,,,,0.04030075,,Right Foot,,,,"[71.8, 53.0]",,High Pass,,37.23023,,Incomplete,Bethany England,15550.0,,,,,,,1,From Kick Off,Millie Bright,4642.0,Right Center Back,2,Chelsea FCW,971,"['c499a033-436d-4624-a88a-df20c03bdd30', 'ea0f3e15-31a9-448f-acbe-70f3f98b2661']",3,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:03.713,Pass,
,,,,,,,,,,,,,,,,,1.332553,,,,,,,,,,,,,c499a033-436d-4624-a88a-df20c03bdd30,10,,,"[49.2, 28.0]",2275052,0,,,,-0.6060593,,Right Foot,,,,"[59.3, 21.0]",,Ground Pass,,12.288612,,,Iniabasi Anefiok Umotong,16378.0,,,,,,Recovery,1,Regular Play,Danielle Buet,20034.0,Center Defensive Midfield,3,Brighton & Hove Albion WFC,965,"['61cad815-ed42-40a4-ae1c-e08bf8c86faf', '91648bd8-1a05-4576-88e8-bb83d5356b9b']",5,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:05.197,Pass,
,,,,,,,,,,,,,,,,,1.140429,,,,,,,,,,,,,d3aa4e41-3e69-448f-8a9d-8388e84950fd,13,,,"[76.4, 28.9]",2275052,0,,,,0.113150984,,Right Foot,,,,"[85.2, 29.9]",,Ground Pass,,8.856636,,,Danielle Buet,20034.0,,,,,,,1,Regular Play,Iniabasi Anefiok Umotong,16378.0,Center Forward,3,Brighton & Hove Albion WFC,965,['58a121a7-9bd3-41e7-ad4c-b56b16b68817'],10,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:10.415,Pass,
